#BLTrackFile VirtualDetector/Base
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/Base
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
31.9591 -275 -184.391 29.342 -253.856 -9.92957 4.04515 2212 7 1006 1 1
-174.119 275 -5.25122 -176.965 279.372 171.359 3.85136 2212 7 1007 1 1
37.0918 275 -253.217 0.0340654 0.252562 -0.0730215 1.50758 22 7 1010 1 1
28.5122 275 -249.961 0.0554155 0.552858 -0.3558 2.32156 22 14 1008 1003 1
97.44 -275 -225.914 0.635992 -1.79551 -1.01443 2.31328 22 14 1009 1003 1
323.769 275 -5.83447 6.20878 5.32449 1.26567 2.65515 22 14 1010 1003 1
87.2474 -275 97.8346 0.169255 -0.538664 0.339141 2.24961 22 14 1011 1 1
14.04 -275 -19.8007 10.7369 -211.756 70.0506 5.05993 2212 15 1003 1 1
42.6063 -275 -60.0955 0.0147542 -0.0958343 0.0178136 1.84838 22 15 1005 1 1
165.569 275 -13.8154 208.549 340.588 121.207 3.65701 2212 15 1007 1004 1
-68.5534 -275 65.6305 -21.7581 -87.1007 43.6206 11.118 2112 29 1008 1 1
-52.9293 275 104.42 -55.2146 285.782 248.27 4.01248 2212 32 1002 1 1
126.593 -275 31.8855 140.767 -305.584 185.361 3.80177 2212 32 1003 1 1
16.2909 275 -273.99 0.0994198 1.67941 -0.850196 1.79491 22 32 1006 1 1
-91.7478 275 33.7164 -1.76783 5.36599 0.536039 2.62834 22 36 1004 1 1
113.011 275 253.759 0.102739 0.251216 0.313449 2.54978 22 37 1004 1 1
-91.2528 -275 -211.152 -0.389816 -1.15588 -1.05689 3.20645 22 51 1009 1 1
169.771 275 113.433 139.129 225.465 251.464 4.52085 2212 55 1002 1 1
-225.754 -275 260.852 -184.261 -224.348 370.796 4.71697 2212 55 1003 1 1
45.8151 275 -118.43 0.0895636 0.537596 0.145886 1.39796 22 55 1004 1 1
261.673 -275 -19.2779 0.288242 -0.297844 -0.0783854 3.30718 22 66 1007 1 1
235.34 -275 -133.044 0.817544 -0.95489 -0.848107 4.00495 22 67 1005 1 1
-269.419 275 -275.8 -0.218666 0.221429 -0.142893 2.38448 22 72 1008 1 1
-165.658 -275 -158.055 -0.602919 -0.980284 -0.761251 3.35424 22 75 1007 1 1
50.9585 275 19.1413 0.463047 2.78713 -0.405791 2.9701 22 75 1008 1 1
-238.261 275 261.119 -186.474 215.21 316.35 5.10481 2212 85 1003 1 1
-44.2708 -275 -271.171 -0.0149642 -0.0930396 -0.0433586 1.74532 22 85 1006 1 1
-222.173 -275 -243.326 -0.440492 -0.545353 -0.198931 1.94832 22 85 1007 1 1
-16.2758 -275 -212.822 -0.0637542 -1.07979 -0.274111 1.67054 22 85 1008 1 1
35.0306 275 -135.653 0.336007 2.63474 0.0704702 1.64755 22 85 1009 1 1
322.076 -275 0.629665 0.48977 -0.418063 0.121866 2.53669 22 89 1009 1 1
31.8269 -275 227.105 0.0913198 -0.777779 0.866448 2.47605 22 89 1010 1 1
-37.7736 -275 -48.0056 -15.5363 -109.277 50.5748 8.55148 2112 100 1003 1 1
-74.9428 275 100.998 -93.8391 344.523 339.096 3.39215 2112 104 1006 1 1
-160.187 -275 102.824 -0.0520765 -0.0880908 -0.00246478 3.64979 22 112 1005 1 1
-90.987 275 -19.0455 -1.64951 4.63512 -2.22443 3.6156 22 112 1006 1 1
-44.116 -275 -89.8751 -0.374707 -2.33576 0.440552 1.67055 22 116 1005 1 1
-151.65 -275 25.4281 -0.110755 -0.169655 -0.00426733 2.96479 22 130 1004 1 1
-32.8672 275 -88.2305 -11.6764 87.3413 -13.1865 11.182 2112 132 1006 1 1
25.3637 -275 -225.271 0.282171 -3.60592 -2.33144 2.40256 22 132 1009 1 1
48.5429 275 -39.2741 32.1542 181.43 91.3308 5.34538 2212 142 1003 1 1
-182.555 -275 240.574 -186.354 -280.722 426.622 4.0712 2112 142 1004 1 1
-300.298 -275 287.297 -0.339696 -0.311079 0.504677 2.64361 22 143 1007 1 1
36.55 -275 30.7646 0.142285 -1.07054 0.738139 1.74965 22 143 1008 1 1
-92.754 275 96.8432 -1.68111 4.9842 4.63424 1.91898 22 143 1009 1 1
-40.0371 275 162.554 -1.05304 7.44259 3.97163 2.76986 22 144 1007 1 1
-31.5427 -275 -146.894 -22.6395 -191.148 -107.475 6.29341 2112 149 1003 1 1
-15.0983 -275 -150.989 -3.52765 -27.666 -16.4477 33.1481 2112 149 1005 1004 1
-33.7376 -275 9.06941 -0.0142661 -0.0970978 0.00682486 2.64317 22 149 1009 1 1
-305.185 275 -89.1345 -110.678 100.19 -5.61097 9.88971 2112 155 1004 1 1
297.306 -275 304.819 207.763 -191.294 264.617 5.98296 2112 155 1005 1 1
-85.4141 -275 105.013 -0.168822 -0.539841 0.352527 2.26173 22 155 1007 1 1
-84.286 275 -28.6057 -12.8242 41.8415 24.6268 21.0783 2112 160 1005 1 1
-115.652 -275 -238.906 -18.1526 -43.4553 -6.60035 20.3993 2112 160 1006 1 1
-133.624 -275 66.8088 -25.9238 -53.3516 49.9124 16.6597 2112 160 1007 1 1
77.6888 275 -232.803 1.10849 3.9238 -0.60411 1.41355 22 160 1010 1 1
-69.9501 -275 -113.207 -23.0049 -90.8373 -35.6979 11.1333 2112 161 1005 1 1
71.5605 275 -117.876 1.48098 5.83817 -4.87462 3.83904 22 163 1008 1 1
141.302 275 -3.84988 24.8013 48.1543 0.84445 19.5404 2112 165 1005 1 1
-314.299 275 -259.562 -56.1931 49.1492 -45.111 19.1344 2112 165 1006 1 1
-84.4841 275 167.86 -0.0301407 0.0986357 0.0631499 2.6878 22 165 1009 1 1
87.5116 -275 232.315 0.475709 -1.48739 1.2954 2.82023 22 165 1011 1 1
-253.95 -275 91.1804 -0.0225926 -0.0244559 0.0234719 2.07832 22 172 1004 1001 1
72.8862 275 254.173 46.4448 172.05 188.558 6.45752 2212 181 1002 1 1
-23.405 -275 252.406 -18.9517 -239.127 263.236 5.12745 2112 181 1003 1 1
-14.5548 275 -133.696 -14.8805 273.266 -39.456 4.27917 2212 183 1007 1 1
224.117 -275 -52.447 48.9734 -59.9898 9.06856 15.4091 2112 183 1008 1 1
156.557 -275 -263.145 0.619097 -1.0855 -0.668784 2.20919 22 183 1015 1 1
169.297 -275 -234.036 34.1453 -55.5038 -57.0191 17.612 2112 189 1005 1 1
85.0395 -275 -181.259 0.258095 -0.8341 -0.697125 3.21693 22 189 1009 1 1
-41.3365 275 -264.61 -19.9353 131.202 -36.2199 7.02481 2212 191 1002 1 1
152.877 275 323.374 138.091 248.367 460.714 4.46734 2212 191 1003 1 1
-69.3806 275 -283.522 -0.0565436 0.224118 -0.0789154 1.47095 22 191 1004 1 1
-47.5434 -275 -221.335 -0.0687323 -0.397561 -0.0500851 1.40934 22 191 1005 1 1
68.7295 -275 255.523 0.204668 -0.791103 0.512469 3.34201 22 194 1007 1 1
160.631 -275 -45.206 0.0859063 -0.156283 -0.0514312 3.12991 22 207 1009 1 1
-194.066 -275 135.118 -1.38412 -1.9295 0.598198 3.14225 22 207 1011 1 1
68.1725 275 308.263 0.497053 2.09955 1.97012 3.25711 22 207 1012 1 1
-78.1482 275 311.315 -13.7454 47.8733 66.7303 19.2132 2112 208 1006 1 1
-18.7433 -275 -142.188 -0.00822383 -0.115947 -0.0296549 2.09757 22 208 1009 1 1
-52.5424 -275 -7.7331 -83.7226 -437.229 292.92 2.70373 2212 217 1004 1 1
-35.499 -275 -23.36 -1.59083 -11.4085 6.99344 75.9127 2112 217 1005 1 1
287.452 275 -149.806 149.176 142.685 2.07553 6.84416 2112 220 1006 1 1
186.019 -275 -190.443 15.536 -21.6669 -15.5848 40.5328 2112 221 1007 1006 1
16.2158 -275 -161.081 0.00780014 -0.0993244 -0.0604767 3.08477 22 221 1013 1006 1
123.076 -275 -318.305 0.130251 -0.271155 -0.325409 3.49361 22 221 1014 1006 1
-140.614 275 -44.8129 -4.39731 9.18836 -1.47682 3.10529 22 221 1015 1006 1
-250.084 275 317.073 -115.571 126.92 111.805 9.06102 2112 227 1004 1 1
10.1678 -275 -269.502 0.0039616 -0.153411 -0.0927431 2.08889 22 238 1006 1 1
-123.628 -275 20.1824 -0.334883 -0.737177 0.328892 2.04773 22 238 1007 1 1
252.835 -275 92.0563 66.0063 -71.644 33.3334 13.5043 2112 242 1006 1 1
-145.844 -275 -63.0784 -97.9882 -186.714 -18.1955 6.11568 2112 242 1007 1 1
109.367 -275 -17.0453 0.234869 -0.585835 0.0407291 2.36485 22 242 1010 1 1
0.230688 -275 -304.698 0.00390821 -0.774182 -0.753952 2.65568 22 242 1011 1 1
217.049 275 -223.603 0.100779 0.128134 -0.0495048 2.10177 22 247 1008 1 1
