#BLTrackFile VirtualDetector/Wallx
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/Wallx
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-275 145.177 -228.214 -37.6058 19.8528 -7.45355 23.4875 2112 7 1008 1 1
-275 -103.403 198.965 -87.7879 -33.0092 118.968 10.4893 2112 7 1009 1 1
-275 37.1422 148.088 -7.31449 1.20642 2.41703 115.642 2112 8 1005 1 1
-275 -87.9175 92.7584 -0.17829 -0.0544329 0.0166132 3.10289 22 8 1008 1 1
275 233.177 -15.7761 6.20878 5.32449 1.26567 2.4383 22 14 1010 1003 1
-275 103.775 110.399 -1.18956 0.4438 0.804413 2.28524 22 14 1012 1 1
-275 190.436 -118.022 -157.246 104.734 -4.91414 6.5713 2112 15 1004 1 1
275 189.666 -166.04 0.087779 0.060655 -0.0175286 2.03401 22 15 1006 1 1
275 -65.6335 80.1302 50.5507 -12.1883 28.0667 18.211 2112 29 1007 1 1
-275 139.027 157.18 -46.1611 23.4696 43.1243 18.9445 2212 31 1001 1 1
275 -78.3422 33.9614 0.052294 -0.0150003 0.0333965 1.94403 22 32 1004 1 1
275 -221.774 -174.153 0.37938 -0.278071 -0.21716 2434.6 2112 36 1003 1 1
275 17.629 -32.5201 1.73869 0.121009 -0.154611 2.48639 22 38 1005 1 1
-275 -59.2647 -139.509 -0.39479 -0.083659 -0.365904 3.75432 22 46 1004 1 1
275 215.548 27.7074 0.0930099 0.0719532 -0.0336736 8649.93 2112 63 1005 1 1
-275 124.241 220.079 -0.115528 0.0521766 0.045723 3.61656 22 67 1004 1 1
-275 -12.4896 -89.4285 -0.687309 -0.0316337 -0.195512 2.4905 22 68 1010 1 1
275 -143.697 51.9898 1.03251 -0.547647 0.569672 2.132 22 72 1009 1 1
275 -66.3786 48.3741 249.617 -60.5588 43.6266 5.22451 2112 76 1003 1 1
275 -195.325 237.397 180.167 -127.918 249.611 5.77248 2212 85 1002 1 1
275 -234.816 -11.084 0.48977 -0.418063 0.121866 2.32657 22 89 1009 1 1
275 -16.5997 -94.6009 316.009 -19.0435 116.888 3.30498 2212 96 1002 1 1
-275 156.792 -50.7781 -1.41326 0.805774 0.747226 1.5796 22 96 1004 1 1
-275 -62.8288 -270.343 -0.0955856 -0.0218383 -0.0288366 1.44817 22 100 1004 1 1
275 47.0471 -229.587 1.16443 0.199176 -0.253672 1.51969 22 104 1009 1 1
275 29.1978 124.771 153.4 16.1231 148.376 6.4438 2212 116 1002 1 1
-275 -29.1702 267.844 -274.269 -28.7493 408.149 4.26702 2212 116 1003 1 1
275 111.232 -203.412 0.529316 0.214098 -0.118699 1.7362 22 116 1004 1 1
275 -98.0722 -266.603 2.11042 -0.752633 -0.958208 1.78476 22 116 1006 1 1
275 -232.09 -105.801 0.360516 -0.293553 -0.024441 2.30056 22 117 1003 1 1
-275 163.155 123.938 -19.8733 11.7009 15.6737 43.1821 2112 117 1008 1 1
-275 -103.517 118.612 -265.18 -100.09 264.741 4.15121 2212 124 1 0 1
275 96.3247 200.93 271.352 95.0865 351.822 4.16819 2212 124 1001 1 1
-275 197.969 -182.101 -4.47734 2.99399 -3.39191 3.10818 11 130 1006 1004 1
-275 -4.2106 -212.509 -36.2818 -2.40095 -22.7964 24.9867 2112 132 1005 1 1
