#BLTrackFile VirtualDetector/Wallx160
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/Wallx160
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
5999.9 -3975.07 1811.14 19.4519 -13.2579 4.16774 983.246 2112 17 1 0 1
5999.9 2403.56 1514.52 5.63491 2.33673 1.71703 3081.61 2112 41 1 0 1
5999.9 -3900.67 -3822.09 28.4433 -17.4916 -15.6256 706.354 2112 53 1 0 1
-5999.9 -1578.67 1782.98 -38.395 -9.29372 9.2938 504.673 2112 56 1 0 1
-5999.9 -1940.25 3303.64 -4.81204 -1.40183 2.19297 3958.01 2112 83 1 0 1
5999.9 985.17 1645.69 0.133147 0.0199923 0.0478914 4163.98 22 96 1049 1 1
-5999.9 -2330.59 148.277 -36.2193 -15.2681 3.35539 524.16 2112 110 1 0 1
5999.9 2884.76 -1768.63 1.44832 0.633953 -0.569977 10168.2 22 117 1029 1 1
-5999.9 2396.45 -3567.67 -16.0175 5.65779 -8.16004 1363.39 2112 120 1 0 1
-5999.9 -2288.45 -357.103 -32.1058 -13.9137 -4.14512 591.936 2112 121 1 0 1
-5999.9 2754.52 3682.1 -0.234994 0.0820203 0.13164 3080.76 22 129 1021 1 1
5999.9 537.451 1017.65 11.6002 1.25443 2.91607 1544.19 2112 131 1 0 1
-5999.9 4801.38 -579.685 -4.38765 3.54299 -0.200269 4076.77 2112 151 1 0 1
-5999.9 1508.48 1831.71 -19.8643 7.08728 7.11783 943.435 2112 174 1 0 1
5999.9 1587.01 1237.58 33.116 11.003 9.54908 575.978 2112 175 1 0 1
5999.9 1062.7 -2288.95 33.1573 3.90929 -12.6016 576.465 2112 182 1 0 1
5999.9 5126.85 -4514.1 10.9844 8.95502 -7.99832 1763.34 2112 257 1 0 1
-5999.9 -1598.61 3528.99 -22.1352 -5.98155 13.4567 903.133 2112 261 1 0 1
5999.9 913.858 3125.32 30.3171 3.2857 16.396 617.895 2112 267 1 0 1
-5999.9 -747.352 2092.05 -32.3123 -5.08676 12.0182 581.528 2112 268 1 0 1
-5999.9 -4396.09 -687.106 -28.9608 -21.3194 -1.50631 661.483 2112 273 1 0 1
-5999.9 -1915.84 -4139.85 -26.6143 -8.87322 -18.2727 695.718 2112 290 1 0 1
5999.9 -5087.27 -1646.3 6.15197 -5.20396 -1.19331 3073.92 2112 305 1 0 1
5999.9 32.5634 -344.191 38.5889 1.47511 -1.36245 487.979 2112 331 1 0 1
-5999.9 -1737.07 3562.72 -15.6604 -4.41968 9.19483 1166.56 2112 334 1 0 1
-5999.9 -2972.48 1653.95 -32.1639 -16.6108 9.8005 572.481 2112 338 1 0 1
