#BLTrackFile VirtualDetector/Wallz
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/Wallz
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
125.402 -127.133 275 21.3719 -26.2814 36.0029 19.0706 2112 8 1006 1 1
-157.174 92.3073 275 -182.034 106.121 403.129 4.12573 2212 14 1002 1 1
-125.808 -39.4973 -275 -40.0419 -11.8591 -64.3301 11.1573 2112 14 1004 1003 1
166.828 -38.9732 275 67.3599 -15.3292 142.636 8.65404 2212 29 1006 1 1
221.784 -58.9592 275 236.249 -62.5665 394.979 4.26433 2212 31 1 0 1
-40.6018 -157.41 -275 -1.29255 -5.01025 -4.46244 1.48156 22 32 1007 1 1
-78.5729 192.266 275 -90.5927 221.019 418.574 4.10386 2112 37 1003 1 1
143.187 32.7851 275 175.6 38.5995 345.381 4.27136 2212 38 1002 1 1
136.91 13.2637 -275 0.65982 0.0711437 -1.28365 2.56466 22 38 1004 1 1
117.942 120.765 275 0.297217 0.292496 0.394822 3.33008 22 46 1005 1 1
84.6939 -21.7054 275 1.21256 -0.252299 2.19249 3.1602 22 46 1006 1 1
-125.36 94.2443 275 -140.567 103.811 292.802 4.57095 2212 50 1 0 1
-205.674 20.1557 275 -99.2015 9.2662 107.821 8.14133 2212 51 1003 1 1
112.19 -232.107 -275 0.10111 -0.218744 -0.292427 3.28441 22 51 1007 1 1
194.388 -112.819 -275 45.8012 -26.0292 -77.3822 15.497 2112 63 1006 1 1
-130.55 -145.331 275 -1.31955 -1.50041 2.30832 2.99251 22 66 1008 1 1
45.2577 -119.35 275 63.9069 -163.075 391.343 4.06456 2112 68 1004 1 1
-193.515 -28.4658 -275 -2.28751 -0.340353 -3.13825 2.63249 22 68 1011 1 1
-264.024 80.1856 275 -242.549 71.7183 344.311 4.70716 2212 72 1006 1 1
-268.195 273.761 -275 -0.218666 0.221429 -0.142893 2.37809 22 72 1008 1 1
-97.1522 71.9703 275 -143.362 94.5399 300.951 4.44633 2112 75 1003 1 1
-20.9532 -159.402 -275 -0.00838798 -0.144917 -0.287542 3.3092 22 75 1005 1 1
195.628 168.461 -275 0.239991 0.198541 -0.345945 2.89969 22 76 1008 1 1
-212.7 103.709 275 -1.28561 0.626905 1.67296 2.82952 22 76 1010 1 1
302.142 -214.596 275 180.167 -127.918 249.611 6.27284 2212 85 1002 1 1
140.785 83.2704 -275 0.0482716 0.0284853 -0.035158 1.19587 22 95 1003 1002 1
-152.396 -13.1843 275 -142.167 -11.4071 439.168 4.14543 2212 96 1003 1 1
-4.29847 46.1846 -275 -0.387326 4.1616 -7.10257 0.722689 22 96 1005 1 1
-290.437 -66.3558 -275 -0.0955856 -0.0218383 -0.0288366 1.50323 22 100 1004 1 1
-95.211 -107.695 275 -0.15542 -0.175799 0.754778 2.08253 22 100 1005 1 1
-20.8109 -133.84 275 -0.115019 -0.739715 2.5555 2.07453 22 100 1006 1 1
92.2678 197.86 275 108.992 235.325 541.374 3.62942 2212 100 1007 1003 1
-60.5961 160.442 275 -17.8631 47.3277 131.171 11.3106 2112 104 1005 1 1
