#BLTrackFile VirtualDetector/Det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
77.9172 15.9654 995 5.10858 1.04676 42.7115 130.619 2112 4 1 0 1
-38.0031 -185.468 995 -0.0573405 -0.491036 1.87826 1135.7 2112 5 1 0 1
1062.4 3074.89 995 0.63627 1.97858 0.380526 5174.88 2112 21 1 0 1
-1282.25 -548.779 995 -19.3657 -9.11977 8.69774 335.54 2112 26 1 0 1
0 0 995 0 0 43.349 129.917 2112 36 1 0 1
0 0 995 0 0 43.349 129.917 2112 37 1 0 1
220.888 482.788 995 5.58776 14.2088 18.7276 195.576 2112 40 1 0 1
612.444 -2.25878 995 2.48268 -0.254974 2.73876 814.224 2112 46 1 0 1
2719.94 2468.19 995 23.2432 24.1682 5.57364 441.998 2112 52 1 0 1
-323.107 -548.76 995 -5.08621 -7.45411 9.10644 307.653 2112 54 1 0 1
-694.744 540.131 995 -28.5482 19.8204 23.9737 165.972 2112 56 1 0 1
-1061.39 -1791.51 995 -17.6428 -30.3622 10.5701 271.585 2112 58 1 0 1
-175.635 199.149 995 -4.37896 9.49295 28.1446 158.056 2112 60 1 0 1
216.036 -764.431 995 7.47933 -26.9323 23.1398 172.507 2112 63 1 0 1
165.551 -440.261 995 3.80684 -9.99582 13.5598 225.41 2112 67 1 0 1
113.074 34.0002 995 1.82008 0.459183 14.7502 222.247 2112 72 1 0 1
494.721 -667.582 995 16.0033 -26.3979 20.7842 182.047 2112 75 1 0 1
-71.0222 387.39 995 0.080958 10.2025 18.946 216.753 2112 76 1 0 1
-61.8717 -174.129 995 -7.87199 -7.08671 25.4864 175.142 2112 81 1 0 1
473.914 85.3196 995 6.59722 1.76878 8.61084 331.589 2112 82 1 0 1
-492.158 16.5431 995 -12.322 0.289706 16.414 206.784 2112 83 1 0 1
-264.361 604.16 995 -8.55733 17.9063 18.8673 196.547 2112 86 1 0 1
15.0855 65.5286 995 1.4975 1.03962 8.59045 343.34 2112 89 1 0 1
-97.7458 39.9635 995 -6.34496 2.59415 42.2351 131.158 2112 93 1 0 1
-510.198 411.367 995 -16.845 13.5819 22.5066 175.556 2112 95 1 0 1
2.3601 -284.297 995 -0.0540965 -0.0945988 0.216793 4187.76 22 96 1024 1 1
49.247 163.948 995 0.477071 0.737698 3.61421 658.303 2112 97 1 0 1
130.125 -209.381 995 5.70459 -12.6617 36.0305 140.15 2112 98 1 0 1
-98.2796 402.989 995 -5.74147 15.4309 34.533 151.642 2112 107 1 0 1
-98.1006 -724.612 995 -0.0104487 -0.404462 0.353337 5818.84 2112 110 1 0 1
103.804 798.555 995 2.70795 20.832 16.436 204.506 2112 114 1 0 1
0 0 995 0 0 43.349 129.917 2112 119 1 0 1
-1902.03 963.66 995 -35.8111 18.1695 11.2689 253.112 2112 121 1 0 1
560.95 384.173 995 15.3178 9.11759 14.4279 224.082 2112 123 1 0 1
193.894 149.465 995 5.75433 3.90032 14.8678 224.648 2112 127 1 0 1
1652.5 1267.37 995 27.6089 21.5769 10.2457 277.69 2112 128 1 0 1
-1296.68 1356.71 995 -6.66296 6.09595 3.08308 752.967 2112 131 1 0 1
-897.516 384.77 995 -28.9699 11.8654 20.5634 181.61 2112 134 1 0 1
413.995 -207.202 995 20.8006 -11.8744 31.3589 149.074 2112 136 1 0 1
-656.664 22.7558 995 -16.0289 -0.968509 17.7384 206.613 2112 137 1 0 1
607.245 157.995 995 0.492775 0.0266021 0.549256 3987.22 2112 144 1 0 1
-491.003 -1623.69 995 -11.224 -37.4641 15.4531 217.43 2112 148 1 0 1
-482.158 622.313 995 -0.17185 0.234232 0.220989 8991.69 2112 149 1 0 1
876.273 -2684.39 995 11.7056 -32.3806 7.51309 344.259 2112 152 1 0 1
169.72 -64.1687 995 9.50029 -4.41412 39.4907 135.447 2112 157 1 0 1
87.5801 -9.12721 995 5.5043 -0.573633 42.6297 130.744 2112 158 1 0 1
-289.857 -107.169 995 -17.1502 -6.34095 39.1419 135.062 2112 160 1 0 1
634.113 -621.164 995 20.9353 -23.9478 22.5943 173.687 2112 163 1 0 1
-85.5616 45.2535 995 -0.0155048 0.0550073 0.322618 6283.09 2112 170 1 0 1
125.017 364.465 995 4.74459 12.6722 19.15 207.589 2112 171 1 0 1
256.531 58.0465 995 0.691151 0.107812 1.76219 1198.9 2112 172 1 0 1
-9.47082 970.312 995 -0.321225 22.1068 12.5111 253.12 2112 173 1 0 1
-64.8143 -293.035 995 -0.274575 -16.1357 38.2365 138.162 2112 175 1 0 1
-534.785 -34.5675 995 -0.41405 -0.0213509 0.419304 4738.28 2112 179 1 0 1
0 0 995 0 0 43.349 129.917 2112 184 1 0 1
-415.043 283.772 995 -21.1999 16.2416 31.1393 148.001 2112 185 1 0 1
-237.45 239.178 995 -0.259291 0.364543 1.20389 1753.41 2112 187 1 0 1
790.648 -1001.21 995 22.2806 -27.775 16.5379 200.512 2112 192 1 0 1
796.06 -26.1821 995 26.127 -1.56745 19.5768 189.868 2112 193 1 0 1
1266.98 428.064 995 14.1632 4.78035 6.94576 378.572 2112 196 1 0 1
-242.139 660.063 995 -4.24207 9.15744 9.71403 301.026 2112 197 1 0 1
-233.402 -190.735 995 -0.759821 -0.575016 1.71569 1347.03 2112 198 1 0 1
210.713 -177.148 995 10.7771 -10.2124 31.8412 146.671 2112 200 1 0 1
815.922 858.04 995 15.2858 16.2899 11.5757 255.824 2112 202 1 0 1
1202.4 -707.556 995 1.607 -0.967245 0.893753 2312.56 2112 203 1 0 1
109.17 65.1217 995 0.0748816 -0.0069762 0.956159 2282.01 2112 206 1 0 1
822.769 69.8611 995 0.790684 0.0218024 0.568255 3749.01 2112 211 1 0 1
-324.626 -84.9948 995 -17.0035 -5.87187 31.7308 150.908 2112 214 1 0 1
243.63 944.622 995 8.34246 32.8885 21.1896 178.474 2112 217 1 0 1
1527.89 -343.371 995 3.40302 -0.624555 1.40098 1447.54 2112 218 1 0 1
276.488 -737.043 995 5.36198 -15.776 12.8833 238.09 2112 222 1 0 1
-314.131 -56.4096 995 -12.2958 -5.79074 27.2311 166.26 2112 223 1 0 1
-390.755 -125.68 995 -21.8647 -7.01791 36.233 139.124 2112 225 1 0 1
18.6191 536.439 995 1.57707 9.58589 12.0421 273.675 2112 226 1 0 1
176.162 228.718 995 9.83064 13.0316 39.4261 135.007 2112 228 1 0 1
-175.552 262.43 995 -0.899935 1.76938 4.02613 598.051 2112 230 1 0 1
-527.527 -1498.74 995 -6.35244 -17.5786 7.0714 355.398 2112 231 1 0 1
-276.42 -53.1868 995 -14.8454 -1.03335 35.0924 142.723 2112 241 1 0 1
-506.851 -444.054 995 -9.6583 -8.47476 10.0926 279.512 2112 243 1 0 1
-375.621 193.249 995 -18.3623 8.54969 30.4366 150.2 2112 254 1 0 1
-342.499 544.155 995 -19.0699 21.8745 27.7615 160.011 2112 258 1 0 1
-68.627 687.251 995 -1.18612 14.645 14.0928 236.061 2112 260 1 0 1
111.265 -665.698 995 1.82574 -27.6438 26.1422 164.982 2112 262 1 0 1
-158.917 655.146 995 -0.807224 3.80011 4.67389 554.412 2112 264 1004 1 1
672.328 919.055 995 19.1269 23.316 17.0082 204.927 2112 267 1 0 1
159.941 38.1076 995 9.77543 3.36109 35.5025 144.246 2112 268 1 0 1
388.513 63.3088 995 2.16728 -0.225824 3.13161 777.457 2112 271 1 0 1
292.082 182.751 995 12.3374 6.41286 25.7971 163.42 2112 274 1 0 1
-186.859 -248.156 995 -6.4883 -6.83358 20.4171 195.085 2112 275 1 0 1
22.7028 -430.837 995 3.26426 -21.4744 30.3651 151.364 2112 277 1 0 1
2.71441 575.779 995 0.0292693 6.20858 7.12169 85.0376 22 281 1002 1 1
470.504 3062.12 995 5.04134 34.459 6.65163 374.302 2112 285 1 0 1
-216.072 -628.227 995 -1.19172 -2.92272 3.03786 724.202 2112 289 1 0 1
-50.464 361.068 995 0.00508634 0.121547 0.255208 7830.03 2112 294 1 0 1
201.625 -343.664 995 8.65509 -10.7108 21.1782 188.651 2112 296 1 0 1
-430.624 -170.734 995 -8.9766 -11.0473 18.9653 228.769 2112 301 1 0 1
187.236 428.373 995 10.1318 23.1804 34.8343 141.304 2112 302 1 0 1
535.499 -765.515 995 18.394 -26.4305 22.2663 174.372 2112 306 1 0 1
438.572 368.229 995 9.51487 6.43596 12.9382 298.353 2112 307 1 0 1
942.24 -271.582 995 33.3117 -9.24587 24.3274 169.315 2112 311 1 0 1
576.297 278.341 995 16.8338 8.13331 17.7871 193.177 2112 312 1 0 1
-724.86 -320.787 995 -26.253 -10.3302 25.7252 169.588 2112 314 1 0 1
-169.512 -580.569 995 -7.03255 -24.2977 28.8954 155.05 2112 315 1 0 1
135.039 -37.9797 995 0.00958161 -1.97452 10.1218 319.95 2112 317 1 0 1
461.762 993.543 995 2.80749 6.9598 4.01067 567.557 2112 319 1 0 1
957.996 -323.722 995 30.7088 -9.01608 18.5367 191.681 2112 322 1 0 1
5.25235 -377.913 995 -0.0980172 -0.631506 1.26002 1633 2112 323 1 0 1
57.4512 -71.2112 995 2.09786 -5.94022 38.4717 135.885 2112 325 1 0 1
-770.086 -446.287 995 -1.61968 -0.830204 1.11045 1899.08 2112 327 1 0 1
1005.18 -1036.54 995 4.86023 -7.38458 4.09789 642.239 2112 330 1 0 1
-60.9853 1247.94 995 1.00487 33.4708 16.3802 209.118 2112 333 1 0 1
152.467 64.6261 995 6.99436 3.33876 23.3414 170.684 2112 334 1 0 1
-242.157 11.6471 995 -0.467294 0.15557 1.12525 2105.63 2112 336 1 0 1
265.684 1228.92 995 2.03884 15.5384 7.20226 359.167 2112 337 1 0 1
-470.879 -94.4017 995 -26.3023 -5.27307 33.2818 142.96 2112 338 1 0 1
-355.056 241.591 995 -19.1994 10.9509 32.0178 148.909 2112 345 1 0 1
0 0 995 0 0 43.349 129.917 2112 346 1 0 1
-175.988 -86.0041 995 -0.696262 -0.269263 2.3884 904.405 2112 348 1 0 1
-395.315 -457.072 995 -18.5676 -21.1087 31.9344 147.698 2112 350 1 0 1
-158.594 297.898 995 -8.13425 15.2792 34.7032 142.105 2112 355 1 0 1
1091.52 494.579 995 29.0421 12.6143 17.2464 209.767 2112 357 1 0 1
287.853 -169.613 995 15.8755 -9.35438 33.0657 143.397 2112 360 1 0 1
3394.22 588.099 995 39.9357 6.91944 7.02593 353.325 2112 361 1 0 1
235.49 432.135 995 3.92365 7.34099 10.8113 270.717 2112 362 1 0 1
-882.336 14.1993 995 -21.6326 0.136926 14.8758 214.979 2112 363 1 0 1
-76.1413 53.6921 995 -0.311828 0.0334126 1.53763 1566.91 2112 366 1 0 1
120.5 130.919 995 7.7061 8.73072 39.4553 134.227 2112 367 1 0 1
332.801 103.246 995 19.6247 2.37918 34.5815 144.196 2112 368 1 0 1
-43.5093 260.252 995 -2.84794 16.7236 39.375 134.402 2112 371 1 0 1
-468.683 -364.447 995 -4.3944 -3.24117 5.63861 491.39 2112 373 1 0 1
896.889 506.106 995 16.2792 9.86829 11.5804 258.946 2112 377 1 0 1
367.183 -1907.43 995 3.62608 -21.2866 6.65632 375.284 2112 378 1 0 1
367.051 -1180.37 995 4.80058 -15.7829 8.08536 322.106 2112 379 1 0 1
-152.62 -730.657 995 -1.30028 -4.8748 3.71936 595.892 2112 381 1 0 1
1222.43 582.435 995 31.4804 14.3179 16.0836 207.854 2112 382 1 0 1
-881.884 -432.176 995 -22.3882 -5.7792 15.2771 231.912 2112 385 1 0 1
-797.582 2549.67 995 -4.60692 14.4385 3.31498 680.909 2112 386 1 0 1
-18.0629 -62.4424 995 -6.71261 -6.42524 31.9411 162.234 2112 387 1 0 1
0 0 995 0 0 43.349 129.917 2112 391 1 0 1
212.895 78.6273 995 8.21864 4.50066 32.2964 152.417 2112 396 1 0 1
183.597 -140.597 995 0.369946 -0.0279318 1.19097 1876.55 2112 397 1 0 1
-947.99 -130.896 995 -9.43683 -1.11907 7.85416 377.132 2112 402 1 0 1
-126.086 -276.736 995 -7.4892 -15.8032 35.3265 139.985 2112 403 1 0 1
166.24 -297.324 995 10.2241 -18.1244 37.8687 136.38 2112 407 1 0 1
-432.088 648.995 995 -18.4834 27.762 26.0306 159.215 2112 408 1 0 1
-84.6017 258.039 995 -1.14717 6.68829 18.2411 197.464 2112 411 1 0 1
-292.337 -316.894 995 -2.63694 -3.69351 6.77124 392.286 2112 412 1 0 1
293.085 452.272 995 2.28537 3.25798 3.41458 669.13 2112 416 1 0 1
445.763 417.224 995 10.4095 10.0222 14.6395 222.218 2112 418 1 0 1
298.69 297.355 995 0.682332 0.407408 1.17908 1806.41 2112 421 1 0 1
187.653 -60.765 995 13.5394 -3.68242 40.0498 134.018 2112 427 1 0 1
-110.745 109.409 995 -0.064793 0.135787 0.419338 5338.36 2112 428 1 0 1
21.8489 -27.9052 995 1.54937 -2.81166 35.4533 145.559 2112 432 1 0 1
434.649 627.989 995 11.4638 14.2928 13.7109 232.06 2112 435 1 0 1
151.492 762.892 995 0.154065 0.689743 0.52576 3882.39 2112 439 1 0 1
-177.333 347.383 995 -9.60931 15.5342 35.3547 144.602 2112 441 1 0 1
-352.879 -304.017 995 -12.6237 -14.0609 28.2792 161.47 2112 444 1 0 1
286.036 144.702 995 1.77984 1.8513 11.4861 293.213 2112 445 1 0 1
-1973.43 -1446.64 995 -7.84257 -6.05831 2.56337 852.345 2112 450 1 0 1
239.036 381.331 995 13.969 19.0383 28.8082 157.014 2112 451 1 0 1
-1918.2 675.933 995 -35.01 11.8753 10.8601 260.822 2112 453 1 0 1
110.909 349.099 995 2.16171 10.0425 18.017 206.517 2112 454 1 0 1
-729.89 -298.302 995 -24.1309 -9.80155 20.0221 185.303 2112 455 1 0 1
-408.33 409.008 995 -15.1598 15.185 24.6027 166.423 2112 458 1 0 1
0 0 995 0 0 43.349 129.917 2112 460 1 0 1
-85.82 259.194 995 -5.03865 15.2178 40.1562 133.852 2112 461 1 0 1
-646.643 -192.395 995 -5.35424 -1.43157 5.326 468.84 2112 466 1 0 1
-430.539 -150.011 995 -18.1273 -3.97297 26.873 161.396 2112 467 1 0 1
456.407 -415.993 995 21.7954 -19.8655 30.7326 149.036 2112 469 1 0 1
-1247.61 -4301.11 995 -8.6067 -29.7797 4.16288 537.246 2112 470 1 0 1
-364.469 -262.269 995 -6.62164 -6.69156 13.6289 250.669 2112 471 1 0 1
-613.497 -216.759 995 -0.411112 -0.151389 0.427257 4643.9 2112 474 1 0 1
253.94 -208.854 995 12.963 -11.1542 37.1935 139.992 2112 482 1 0 1
41.0223 -199.201 995 0.511867 -3.85897 7.59643 362.647 2112 484 1 0 1
-390.537 260.417 995 -0.169815 0.181861 0.362045 10685.1 22 485 1006 1 1
-163.063 110.126 995 -0.65215 1.2571 4.15885 10684.6 22 485 1033 1 1
-26.5056 -103.302 995 -1.02714 -4.8385 31.6832 147.669 2112 490 1 0 1
733.722 -310.829 995 29.2262 -10.8935 27.4098 161.227 2112 493 1 0 1
-2775.6 -414.184 995 -24.7049 -4.42688 5.4503 447.974 2112 497 1 0 1
-433.142 448.315 995 -14.982 15.5069 23.6807 171.029 2112 501 1 0 1
-196.096 575.683 995 -0.0828323 0.229322 0.250843 8439.9 2112 503 1 0 1
0 0 995 0 0 43.349 129.917 2112 506 1 0 1
177.091 -250.366 995 10.0508 -14.2094 34.5755 141.094 2112 507 1 0 1
-72.4149 -431.029 995 -3.86888 -23.0284 36.0003 139.871 2112 514 1 0 1
-783.523 -79.9514 995 -11.8191 -1.18481 8.92666 311.231 2112 517 1 0 1
0 0 995 0 0 43.349 129.917 2112 521 1 0 1
-219.36 549.007 995 -11.7776 27.1382 29.9256 149.667 2112 522 1 0 1
271.394 -170.669 995 3.4763 -2.13661 11.9051 269.216 2112 525 1 0 1
288.544 184.812 995 2.79628 2.82722 9.10894 315.178 2112 526 1 0 1
60.48 -550.153 995 1.56811 -22.0457 25.8666 162.423 2112 529 1 0 1
425.317 277.334 995 1.85471 1.50198 3.27261 695.618 2112 531 1 0 1
144.699 90.9957 995 7.35766 1.69478 36.5911 141.429 2112 532 1 0 1
-516.185 403.28 995 -20.9403 18.4278 26.4466 161.467 2112 533 1 0 1
-19.0079 228.57 995 -1.8093 13.2181 37.0079 139.055 2112 534 1 0 1
390.026 2165.94 995 6.79461 38.0365 10.6996 264.552 2112 535 1 0 1
-337.218 -216.634 995 -9.84358 -4.52469 16.5326 205.897 2112 537 1 0 1
745.985 16.1498 995 11.3213 -1.48823 8.83066 329.75 2112 541 1 0 1
144.127 -405.391 995 0.0164701 -0.413858 0.659317 3102.59 2112 543 1 0 1
-27.4113 424.277 995 -0.335934 15.9987 20.9027 184.181 2112 545 1 0 1
-103.609 285.015 995 -5.86344 16.1296 34.8969 140.715 2112 546 1 0 1
-817.468 322.733 995 -26.1428 11.4571 20.7108 183.979 2112 548 1 0 1
589.881 951.081 995 18.1299 28.0562 17.9135 193.739 2112 556 1 0 1
-403.83 -210.203 995 -2.55178 -0.861966 3.73135 630.4 2112 557 1 0 1
-221.151 544.261 995 -9.17139 22.1556 28.4577 157.642 2112 559 1 0 1
-2383.63 2079.51 995 -14.2094 12.7359 3.7157 638.114 2112 562 1 0 1
0 0 995 0 0 43.349 129.917 2112 567 1 0 1
65.2989 279.808 995 3.6729 15.7385 36.105 139.228 2112 571 1 0 1
-224.772 62.1596 995 -11.7538 4.08756 34.0121 146.132 2112 573 1 0 1
-229.79 31.9754 995 -12.0767 2.39716 29.2788 153.425 2112 574 1 0 1
337.956 234.337 995 0.159332 0.0185331 0.372044 5959 2112 576 1 0 1
0 0 995 0 0 43.349 129.917 2112 577 1 0 1
-913.053 225.518 995 -27.905 8.79709 18.6734 193.549 2112 578 1 0 1
168.6 791.358 995 3.18091 16.0864 11.5187 260.278 2112 582 1 0 1
507.25 555.571 995 18.4276 18.9879 25.8521 172.706 2112 589 1 0 1
-227.423 -425.263 995 -4.99617 -8.13782 13.2689 257.274 2112 592 1 0 1
-13.8321 -32.2169 995 0.202135 -0.371939 31.3706 150.846 2112 593 1 0 1
-345.174 -107.465 995 -17.6552 -5.57932 31.8226 146.278 2112 594 1 0 1
-1425.19 15.3202 995 -1.28451 -0.144651 0.629302 3332.37 2112 596 1 0 1
-341.846 205.713 995 -0.16699 0.256346 0.635007 3590.92 2112 597 1 0 1
-178.605 -69.9416 995 -0.680392 -0.204689 2.73886 792.462 2112 601 1 0 1
-236.138 413.981 995 -9.27052 19.0267 28.4416 157.042 2112 602 1 0 1
0 0 995 0 0 43.349 129.917 2112 605 1 0 1
-151.05 -121.65 995 -3.39444 -4.71871 22.8267 184.194 2112 608 1 0 1
163.738 -108.245 995 8.13997 -5.20703 30.4112 148.752 2112 613 1 0 1
-269.586 -9.78773 995 -14.2082 2.5048 37.139 141.448 2112 614 1 0 1
120.05 -385.526 995 0.0684823 -0.182591 0.296321 6623.61 2112 615 1 0 1
-481.409 2677.53 995 -7.00786 39.1972 8.73998 301.342 2112 619 1 0 1
-879.773 -356.815 995 -9.99166 -3.67429 6.91958 400.332 2112 625 1 0 1
683.388 38.6214 995 24.3933 -0.111764 23.7562 173.43 2112 629 1 0 1
-825.125 999.622 995 -21.6436 23.9932 15.8049 214.438 2112 630 1 0 1
13.5093 -83.875 995 0.170507 -0.12888 1.61448 1426.05 2112 634 1 0 1
-152.062 -208.119 995 -0.442376 -0.367868 2.63954 845.559 2112 636 1 0 1
169.658 199.223 995 7.96341 8.83077 22.0367 179.538 2112 638 1 0 1
71.9483 -490.947 995 0.254137 -3.71994 3.95744 629.953 2112 639 1 0 1
272.858 -77.6301 995 12.3238 -4.15258 30.9217 154.956 2112 647 1 0 1
428.617 16.7383 995 6.21737 -1.59725 8.16633 366.694 2112 650 1 0 1
-163.669 -488 995 -0.529318 -0.995343 1.40172 1724.58 2112 653 1 0 1
