#BLTrackFile VirtualDetector/Base270
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/Base270
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
3146.39 5500 2669.78 324.308 578.836 272.136 37.4883 2212 5 1 0 1
4013.04 5500 1788.63 408.929 561.547 179.51 38.3824 2212 6 1 0 1
1100.07 5500 4419.3 111.293 551.835 445.331 38.9355 2212 7 1 0 1
4702.18 -5500 -4473.8 399.743 -463.582 -373.838 46.4477 2212 9 1 0 1
-207.792 5500 1189.85 -30.5258 700.528 148.092 30.6511 2212 11 1 0 1
-4024.17 -5500 384.489 -423.388 -575.949 40.8922 37.2224 2212 16 1 0 1
-3313.21 5500 -4525.68 -302.77 500.427 -415.648 42.8631 2212 21 1 0 1
3814.89 -5500 1194.2 404.073 -578.19 130.819 37.0641 2212 24 1 0 1
-2844.29 5500 3022.72 -298.054 574.521 310.855 37.559 2212 26 1 0 1
-3292.43 5500 -412.101 -375.631 608.093 -51.8953 35.0064 2212 36 1 0 1
2058.16 -5500 4376.13 202.568 -534.354 431.931 39.9567 2212 37 1 0 1
-1135.88 -5500 -4171.92 -116.704 -562.74 -425.89 38.165 2212 39 1 0 1
3148.87 5500 -3080.1 323.395 558.374 -312.099 38.4279 2212 43 1 0 1
-5066.66 5500 391.204 -485.908 526.458 34.1031 40.8502 2212 50 1 0 1
-4831.08 -5500 -830.424 -11.0091 -22.5992 12.3661 522.543 2112 55 1005 1004 1
-4294.89 5500 -4618.42 -0.0232208 0.23584 -0.0652406 164.6 22 55 1007 1004 1
-2335.84 -5500 -2011.19 0.108634 -0.199798 -0.0862541 35.5708 22 55 1010 1 1
-1861.59 -5500 -3146.92 3.54864 -4.58618 -4.50651 38.2111 22 55 1011 1 1
1086.45 -5500 4553.84 107.04 -549.349 447.702 39.3976 2212 58 1 0 1
-215.294 5500 -1244.89 -22.5727 698.583 -155.243 30.72 2212 59 1 0 1
5434.59 -5500 3463.3 457.807 -466.157 294.095 46.2669 2212 60 1 0 1
-2423.31 5500 -1106.18 -283.176 647.847 -128.899 33.2784 2212 64 1 0 1
3248.68 -5500 3297.36 322.869 -549.905 326.248 39.2143 2212 66 1 0 1
-2238.79 5500 -1706.61 -266.756 636.832 -192.355 33.6598 2212 67 1 0 1
-3934.07 5500 413.138 -408.979 587.8 38.3349 36.9336 2212 71 1 0 1
1087.43 5500 -3644.92 112.455 591.244 -389.019 36.455 2212 73 1 0 1
-1726.6 -5500 3005.62 -193.889 -607.623 329.656 35.4231 2212 78 1 0 1
4162.74 -5500 -1323.18 423.476 -564.087 -134.006 38.29 2212 80 1 0 1
-3801.42 -5500 576.539 -405.22 -588.743 62.595 36.5772 2212 85 1 0 1
4758.41 5500 3540.9 422.879 486.445 313.646 44.1552 2212 87 1 0 1
548.993 -5500 5143.66 44.2345 -528.521 484.652 41.1786 2212 90 1 0 1
1315.92 -5500 -1258.5 160.951 -683.468 -151.955 31.5374 2212 93 1 0 1
1145.33 5500 -1310.21 142.895 685.235 -165.234 31.3982 2212 94 1 0 1
2027.98 5500 3507.47 215.557 581.14 362.732 37.2334 2212 95 1 0 1
2360.2 -5500 -4448.63 24.4274 -72.4449 -60.9094 106.659 2112 96 1008 1 1
5382.07 -5500 -3443.91 279.666 -140.451 -40.8481 70.2002 2112 96 1009 1 1
-388.296 -5500 -3615.82 -312.143 -267.429 -102.942 50.6808 2112 96 1010 1 1
3495.34 -5500 -1755.13 1.16183 -1.69372 0.495057 63.4341 22 96 1011 1006 1
601.013 5500 2622.13 72.6322 643.14 308.899 33.3497 2212 97 1 0 1
5171.48 -5500 847.101 483.667 -523.919 76.7256 41.4483 2212 99 1 0 1
2249.04 5500 -929.938 -0.554179 1.78617 0.749324 47.0809 22 100 1005 1 1
4333.77 -5500 234.494 441.875 -564.296 20.6177 38.2044 2212 102 1 0 1
3840.36 5500 -1582.43 399.845 572.2 -162.8 37.5802 2212 104 1 0 1
2239.22 5500 3114.09 238.288 591.207 330.427 36.5439 2212 107 1 0 1
