#BLTrackFile VirtualDetector/Wallx270
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/Wallx270
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
5500 -2347.12 -3205.03 581.854 -247.71 -338.855 36.9833 2212 2 1 0 1
-5500 -3863.55 851.089 -581.377 -408.722 90.518 36.9396 2212 3 1 0 1
5500 -909 -1140.65 692.586 -108.797 -148.386 30.9758 2212 10 1 0 1
-5500 2582.91 3234.41 -573.47 273.433 330.396 37.5395 2212 13 1 0 1
5500 4267.25 1744.03 552.137 421.414 178.033 39.14 2212 15 1 0 1
5500 4343.64 -1457.75 550.521 433.098 -149.577 39.0486 2212 18 1 0 1
-5500 -5489.1 2778.04 -477.556 -477.773 240.577 45.0479 2212 19 1 0 1
5500 2727.29 3874.86 543.368 267.048 386.488 39.5833 2212 27 1 0 1
-5500 426.606 -2002.56 -666.287 62.6048 -257.98 31.9565 2212 29 1 0 1
5500 3046.91 2880.78 567.689 321.461 301.481 37.6947 2212 30 1 0 1
5500 -338.797 509.072 713.901 -43.0705 62.5174 30.1138 2212 33 1 0 1
5500 -4527.58 3263.45 503.402 -413.459 298.231 42.7692 2212 34 1 0 1
5500 1112.97 2975.76 622.813 125.438 333.53 34.6053 2212 40 1 0 1
5500 1921.98 -943.411 667.359 234.311 -121.669 32.1359 2212 41 1 0 1
5500 2333.2 339.606 657.251 282.033 39.301 32.5927 2212 42 1 0 1
5500 1470.26 -709.644 686.314 188.173 -87.5374 31.2331 2212 44 1 0 1
5500 3392.46 1570.44 592.631 366.337 170.849 36.2458 2212 45 1 0 1
5500 732.397 4140.95 569.294 77.0352 428.969 37.75 2212 49 1 0 1
5500 -3991.31 2529.96 544.849 -393.769 243.974 39.5717 2212 52 1 0 1
-5500 576.56 4360.97 -562.364 60.4499 440.741 38.4051 2212 54 1 0 1
-5500 -5498.35 -2081.63 -430.478 -433.975 -202.367 45.2158 2212 55 1003 1 1
5500 2305.4 -1716.44 636.377 264.961 -198.138 33.8055 2212 68 1 0 1
5500 3510.31 1858.45 584.529 372.111 189.328 36.9746 2212 69 1 0 1
5500 1640.12 -2012.42 646.921 196.605 -237.714 33.1285 2212 70 1 0 1
-5500 -4873.63 3186.51 -490.864 -439.962 281.456 43.7219 2212 74 1 0 1
-5500 3066.67 -3686 -542.145 301.128 -360.406 39.7971 2212 75 1 0 1
-5500 -1538.69 -1828.03 -658.029 -178.106 -221.645 32.6591 2212 79 1 0 1
5500 -4404.98 4981.84 457.126 -367.345 412.668 47.1224 2212 86 1 0 1
5500 -1331.43 1517.34 670.911 -163.218 193.546 31.9008 2212 88 1 0 1
5500 3832.21 301.599 585.817 411.715 31.2995 36.5808 2212 92 1 0 1
5500 -505.59 2897.63 2.06752 1.74361 3.19841 52.5733 22 96 1013 1 1
5500 -1812.86 -2973.08 1.41549 -1.78377 0.151169 35.8848 22 100 1006 1 1
-5500 2482.64 3704.13 -560.128 249.502 370.62 38.6185 2212 106 1 0 1
-5500 -203.501 -4202.28 -572.281 -26.1461 -429.82 37.7647 2212 110 1 0 1
5500 -343.734 -2391.89 654.729 -46.3241 -286.651 32.7215 2212 112 1 0 1
-5500 479.612 -432.347 -712.345 58.0553 -58.6102 30.1372 2212 113 1 0 1
5500 -4372.42 2704.4 524.264 -416.047 260.54 41.0605 2212 114 1 0 1
-5500 -2614.72 1485.42 -632.869 -294.565 169.366 34.1437 2212 118 1 0 1
5500 -2666 -152.516 611.726 -372.429 -31.7032 33.3392 2212 119 1 0 1
-5500 1935.55 4867.14 -517.68 184.058 460.647 41.4399 2212 121 1 0 1
-5500 3529.2 -3562.35 -533.873 337.676 -343.368 40.5801 2212 124 1 0 1
5500 -3371.57 -770.119 609.799 -368.707 -82.0295 35.405 2212 126 1 0 1
5500 738.723 -1005.68 699.531 92.2403 -126.267 30.6984 2212 130 1 0 1
5500 -1028.12 -3992.73 570.516 -109.108 -421.791 37.4699 2212 131 1 0 1
5500 3773.74 2392.89 556.853 379.741 243.836 38.6475 2212 135 1 0 1
5500 -2314.47 -292.237 657.986 -281.194 -33.0435 32.5388 2212 136 1 0 1
-5500 1235.27 1924.83 -662.666 145.109 232.167 32.4383 2212 138 1 0 1
5500 -5340.37 -1927.55 0.0638691 -0.0803104 -0.0437332 37.2331 22 142 1004 1 1
5500 73.2997 1068.49 704.632 11.9912 136.283 30.4952 2212 144 1 0 1
5500 -4113.48 358.647 574.543 -424.279 41.0676 37.5121 2212 146 1 0 1
-5500 1441.2 3459.51 -592.991 158.957 372.659 36.2684 2212 149 1 0 1
5500 -3025.36 1546.19 608.058 -337.758 175.873 35.2272 2212 150 1 0 1
-5500 5106.07 -4970.94 -439.093 406.543 -396.116 49.1554 2212 151 1 0 1
-5500 3927.97 -707.295 -580.439 416.182 -76.6431 37.0357 2212 152 1 0 1
-5500 -1867.22 -3477.89 -564.372 -211.229 -388.643 36.9179 2212 154 1 0 1
5500 -3826.65 -243.746 585.723 -415.389 -27.1889 36.5355 2212 156 1 0 1
-5500 -375.189 2457.09 -371.942 -69.1052 -62.8174 38.7755 2112 160 1008 1 1
-5500 -71.0797 2526.92 -653.079 -6.97332 296.423 32.9675 2212 161 1 0 1
5500 3925.65 -4998.85 466.618 335.84 -428.722 45.8883 2212 163 1 0 1
-5500 -437.314 4205.9 -573.052 -49.0394 428.496 37.8268 2212 164 1 0 1
5500 -359.06 172.56 713.59 -54.03 23.2876 30.0116 2212 168 1 0 1
-5500 1555.38 -4499.66 -542.545 153.477 -442.549 39.6801 2212 172 1 0 1
5500 3161.67 -2424.19 582.037 330.502 -257.8 37.0223 2212 177 1 0 1
-5500 -2366.01 2939.81 -589.017 -252.291 319.023 36.368 2212 183 1 0 1
5500 2286.62 1396.78 644.561 268.374 162.184 33.326 2212 184 1 0 1
5500 -953.708 -3709.73 590.335 -96.6788 -396.152 36.5317 2212 185 1 0 1
-5500 4428.74 2413.31 -1.64349 -0.0773443 0.493151 41.1395 22 191 1007 1 1
-5500 2071.6 3290.47 -588.009 220.347 345.82 36.7194 2212 192 1 0 1
5500 3127.85 644.779 622.677 350.866 74.5469 34.6439 2212 193 1 0 1
5500 2833.46 229.498 634.025 332.347 25.0708 33.7316 2212 197 1 0 1
5500 399.09 1670.4 683.555 55.2036 210.323 31.3677 2212 199 1 0 1
-5500 -4405.16 2942.48 -517.466 -409.295 281.119 41.665 2212 200 1 0 1
5500 -1958.03 -3596.75 573.851 -204.119 -379.074 37.3821 2212 202 1 0 1
5500 1235.52 -2386.35 639.136 149.84 -286.709 33.3478 2212 204 1 0 1
-5500 -394.411 -2821.38 -635.565 -46.9492 -329.25 33.7408 2212 205 1 0 1
-5500 1489.97 -1784.32 -662.591 182.163 -208.172 32.5134 2212 207 1 0 1
-5500 -6.14238 -3267.85 -615.217 -3.34273 -367.677 34.8628 2212 213 1 0 1
-5500 -2797.56 -741.094 -632.123 -329.705 -78.5771 33.8569 2212 225 1 0 1
5500 -5232.54 2200.25 498.42 -475.714 199.078 43.1331 2212 226 1 0 1
-5500 -1425.47 -5012.99 -519.023 -133.816 -475.379 41.3477 2212 229 1 0 1
5500 2345.82 3670.51 559.81 238.008 378.586 38.264 2212 230 1 0 1
-5500 -1675.98 -3296.52 -598.046 -181.045 -350.988 36.1279 2212 234 1 0 1
5500 -185.738 -849.21 708.018 -20.5012 -110.257 30.3054 2212 235 1 0 1
5500 -570.013 -303.801 711.423 -77.562 -38.0731 30.1385 2212 240 1 0 1
5500 -1340.22 -1751.88 666.738 -153.125 -219.364 32.2637 2212 246 1 0 1
-5500 5332.3 -4564.38 -447.415 424.895 -363.555 48.7208 2212 247 1 0 1
-5500 -1695.16 -2330.33 -639.184 -190.426 -264.468 33.8237 2212 249 1 0 1
5500 -1168.75 -3966.27 574.269 -118.544 -410.1 37.5297 2212 251 1 0 1
-5500 394.812 4226.65 -568.618 42.469 434.292 37.8854 2212 253 1 0 1
5500 -1382.71 -1409.67 678.103 -163.21 -170.966 31.814 2212 256 1 0 1
5500 155.066 -916.721 706.021 15.3809 -120.354 30.3604 2212 257 1 0 1
5500 3047.67 1193.49 615.049 339.262 143.629 34.8767 2212 267 1 0 1
-5500 1219.37 115.001 -699.298 155.256 21.435 30.6712 2212 268 1 0 1
-5500 1552.57 2658.27 -624.146 172.079 306.973 34.3444 2212 270 1 0 1
-5500 -4377.99 -5119.36 -450.947 -363.504 -422.9 47.4863 2212 273 1 0 1
-5500 -3367.81 569.306 -611.286 -370.634 60.3459 35.2795 2212 275 1 0 1
5500 -2561.83 -3746.12 553.185 -259.423 -376.237 38.8827 2212 279 1 0 1
-5500 -5074.46 2994.07 -500.804 -462.078 221.761 44.0593 2212 281 1 0 1
-5500 -2595.8 -968.154 -641.308 -303.037 -109.815 33.5426 2212 282 1 0 1
5500 -2057.12 1912.28 638.085 -236.139 219.515 33.6536 2212 283 1 0 1
-5500 -2576.27 -145.951 -652.987 -297.993 -20.4905 33.085 2212 284 1 0 1
5500 -2010.51 -4654.02 524.673 -191.963 -449.398 40.8083 2212 287 1 0 1
5500 1158.54 -683.921 695.465 151.642 -87.7467 30.8202 2212 289 1 0 1
-5500 -1238.63 -4807.32 -533.483 -120.183 -463.734 40.4177 2212 290 1 0 1
5500 5307.87 2026.22 500.2 481.262 181.591 43.1493 2212 294 1 0 1
5500 -2668.25 -2368 606.788 -291.443 -246.622 35.7321 2212 298 1 0 1
5500 -3851.41 330.458 416.684 -530.541 74.1713 37.615 2212 300 1003 1 1
5500 -2115.37 1985.66 0.0341353 0.00877727 0.0566203 34.597 22 300 1004 1 1
5500 -1422.31 579.483 0.587961 0.522922 0.23499 32.4361 22 300 1009 1 1
5500 -1993.78 -2064.12 635.786 -230.213 -239.543 33.7937 2212 301 1 0 1
-5500 -1451.72 4699.46 -532.878 -140.045 458.575 40.2517 2212 304 1 0 1
5500 -2359.94 5026.6 506.152 -217.464 459.267 42.649 2212 306 1 0 1
-5500 1293.38 204.955 -696.886 173.053 25.6949 30.7701 2212 310 1 0 1
-5500 4833.32 3411.14 -487.55 427.171 301.423 44.122 2212 311 1 0 1
-5500 -4567.8 -635.162 -550.846 -452.412 -64.5978 39.1597 2212 313 1 0 1
5500 -112.656 3407.41 608.132 -14.7532 377.511 35.2715 2212 315 1 0 1
5500 2665.69 -2949.44 579.492 279.05 -316.629 36.9982 2212 328 1 0 1
-5500 5104.95 -1767.81 -486.04 217.687 -76.0258 47.0849 2212 330 1005 1 1
5500 -2019.56 -1675.26 649.25 -234.766 -193.21 33.193 2212 331 1 0 1
-5500 -1132.7 1110.7 -342.262 51.3647 -240.807 37.4989 2212 334 1002 1 1
