#BLTrackFile VirtualDetector/Wallz270
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/Wallz270
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
5029.34 -1319.73 5500 478.706 -129.667 517.594 41.2975 2212 1 1 0 1
-944.827 -574.261 5500 -120.824 -70.8659 704.275 30.5313 2212 4 1 0 1
3163.71 877.211 -5500 354.155 102.482 -614.611 34.9057 2212 8 1 0 1
-2377.43 1895.34 -5500 -268.333 218.879 -628.323 34.237 2212 12 1 0 1
896.634 3826.65 5500 91.26 408.656 582.453 36.8491 2212 14 1 0 1
1960.86 164.429 5500 240.353 16.1184 675.406 31.8052 2212 17 1 0 1
-9.68516 -3092.05 -5500 2.93547 -350.772 -626.371 34.3719 2212 20 1 0 1
-115.377 528.754 -5500 -18.4744 61.7796 -715.863 30.0716 2212 22 1 0 1
4247.52 -963.958 5500 432.3 -99.1323 563.922 38.2527 2212 23 1 0 1
-2606.19 4493.18 5500 -246.476 426.681 521.284 41.271 2212 25 1 0 1
-4472.87 -2043.64 -5500 -432.111 -198.055 -537 40.2447 2212 28 1 0 1
-2298.6 -2748.27 5500 -255.557 -300.903 598.957 35.7729 2212 31 1 0 1
-4800.07 -868.066 5500 -465.631 -87.3191 538.867 40.0959 2212 32 1 0 1
-4389.13 1124.87 5500 -440.66 111.694 554.375 38.8633 2212 35 1 0 1
-5071.77 3702.73 5500 -436.115 312.96 475.187 45.5764 2212 38 1 0 1
2358.73 -1838.41 5500 272.526 -207.456 630.172 34.1063 2212 46 1 0 1
667.264 3655.9 5500 69.9871 388.743 597.219 36.189 2212 47 1 0 1
4410.98 527.732 -5500 439.99 51.9338 -564.443 38.5511 2212 48 1 0 1
2318.34 -2559.04 5500 260.583 -280.067 605.649 35.3962 2212 51 1 0 1
-559.537 -2276.51 -5500 -71.9986 -279.149 -659.007 32.5496 2212 53 1 0 1
-4811.65 -1421.08 5500 -19.3981 28.8828 94.7946 247.373 2112 55 1006 1 1
-1573.64 269.184 5500 0.025896 0.0509876 0.0910546 53.2802 22 55 1009 1 1
-4911.85 -2021.67 5500 -459.68 -188.301 517.731 41.7138 2212 56 1 0 1
-3735 -695.084 5500 -404.221 -71.402 587.451 36.4406 2212 57 1 0 1
1925.93 2291.86 5500 222.035 260.549 630.492 34.1131 2212 61 1 0 1
-61.046 -5396.3 -5500 -8.56773 -503.025 -510.045 42.0536 2212 62 1 0 1
1887.6 2203.19 5500 223.676 250.176 633.821 33.8753 2212 63 1 0 1
846.606 263.955 -5500 106.188 26.7556 -709.078 30.319 2212 65 1 0 1
-659.412 -1332.45 5500 -86.0724 -162.28 693.585 31.0128 2212 72 1 0 1
-775.611 -3514.74 -5500 -88.3372 -377.256 -603.831 35.8222 2212 76 1 0 1
-1888.7 -1909.94 -5500 -212.411 -224.822 -645.375 33.3485 2212 77 1 0 1
-590.687 2245.55 -5500 -68.7886 271.903 -660.553 32.5093 2212 81 1 0 1
2724.48 5324.35 5500 240.835 469.335 485.312 44.3557 2212 82 1 0 1
-1827.24 -3371.17 5500 -201.149 -359.892 586.782 36.5476 2212 83 1 0 1
-179.342 5295.16 5500 -12.5073 495.358 518.267 41.6689 2212 84 1 0 1
-813.267 5228.84 -5500 -82.6087 490.437 -516.246 41.6469 2212 89 1 0 1
-691.761 -1741.7 5500 -84.925 -219.642 677.618 31.6344 2212 91 1 0 1
267.565 358.467 5500 -16.1926 32.6219 60.5894 458.342 2112 96 1007 1006 1
2840.37 856.386 -5500 0.0949479 0.392314 -0.224112 44.9723 22 96 1012 1 1
-4490.55 4949 5500 -374.145 410.825 455.071 47.2404 2212 98 1 0 1
4851.99 -159.651 -5500 235.866 -92.6453 -575.822 42.6214 2212 100 1003 1 1
3381.04 -2160.09 5500 -0.0081595 -0.0383365 0.139296 57.17 22 100 1004 1 1
-152.029 5011.58 -5500 -17.2713 483.459 -529.573 40.5976 2212 101 1 0 1
-4844.2 -4290.12 -5500 -409.95 -365.718 -460.493 46.3728 2212 103 1 0 1
4010.84 -2626.02 5500 398.283 -259.339 537.218 39.7944 2212 105 1 0 1
-765.742 1439.34 5500 -92.5503 181.99 687.953 31.2274 2212 109 1 0 1
929.661 -2639.2 -5500 115.713 -306.692 -637.677 33.6159 2212 116 1 0 1
2767.57 1778.9 5500 316.477 204.542 611.361 34.9161 2212 117 1 0 1
1666.25 1455.64 5500 200.565 172.52 667.409 32.279 2212 120 1 0 1
4968.32 997.347 -5500 480.783 94.305 -524.685 40.7895 2212 122 1 0 1
1950.33 2235.47 5500 218.951 259.796 630.412 34.0506 2212 125 1 0 1
3217.67 -1442.84 -5500 350.541 -162.085 -604.497 35.6048 2212 128 1 0 1
1649.63 -3455.62 -5500 168.465 -378.14 -586.909 36.5232 2212 137 1 0 1
-3998.15 966.846 5500 -416.578 100.799 574.399 37.4483 2212 139 1 0 1
-5263.97 -5192.08 5500 -410.363 -402.973 428.207 50.3383 2212 143 1 0 1
3790.45 4497.5 -5500 335.324 403.092 -489.715 43.9468 2212 147 1 0 1
10.351 913.191 -5500 4.91689 114.549 -707.89 30.3434 2212 148 1 0 1
1153.51 2308.86 5500 139.562 274.249 647.085 33.0939 2212 153 1 0 1
4736.15 -254.242 5500 468.304 -27.971 542.168 39.6137 2212 155 1 0 1
417.026 -1539.67 5500 55.8992 -190.195 690.06 31.1717 2212 158 1 0 1
-101.328 3256.94 -5500 -17.1715 361.54 -620.048 34.8288 2212 159 1 0 1
-3859.9 3672.25 5500 22.7841 235.417 174.696 80.3722 2112 160 1006 1 1
-3464.37 -550.186 5500 82.918 -44.604 306.792 57.737 2112 160 1007 1 1
-4892.73 580.369 5500 -0.0423739 0.0447454 0.178131 37.2058 22 160 1009 1 1
-3419.57 2953.34 -5500 -346.79 296.173 -553.923 38.8135 2212 162 1 0 1
1264.09 18.0719 5500 158.327 6.64285 699.322 30.7178 2212 165 1 0 1
-4695.13 1142.98 5500 -457.784 108.669 540.866 39.9369 2212 166 1 0 1
-3186.24 1706.2 -5500 -346.72 181.723 -600.028 35.8746 2212 167 1 0 1
2935.27 5327.37 -5500 257.119 463.625 -480.147 44.7919 2212 170 1 0 1
1642.89 -3848.66 -5500 169.64 -399.613 -571.336 37.676 2212 171 1 0 1
4731.88 -2087.85 -5500 449.745 -196.203 -524.373 41.177 2212 175 1 0 1
-997.742 -2006.55 -5500 -121.206 -237.504 -664.115 32.348 2212 178 1 0 1
3507.19 -3515.52 -5500 337.257 -344.412 -530.771 40.4237 2212 179 1 0 1
2420.65 5215.11 5500 214.82 473.23 494.39 43.4217 2212 181 1 0 1
-427.189 -3417.79 -5500 -48.3504 -374.343 -611.071 35.3573 2212 186 1 0 1
-2194.54 -1606.57 -5500 -262.498 -179.068 -643.688 33.4185 2212 188 1 0 1
1076.68 -1554.53 -5500 -28.2231 -64.6058 -663.711 32.1177 2112 190 1004 1 1
1703.82 -1528.71 -5500 0.137992 -0.0131362 -0.196842 30.6732 22 190 1005 1 1
840.283 -1914.23 -5500 -1.21543 -1.97226 -3.76525 30.5355 22 190 1006 1 1
-2468.64 -5091.6 5500 -216.908 -460.631 503.598 43.0794 2212 196 1 0 1
864.856 5495.64 5500 76.6599 505.92 502.862 42.6864 2212 209 1 0 1
-720.939 -4724.12 -5500 -76.597 -469.044 -536.503 39.7462 2212 211 1 0 1
-1625.28 3412.74 5500 -146.463 148.638 444.331 39.6781 2112 217 1003 1 1
1970.1 -924.398 5500 237.637 -111.775 668.153 32.2051 2212 220 1 0 1
901.722 -4149.45 -5500 94.4497 -427.554 -565.692 37.9027 2212 222 1 0 1
-4251.73 1162.39 -5500 -427.522 118.638 -563.683 38.4329 2212 224 1 0 1
848.081 -3911.82 5500 81.2856 -408.59 583.884 37.0833 2212 227 1 0 1
661.39 -3870.24 5500 71.7511 -410.877 583.015 36.8404 2212 231 1 0 1
-1475.45 2005.68 5500 -177.217 239.331 653.359 32.8769 2212 232 1 0 1
-1021.5 633.776 5500 -141.001 73.8943 698.719 30.645 2212 239 1 0 1
973.486 -5227.19 5500 93.2474 -487.914 518.681 41.7261 2212 241 1 0 1
-897.178 -3529.81 -5500 -96.9219 -383.726 -598.205 35.9518 2212 242 1 0 1
-2268.84 -1964.55 -5500 -257.61 -217.479 -634.943 34.1248 2212 245 1 0 1
2206.07 -1151.83 5500 262.523 -132.118 653.818 32.8801 2212 248 1 0 1
-4107.59 -4769.45 5500 -350.273 -412.359 471.173 45.6284 2212 250 1 0 1
-3043.91 4212.24 -5500 -291.283 392.525 -523.796 41.293 2212 254 1 0 1
-1897.61 842.661 -5500 -231.198 110.202 -670.539 32.0082 2212 260 1 0 1
-1639.49 -2252.16 5500 -190.636 -261.172 641.33 33.5776 2212 262 1 0 1
2812.03 -1313.86 -5500 319.328 -149.819 -623.918 34.4109 2212 263 1 0 1
-2265.58 2840.51 5500 -250.363 303.857 599.604 35.9258 2212 269 1 0 1
2158.18 637.555 -5500 324.18 57.3798 -589.438 32.6186 2212 271 1004 1 1
584.891 3304.41 -5500 -0.040069 0.0982653 -0.0294725 37.4993 22 271 1005 1 1
-3656.65 65.418 -5500 -394.923 12.1984 -597.774 36.0039 2212 272 1 0 1
-2471.12 2617.34 5500 -269.258 288.734 600.651 35.8123 2212 274 1 0 1
-1616.16 1062.26 5500 -196.429 129.239 677.397 31.7434 2212 278 1 0 1
146.099 4866.05 -5500 10.7271 471.474 -538.616 40.0789 2212 291 1 0 1
-2307.27 3665.43 5500 -241.394 376.25 560.272 38.1769 2212 295 1 0 1
-3362.69 -2858.63 5500 -341.287 -291.805 559.37 38.4526 2212 296 1 0 1
2477.21 97.7384 5500 298.984 12.8627 653.007 32.8512 2212 299 1 0 1
-195.344 3199.4 -5500 -1.50236 1.84692 -1.85016 57.8111 22 300 1010 1 1
651.973 -3684.48 5500 69.4335 -400.931 591.045 36.2549 2212 302 1 0 1
-1603.44 1534.46 5500 -196.389 189.69 663.152 32.2966 2212 303 1 0 1
3059.71 -2671.19 -5500 321.365 -276.42 -577.955 37.2784 2212 305 1 0 1
-189.466 5422.04 5500 -12.4713 504.386 508.499 42.1658 2212 308 1 0 1
1676.45 1140.5 -5500 215.181 140.464 -670.398 31.9144 2212 312 1 0 1
-2377.94 -1684.65 5500 -275.193 -191.9 635.006 33.9024 2212 314 1 0 1
-575.381 -191.59 -5500 -73.0163 -24.0558 -713.512 30.1114 2212 316 1 0 1
-962.312 -736.638 -5500 -119.766 -92.7825 -700.32 30.6562 2212 317 1 0 1
2539.55 1415.34 5500 293.096 167.304 632.661 33.8914 2212 319 1 0 1
47.6346 -5432.07 5500 24.7229 -105.909 468.907 54.1158 2212 320 1004 1 1
2285.8 504.456 5500 274.674 56.7689 661.153 32.5471 2212 323 1 0 1
668.183 -4438.2 5500 69.4397 -444.434 558.912 38.7096 2212 325 1 0 1
-3954.35 -2728.7 5500 -387.949 -268.476 539.14 39.841 2212 329 1 0 1
-3813.89 5286.58 -5500 -0.0387095 0.0539746 -0.162349 42.1656 22 330 1007 1 1
3758.04 3090.27 5500 0.432058 -0.0428796 0.285777 59.4153 22 330 1009 1 1
-2320.87 -4970.24 5500 0.397579 -0.681304 0.678008 45.9419 22 334 1004 1 1
5332.64 3766.3 5500 446.92 315.277 463.458 46.6135 2212 335 1 0 1
2640.86 2765.03 5500 277.769 301.738 587.568 36.5183 2212 336 1 0 1
-1707.71 107.781 -5500 -233.649 23.0803 -677.614 31.3606 2212 350 1 0 1
-2627.08 -2489.75 -5500 -285.174 -265.24 -600.726 35.8942 2212 352 1 0 1
3556.28 -1957.69 -5500 374.818 -204.588 -575.633 37.2714 2212 358 1 0 1
2989.53 2084.08 -5500 326.486 228.906 -596.537 35.9568 2212 360 1 0 1
-3161.46 -2088.33 5500 -108.322 -228.641 174.272 49.2482 2212 361 1008 1 1
-2462.06 -714.719 5500 -0.0021817 -0.013261 0.0970454 31.1207 22 361 1011 1 1
-3475.48 -908.499 5500 -375.321 -100.969 602.499 35.8041 2212 362 1 0 1
159.769 -1441.43 -5500 17.251 -178.762 -692.685 30.9674 2212 365 1 0 1
