#BLTrackFile VirtualDetector/Wallx10
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/Wallx10
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
5500 -2349.11 -3205.73 35.1358 -15.0069 -20.4793 491.126 2112 2 1 0 1
-5500 -3862.47 849.245 -35.1952 -24.7164 5.43443 490.298 2112 3 1 0 1
5500 -915.11 -1135.53 41.901 -6.97164 -8.65091 411.831 2112 10 1 0 1
-5500 2568.08 3259.05 -34.6058 16.1582 20.5058 498.649 2112 13 1 0 1
5500 4297.48 1731.23 33.1536 25.905 10.4358 520.49 2112 15 1 0 1
5500 3247.75 -707.596 24.3589 2.96609 4.40462 575.481 2112 18 1 0 1
-5500 -5480.44 2782.77 -28.9064 -28.8036 14.6254 596.965 2112 19 1 0 1
-5500 -1853.16 -4017.89 -12.7678 -2.42142 -1.52061 965.374 2112 28 1 0 1
-5500 -608.27 -3076.55 -11.5509 -13.7691 -19.8837 580.553 2112 29 1 0 1
5500 3021.45 2865.67 34.5604 18.9859 18.007 499.304 2112 30 1 0 1
5500 -960.699 -106.928 21.8459 -27.0541 -23.5768 437.916 2112 33 1 0 1
5500 -3287.32 2184.09 34.8098 -6.9 1.7459 541.432 2112 34 1 0 1
5500 1114.38 2983.93 37.5124 7.60056 20.3517 460.012 2112 40 1 0 1
5500 1454.33 -1103.29 33.8054 -7.06884 -12.635 439.654 2112 41 1 0 1
5500 2327.97 341.688 39.8551 16.8694 2.476 432.972 2112 42 1 0 1
5500 838.018 -522.428 6.42314 -3.69568 1.07705 706.412 2112 44 1 0 1
5500 3390.05 1565.49 35.8644 22.1059 10.2082 481.149 2112 45 1 0 1
5500 3087.02 2596.71 21.1324 35.598 -5.54752 588.19 2112 49 1 0 1
5500 113.178 1149.58 31.3221 -12.5114 3.03163 1253.97 2112 50 1 0 1
5500 -3194.6 1134.05 38.7998 -9.956 -14.3126 500.666 2112 52 1 0 1
-5500 570.581 4381.56 -33.7942 3.50587 26.9221 510.624 2112 54 1 0 1
-5500 -3737.31 -1481.01 -27.147 -3.9148 -4.79591 598.077 2112 55 1 0 1
5500 1719.12 -1808.62 34.8824 -4.64322 -13.8744 458.057 2112 68 1 0 1
5500 3513.52 1885.87 35.0954 22.4197 12.0337 491.693 2112 69 1 0 1
5500 1204.84 -2402.9 5.81245 -0.961824 -4.3574 898.523 2112 70 1 0 1
-5500 -4840.22 3206.1 -29.8125 -26.2362 17.3785 578.822 2112 74 1 0 1
-5500 3072.06 -3699.62 -32.6343 18.2281 -21.9517 528.774 2112 75 1 0 1
-5500 -1548.56 -1823.19 -39.752 -11.1924 -13.1774 434.095 2112 79 1 0 1
