#BLTrackFile VirtualDetector/Wallz10
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/Wallz10
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
5000.28 -1290.32 5500 28.7309 -7.41401 31.6022 546.041 2112 1 1 0 1
-944.978 -576.758 5500 -7.30152 -4.45641 42.4966 406.059 2112 4 1 0 1
3162.16 866.123 -5500 21.4079 5.86367 -37.2351 463.437 2112 8 1 0 1
1213.96 5183.18 5500 3.23112 0.672601 10.2784 1716.06 2112 11 1 0 1
-2384.71 1890.1 -5500 -16.4462 13.0351 -37.9308 454.937 2112 12 1 0 1
1987.29 3141.75 5500 24.8471 5.93506 26.8954 528.298 2112 14 1 0 1
1961.46 169.937 5500 14.5551 1.26102 40.8129 422.811 2112 17 1 0 1
-976.761 815.152 -5500 -33.5115 12.6736 -19.7613 444.399 2112 22 1 0 1
4260.07 -962.795 5500 26.2943 -5.94263 33.9475 508.319 2112 23 1 0 1
-2549.49 2077.21 5500 -6.0304 -6.90014 14.6127 770.195 2112 25 1 0 1
3780.39 1358.26 5500 -0.103301 -4.49474 24.0911 731.581 2112 27 1 0 1
-2283.75 -2743.69 5500 -15.0983 -18.139 36.3614 474.573 2112 31 1 0 1
-4822.43 -857.178 5500 -28.3846 -5.04531 32.3727 533.045 2112 32 1 0 1
-3578.87 2004.29 5500 -10.0893 24.7657 33.5609 515.57 2112 35 1 0 1
-5087.92 3756.83 5500 -26.3144 19.4301 28.4457 606.635 2112 38 1 0 1
2353.78 -1845.35 5500 16.2977 -12.7773 38.0823 453.128 2112 46 1 0 1
4462.64 536.79 -5500 27.2349 3.27596 -33.5658 514.099 2112 48 1 0 1
2304.14 -2563.68 5500 15.3881 -17.1214 36.7315 469.792 2112 51 1 0 1
-551.578 -2266.26 -5500 -4.00232 -16.4443 -39.9087 432.39 2112 53 1 0 1
-4926.95 -2032.93 5500 -27.8865 -11.5064 31.13 554.324 2112 56 1 0 1
-3718.53 -703.926 5500 -24.1443 -4.57057 35.7113 483.212 2112 57 1 0 1
5318.59 -3753.79 5500 16.8975 -4.10405 27.8439 751.908 2112 60 1 0 1
1923.19 2296.61 5500 13.3116 15.8963 38.069 453.286 2112 61 1 0 1
-44.2496 -5381.29 -5500 -0.249281 -30.3157 -30.9844 556.929 2112 62 1 0 1
1874.75 2210.96 5500 13.0717 15.4159 38.3486 449.98 2112 63 1 0 1
454.521 744.17 -5500 -10.7154 17.4455 -19.5235 452.248 2112 65 1 0 1
-656.234 -1338.71 5500 -4.99204 -10.1837 41.8391 412.441 2112 72 1 0 1
-589.532 -2564.65 -5500 -0.152987 2.03727 -21.7222 552.785 2112 76 1 0 1
-1906.18 -1908.59 -5500 -13.4889 -13.5059 -38.9201 443.373 2112 77 1 0 1
-594.119 2242.02 -5500 -4.31467 16.2822 -39.9426 432.024 2112 81 1 0 1
-1807.64 -3370.44 5500 -11.6971 -21.8098 35.59 484.859 2112 83 1 0 1
-203.917 5315.33 5500 -1.15528 30.1139 31.1601 553.789 2112 84 1 0 1
-778.316 5230.82 -5500 -4.4219 29.7182 -31.2475 552.24 2112 89 1 0 1
1467.4 -4349.31 5500 18.8471 -12.6853 36.3723 541.092 2112 90 1 0 1
-692.152 -1735.16 5500 -5.16546 -12.9493 41.0459 420.41 2112 91 1 0 1
2250.02 -5253.58 -5500 0.307657 -0.976002 -1.59174 5446.15 2112 96 1 0 1
-4467.83 4937.25 5500 -22.4255 24.7816 27.6063 625.081 2112 98 1 0 1
3983.13 -764.615 -5500 0.814734 -7.35708 -17.5434 782.5 2112 100 1 0 1
-138.77 5006.98 -5500 -0.808648 29.1769 -32.0498 538.416 2112 101 1 0 1
1304.13 538.814 -5500 -9.42533 23.4277 -29.8019 959.659 2112 102 1 0 1
3980.67 -2612.88 5500 23.7199 -15.5696 32.7733 526.53 2112 105 1 0 1
-769.487 1437.08 5500 -5.81479 10.8596 41.5619 415.191 2112 109 1 0 1
913.86 -2637.8 -5500 6.42274 -18.5389 -38.6548 446.416 2112 116 1 0 1
2033.6 1292.39 5500 -3.30463 -2.48248 34.0873 472.212 2112 117 1 0 1
1668.71 1461.88 5500 12.1973 10.6855 40.2018 429.238 2112 120 1 0 1
4933.42 1001.64 -5500 28.6828 5.82352 -31.9769 539.644 2112 122 1 0 1
1960.25 2227.78 5500 13.5972 15.4529 38.1505 452.317 2112 125 1 0 1
3226.28 -1433.13 -5500 21.3995 -9.50574 -36.4807 473.021 2112 128 1 0 1
-782.617 4280.1 5500 -10.2123 1.56157 15.4644 902.921 2112 129 1 0 1
1673.45 -3426.07 -5500 10.8395 -22.1918 -35.6253 484.378 2112 137 1 0 1
-4433.01 1835.99 5500 -25.3321 18.8898 24.9135 550.203 2112 139 1 0 1
-5258.24 -5205.68 5500 -24.7237 -24.4767 25.8605 667.278 2112 143 1 0 1
3805.27 4479.52 -5500 20.4923 24.1233 -29.6188 582.608 2112 147 1 0 1
7.2061 915.81 -5500 0.0560245 7.12004 -42.7602 403.556 2112 148 1 0 1
2909.57 4856.11 5500 8.83985 13.2943 4.348 1059.33 2112 153 1 0 1
4729.62 -241.003 5500 28.2484 -1.43942 32.8496 525.308 2112 155 1 0 1
412.945 -1543.07 5500 3.12553 -11.6793 41.6288 414.523 2112 158 1 0 1
-87.1848 3270.8 -5500 -0.590558 22.1552 -37.255 463.19 2112 159 1 0 1
-3409.58 2958.62 -5500 -20.7721 18.0248 -33.5076 514.991 2112 162 1 0 1
3367.72 3846.3 -5500 1.14452 21.8866 -36.6588 579.143 2112 163 1 0 1
1266.48 13.7478 5500 9.72735 0.105592 42.2434 408.493 2112 165 1 0 1
-4713.7 1160.59 5500 -27.8539 6.85809 32.5002 530.954 2112 166 1 0 1
2928.9 5337.97 -5500 15.474 28.2017 -29.0577 593.857 2112 170 1 0 1
-1079.5 -3833.7 -5500 -31.698 -14.5356 -21.2022 587.296 2112 171 1 0 1
-1224.77 2532.48 -5500 -32.3304 1.1886 -22.7855 874.098 2112 177 1 0 1
2438.69 5186.13 5500 13.309 28.3029 30.0158 574.901 2112 181 1 0 1
-424.816 -3432.18 -5500 -2.83446 -22.9002 -36.6971 470.231 2112 186 1 0 1
-479.543 -3080.32 -5500 -16.9471 -17.4909 -9.14926 653.541 2112 190 1 0 1
-2526.8 -5127.1 5500 -13.8086 -28.0188 30.0567 574.12 2112 196 1 0 1
-1035.29 -4805.1 5500 14.4156 -24.353 28.2067 1141.79 2112 207 1 0 1
-692.077 -4686.27 -5500 -4.13304 -27.9861 -32.8456 525.371 2112 211 1 0 1
-1550.46 4039.8 5500 -9.60412 25.024 34.069 506.505 2112 217 1 0 1
1787.66 -1116.39 5500 5.3629 -15.0954 38.2921 431.623 2112 220 1 0 1
895.316 -4146.55 -5500 5.58763 -25.8784 -34.3252 502.725 2112 222 1 0 1
1936.42 -2697.36 5500 27.8833 4.07446 31.6151 507.471 2112 227 1 0 1
655.991 -3868.2 5500 4.20909 -24.8199 35.2901 488.979 2112 231 1 0 1
-1472.1 2003.83 5500 -10.5724 14.3912 39.5001 436.864 2112 232 1 0 1
-1010.59 640.211 5500 -7.7831 4.93062 42.3586 407.382 2112 239 1 0 1
-3393.81 345.566 -5500 -29.266 12.0951 -20.6804 1158.38 2112 240 1 0 1
-899.098 -3530.37 -5500 -5.90789 -23.1977 -36.14 477.48 2112 242 1 0 1
-2323.9 -1042.7 -5500 -12.1157 12.9669 -26.6105 493.372 2112 245 1 0 1
636.701 -233.843 5500 -4.95401 3.02547 3.89494 1117.15 2112 248 1 0 1
-4120.14 -4740.12 5500 -21.394 -24.6133 28.559 604.227 2112 250 1 0 1
-3036.37 4258.9 -5500 -17.3417 24.3241 -31.4124 549.341 2112 254 1 0 1
-1542.53 529.617 -5500 0.044605 -0.126633 -0.56898 4837.26 2112 260 1 0 1
-1640.55 -2255.01 5500 -11.5326 -15.852 38.6633 446.319 2112 262 1 0 1
2530.06 -1459.31 -5500 10.1557 -14.0768 -38.3141 455.649 2112 263 1 0 1
-3664.01 50.4767 -5500 -24.0329 0.331086 -36.0755 478.333 2112 272 1 0 1
-2472.86 2609.08 5500 -16.3146 17.2133 36.286 475.559 2112 274 1 0 1
-1619.65 1064.38 5500 -12.0399 7.91223 40.8849 422.066 2112 278 1 0 1
3400.19 1269.66 -5500 4.56799 21.2341 -24.0592 1035.14 2112 283 1 0 1
3500.39 -1785.6 5500 -7.56354 -15.488 33.8947 928.837 2112 289 1 0 1
163.26 4890.3 -5500 0.961372 28.7971 -32.3873 532.805 2112 291 1 0 1
-1576.57 1207.45 5500 0.733219 -12.0348 14.8175 1252.37 2112 293 1 0 1
-1563.7 3421.13 5500 1.59656 18.3603 35.6322 499.577 2112 295 1 0 1
-3365.54 -2854.33 5500 -20.6895 -17.5469 33.811 510.37 2112 296 1 0 1
2468.86 95.5817 5500 17.75 0.687188 39.5424 436.396 2112 299 1 0 1
138.282 -3028.72 -5500 -1.65611 -7.36938 -11.0947 1648.55 2112 300 1 0 1
653.883 -3669.35 5500 4.26633 -23.9411 35.8854 480.868 2112 302 1 0 1
-1598.79 1527.36 5500 -11.6917 11.1693 40.2205 429.039 2112 303 1 0 1
3060.26 -2686.08 -5500 19.3854 -17.0151 -34.84 495.296 2112 305 1 0 1
-218.918 5403.97 5500 -1.23026 30.369 30.9087 558.295 2112 308 1 0 1
1661.41 1138.49 -5500 12.2961 8.42596 -40.7056 423.926 2112 312 1 0 1
-2376.59 -1690.12 5500 -16.549 -11.7689 38.2983 450.572 2112 314 1 0 1
2741.44 -506.424 5500 -16.2561 -4.56438 30.8203 653.835 2112 315 1 0 1
-576.692 -192.234 -5500 -4.51777 -1.50594 -43.0866 400.499 2112 316 1 0 1
1609.81 3931.79 5500 4.01203 13.5714 23.4827 1829.5 2112 317 1 0 1
2537.51 1405.91 5500 17.6899 9.80109 38.3425 450.053 2112 319 1 0 1
2285.97 510.678 5500 16.5765 3.70315 39.8829 432.671 2112 323 1 0 1
-3952.85 -2724.07 5500 -23.4717 -16.1753 32.6585 528.381 2112 329 1 0 1
2154.87 -4083.46 5500 -6.74342 -13.7512 39.5592 570.858 2112 333 1 0 1
5353.11 3783.87 5500 27.1182 19.1686 27.8623 619.337 2112 335 1 0 1
2654.58 2745.03 5500 17.1862 17.7718 35.608 484.614 2112 336 1 0 1
-2632.18 -2509.13 -5500 -17.3053 -16.4963 -36.1598 477.218 2112 352 1 0 1
1689.56 12.541 -5500 -1.72342 2.74942 -2.78191 2014.04 2112 358 1 0 1
2983.02 2075.74 -5500 19.6157 13.6497 -36.1669 477.125 2112 360 1 0 1
-3092.08 -704.693 5500 -21.1123 -4.81156 37.5533 459.51 2112 361 1 0 1
-3490.91 -904.368 5500 -23.0093 -5.96087 36.2516 476.01 2112 362 1 0 1
1602.83 -1310.6 5500 -17.4101 -21.3758 29.5085 875.064 2112 363 1 0 1
162.858 -1444.42 -5500 1.24098 -11.0065 -41.9101 411.742 2112 365 1 0 1
-5148.97 2627.11 5500 -27.9739 14.2729 29.8811 577.494 2112 369 1 0 1
5083.05 -676.688 5500 29.3025 -3.90094 31.7061 544.252 2112 370 1 0 1
-2755.39 1296.74 5500 -18.9991 8.94134 37.9239 455.02 2112 378 1 0 1
-4369.29 570.294 -5500 -26.8757 3.50791 -33.8308 510.071 2112 379 1 0 1
-163.743 -2741.17 -5500 4.26343 5.49014 -20.342 1406.73 2112 380 1 0 1
4420.64 2121.66 -5500 26.1828 -2.20525 -25.4431 588.458 2112 386 1 0 1
-4098.3 2213.24 -5500 -24.6498 13.3118 -33.0805 521.641 2112 394 1 0 1
845.061 -2426.75 -5500 13.4386 -8.20641 -37.7476 447.977 2112 398 1 0 1
934.555 854.01 -5500 3.20371 9.25985 -41.8745 409.185 2112 400 1 0 1
-706.782 -1120.11 5500 -22.6304 6.46131 13.7098 532.731 2112 401 1 0 1
3679.88 938.591 5500 23.8667 6.08745 35.6715 483.751 2112 402 1 0 1
1600.44 3701.4 5500 10.1727 23.5268 34.9591 493.609 2112 403 1 0 1
1361.89 -5424.12 5500 3.42779 -24.8804 6.37574 815.406 2112 405 1 0 1
-1536.63 -5457.12 5500 -8.4331 -29.9488 30.1842 571.694 2112 407 1 0 1
3968.65 2550.8 -5500 23.7418 15.2598 -32.9029 524.456 2112 408 1 0 1
3211.05 832.757 5500 -4.36569 0.0605055 15.954 844.011 2112 412 1 0 1
677.644 -4876.37 -5500 3.97951 -28.6368 -32.2991 534.26 2112 413 1 0 1
3503.53 1687.59 -5500 7.62884 25.5947 -16.9787 624.551 2112 415 1 0 1
-1798.6 -1166.52 5500 -21.6931 -15.5942 18.3451 471.96 2112 417 1 0 1
-1091.44 -1627.91 -5500 -8.10322 -12.0861 -40.8338 422.594 2112 421 1 0 1
1633.39 2191.18 -5500 11.5289 15.4659 -38.8204 444.512 2112 427 1 0 1
2687.64 -2737.52 5500 17.374 -17.6965 35.5544 485.345 2112 430 1 0 1
-977.792 -2948.81 5500 -6.71013 -20.2363 37.7439 457.19 2112 433 1 0 1
5232.74 892.676 -5500 5.07192 11.4637 -16.8309 1765.65 2112 437 1 0 1
-4994.45 1682.23 5500 -28.4224 9.57325 31.2994 551.324 2112 444 1 0 1
