,Be7,Be7 error,C10,C10 error,C11,C11 error,F17,F17 error,O14,O14 error,O15,O15 error,energy,thickness
0,66760000.0,817067.9286326198,10670000.0,326649.65942122147,203230000.0,1425587.5981503206,0.0,0.0,2400000.0,154919.33384829666,49490000.00000001,703491.2934784624,0.25,1.0
1,134089999.99999999,1157972.3658188048,21300000.0,461519.2303685731,407250000.0,2018043.6070610564,0.0,0.0,5110000.0,226053.09110914628,99620000.0,998098.1915623331,0.25,2.0
2,203140000.0,1425271.9038836064,33250000.0,576628.1297335399,613530000.0,2476953.7742961617,0.0,0.0,8150000.0,285482.04847240396,149480000.0,1222620.1372462339,0.25,3.0
3,338470000.0,1839755.4185271475,55010000.0,741687.2656315464,1039700000.0,3224437.935516824,0.0,0.0,12659999.999999998,355808.9374931439,253490000.0,1592136.9287847073,0.25,5.0
4,68690000.0,828794.3049997388,10960000.0,331058.90714493697,203810000.00000003,1427620.3977248296,0.0,0.0,2290000.0,151327.45950421557,50199999.99999999,708519.583356734,0.23,1.0
5,139280000.0,1180169.4793545546,21820000.0,467118.8285650665,408550000.0,2021261.9820300383,0.0,0.0,5250000.0,229128.78474779203,102170000.0,1010791.7688624101,0.23,2.0
6,205140000.0,1432270.9240922262,31980000.000000004,565508.6206239477,621650000.0,2493290.997858052,0.0,0.0,8040000.0,283548.9375751565,149930000.0,1224459.0642402056,0.23,3.0
7,341450000.0,1847836.5728602733,54390000.00000001,737495.7626996918,1033600000.0,3214965.007585619,10000.0,10000.0,12390000.0,351994.31813596084,249579999.99999997,1579810.1151720735,0.23,5.0
8,68530000.0,827828.4846512593,10400000.0,322490.30993194197,205680000.0,1434154.8033598047,0.0,0.0,2580000.0,160623.78404209012,50390000.00000001,709859.1409568521,0.2,1.0
9,138470000.0,1176732.7649045894,21030000.0,458584.779511924,417930000.00000006,2044333.6322626013,0.0,0.0,4430000.0,210475.6517984919,98860000.0,994283.6617384398,0.2,2.0
10,208970000.0,1445579.4685869054,31390000.0,560267.7931132576,628800000.0,2507588.4829851966,0.0,0.0,7430000.0,272580.2634087802,150460000.0,1226621.3759754882,0.2,3.0
11,352990000.0,1878802.8103023479,51470000.0,717425.9543674176,1041100000.0,3226608.1261907215,10000.0,10000.0,11260000.0,335559.23471125035,251920000.0,1587198.7903221198,0.2,5.0
12,73740000.0,858719.9776411401,9710000.0,311608.7290176577,210810000.0,1451929.7503667318,0.0,0.0,1660000.0,128840.98726725124,50860000.0,713161.9731870174,0.15,1.0
13,149240000.0,1221638.2443260362,19110000.0,437149.85988788784,430070000.0,2073812.9134519342,0.0,0.0,3800000.0,194935.88689617926,100490000.0,1002447.0060806207,0.15,2.0
14,226379999.99999997,1504592.9682143272,28730000.0,536003.7313302959,643970000.0,2537656.3991210475,0.0,0.0,5100000.0,225831.79581272427,152220000.0,1233774.695801466,0.15,3.0
15,382870000.0,1956706.416404873,46580000.0,682495.4212300621,1074800000.0,3278414.2508231024,0.0,0.0,8279999.999999999,287749.89139876317,249410000.0,1579271.9841749868,0.15,5.0
16,87640000.0,936162.379077476,7870000.0,280535.2027821108,228200000.00000003,1510629.0080625354,0.0,0.0,1080000.0,103923.04845413264,50639999.99999999,711617.8749862878,0.1,1.0
17,178550000.0,1336226.0287840527,14920000.0,386264.15831655933,460090000.0,2144970.8622729587,0.0,0.0,2380000.0,154272.48620541513,102940000.0,1014593.5146648631,0.1,2.0
18,270710000.0,1645326.7152757228,21150000.0,459891.2915026768,699070000.0,2643993.1921243668,0.0,0.0,3420000.0,184932.4200890693,159640000.0,1263487.237766967,0.1,3.0
19,426930000.0,2066228.4481634647,32449999.999999996,569649.0147450445,1139800000.0,3376092.4157967,0.0,0.0,4510000.0,212367.605815953,256960000.0,1602997.1927611101,0.1,5.0
20,94840000.0,973858.305915188,5810000.0,241039.415863879,250440000.0,1582529.6205758676,0.0,0.0,860000.0000000001,92736.18495495705,56479999.99999999,751531.7691222373,0.07,1.0
21,179090000.0,1338245.1195502265,10460000.0,323419.2325759246,499130000.0,2234121.7513824087,0.0,0.0,1190000.0,109087.12114635715,111430000.0,1055604.092451332,0.07,2.0
22,227070000.0,1506884.2025849232,13100000.000000002,361939.2214170772,672660000.0,2593568.9695861186,10000.0,10000.0,1330000.0,115325.62594670797,151390000.0,1230406.4369142419,0.07,3.0
23,242150000.0,1556116.9621850408,13970000.0,373764.6318206152,741310000.0,2722700.864950096,0.0,0.0,1380000.0,117473.4012447073,169640000.0,1302459.2124131948,0.07,5.0
