,Kinetic Energy (GeV),Thickness (cm),Upstream Energy Mean (GeV),Downstream Energy Mean (GeV),Upstream Energy Std,Downstream Energt Std,Ratio
0,0.25,1.0,0.25012408507415995,0.24562214557880263,0.0009928384257350872,0.0010686232899381437,1.008639737361539
1,0.25,2.0,0.250123890677905,0.2410693818037124,0.0009932236860264057,0.0011412195221653751,1.0109393831839666
2,0.25,3.0,0.2501231250920364,0.2364636098134253,0.0009931561877331544,0.0012119697709330852,1.010807436292516
3,0.25,5.0,0.25012361296725355,0.22708310384831604,0.0009933842983137875,0.0013464842397076864,1.0045305341706434
4,0.23,1.0,0.23012340678727974,0.2253831744376939,0.0009135288940865776,0.0009942141831324617,1.0077915073450696
5,0.23,2.0,0.23012367489924926,0.22058041574454118,0.000913505866732792,0.0010713343055609808,1.0092240735951068
6,0.23,3.0,0.2301234566911191,0.21571037108493044,0.0009133303478307869,0.0011452011581463497,1.0082815957990297
7,0.23,5.0,0.2301241091768251,0.20575665200529972,0.0009135468150565438,0.0012889331593039205,1.0001385876409252
8,0.2,1.0,0.20012381482985256,0.19493694650891952,0.0007945466178399554,0.0008846547440709224,1.0060761977562098
9,0.2,2.0,0.20012367234161446,0.18965831968161304,0.0007942287954456951,0.000969937728558514,1.006396640206876
10,0.2,3.0,0.20012353109328607,0.1842819460560988,0.000794604106856597,0.0010519766140055843,1.0036634545982528
11,0.2,5.0,0.2001236435110902,0.1732026303536236,0.000794475229423502,0.0012107370969015408,0.9923160219334864
12,0.15,1.0,0.1501389167580825,0.143811167625894,0.0005958417923187425,0.0007107634787539748,1.003079118364685
13,0.15,2.0,0.15013930951163665,0.13728236326933563,0.00059567603773302,0.0008173245335218677,0.9998558443021021
14,0.15,3.0,0.15013879326765617,0.13052429117186068,0.0005955792107261296,0.0009210892661047084,0.9935977917361509
15,0.15,5.0,0.1501388626999959,0.11618602218460547,0.0005955526135407276,0.0011342962015701322,0.9748047844823771
16,0.1,1.0,0.10015442646027492,0.09152499775084544,0.00039727448776816975,0.0005655740248963848,0.9988379682823386
17,0.1,2.0,0.10015433126379171,0.08222708717005615,0.00039719293766935914,0.000726821729970623,0.9900729247788232
18,0.1,3.0,0.10015417554282166,0.07203845122242648,0.0003971958759696085,0.0009045727033022973,0.9770855807488831
19,0.1,5.0,0.10015414869700244,0.04704149039238234,0.00039730216904612853,0.0014454528766163573,0.938632486668944
20,0.07,1.0,0.07010785617280403,0.05837068410105867,0.00027812189812907674,0.0005147219870372812,0.994992658874345
21,0.07,2.0,0.07010781010720013,0.044346784295636696,0.0002779849539916631,0.0007901055860718656,0.9786500938903707
22,0.07,3.0,0.07010789542058725,0.025128194877673433,0.0002780991383830424,0.0013234326124599953,0.9497160255508087
23,0.07,5.0,0.07010794710903301,0.006835102684677208,0.0002781529221907099,0.011798621611357096,1.444931558721475e-05
