,Be7,Be7 error,C10,C10 error,C11,C11 error,F17,F17 error,O14,O14 error,O15,O15 error,energy,thickness
0,0.0006676,817067.9286326198,0.0001067,326649.65942122147,0.0020323,1425587.5981503206,0.0,0.0,2.4e-05,154919.33384829666,0.0004949,703491.2934784624,0.25,1.0
1,0.0013409,1157972.3658188048,0.000213,461519.2303685731,0.0040725,2018043.6070610564,0.0,0.0,5.11e-05,226053.09110914628,0.0009962,998098.1915623331,0.25,2.0
2,0.0020314,1425271.9038836064,0.0003325,576628.1297335399,0.0061353,2476953.7742961617,0.0,0.0,8.15e-05,285482.04847240396,0.0014948,1222620.1372462339,0.25,3.0
3,0.0033847,1839755.4185271475,0.0005501,741687.2656315464,0.010397,3224437.935516824,0.0,0.0,0.0001266,355808.9374931439,0.0025349,1592136.9287847073,0.25,5.0
4,0.0006869,828794.3049997388,0.0001096,331058.90714493697,0.0020381,1427620.3977248296,0.0,0.0,2.29e-05,151327.45950421557,0.000502,708519.583356734,0.23,1.0
5,0.0013928,1180169.4793545546,0.0002182,467118.8285650665,0.0040855,2021261.9820300383,0.0,0.0,5.25e-05,229128.78474779203,0.0010217,1010791.7688624101,0.23,2.0
6,0.0020514,1432270.9240922262,0.0003198,565508.6206239477,0.0062165,2493290.997858052,0.0,0.0,8.04e-05,283548.9375751565,0.0014993,1224459.0642402056,0.23,3.0
7,0.0034145,1847836.5728602733,0.0005439,737495.7626996918,0.010336,3214965.007585619,1e-07,10000.0,0.0001239,351994.31813596084,0.0024958,1579810.1151720735,0.23,5.0
8,0.0006853,827828.4846512593,0.000104,322490.30993194197,0.0020568,1434154.8033598047,0.0,0.0,2.58e-05,160623.78404209012,0.0005039,709859.1409568521,0.2,1.0
9,0.0013847,1176732.7649045894,0.0002103,458584.779511924,0.0041793,2044333.6322626013,0.0,0.0,4.43e-05,210475.6517984919,0.0009886,994283.6617384398,0.2,2.0
10,0.0020897,1445579.4685869054,0.0003139,560267.7931132576,0.006288,2507588.4829851966,0.0,0.0,7.43e-05,272580.2634087802,0.0015046,1226621.3759754882,0.2,3.0
11,0.0035299,1878802.8103023479,0.0005147,717425.9543674176,0.010411,3226608.1261907215,1e-07,10000.0,0.0001126,335559.23471125035,0.0025192,1587198.7903221198,0.2,5.0
12,0.0007374,858719.9776411401,9.71e-05,311608.7290176577,0.0021081,1451929.7503667318,0.0,0.0,1.66e-05,128840.98726725124,0.0005086,713161.9731870174,0.15,1.0
13,0.0014924,1221638.2443260362,0.0001911,437149.85988788784,0.0043007,2073812.9134519342,0.0,0.0,3.8e-05,194935.88689617926,0.0010049,1002447.0060806207,0.15,2.0
14,0.0022638,1504592.9682143272,0.0002873,536003.7313302959,0.0064397,2537656.3991210475,0.0,0.0,5.1e-05,225831.79581272427,0.0015222,1233774.695801466,0.15,3.0
15,0.0038287,1956706.416404873,0.0004658,682495.4212300621,0.010748,3278414.2508231024,0.0,0.0,8.28e-05,287749.89139876317,0.0024941,1579271.9841749868,0.15,5.0
16,0.0008764,936162.379077476,7.87e-05,280535.2027821108,0.002282,1510629.0080625354,0.0,0.0,1.08e-05,103923.04845413264,0.0005064,711617.8749862878,0.1,1.0
17,0.0017855,1336226.0287840527,0.0001492,386264.15831655933,0.0046009,2144970.8622729587,0.0,0.0,2.38e-05,154272.48620541513,0.0010294,1014593.5146648631,0.1,2.0
18,0.0027071,1645326.7152757228,0.0002115,459891.2915026768,0.0069907,2643993.1921243668,0.0,0.0,3.42e-05,184932.4200890693,0.0015964,1263487.237766967,0.1,3.0
19,0.0042693,2066228.4481634647,0.0003245,569649.0147450445,0.011398,3376092.4157967,0.0,0.0,4.51e-05,212367.605815953,0.0025696,1602997.1927611101,0.1,5.0
20,0.0009484,973858.305915188,5.81e-05,241039.415863879,0.0025044,1582529.6205758676,0.0,0.0,8.6e-06,92736.18495495705,0.0005648,751531.7691222373,0.07,1.0
21,0.0017909,1338245.1195502265,0.0001046,323419.2325759246,0.0049913,2234121.7513824087,0.0,0.0,1.19e-05,109087.12114635715,0.0011143,1055604.092451332,0.07,2.0
22,0.0022707,1506884.2025849232,0.000131,361939.2214170772,0.0067266,2593568.9695861186,1e-07,10000.0,1.33e-05,115325.62594670797,0.0015139,1230406.4369142419,0.07,3.0
23,0.0024215,1556116.9621850408,0.0001397,373764.6318206152,0.0074131,2722700.864950096,0.0,0.0,1.38e-05,117473.4012447073,0.0016964,1302459.2124131948,0.07,5.0
