,Be7,Be7 error,C10,C10 error,C11,C11 error,F17,F17 error,O14,O14 error,O15,O15 error,energy,thickness
0,65100000.0,806845.7101577724,10920000.0,330454.2328371661,201810000.0,1420598.4654363103,0.0,0.0,2440000.0,156204.9935181331,49670000.0,704769.465853906,0.25,1.0
4,67600000.0,822192.1916437786,10980000.0,331360.83051561785,206250000.0,1436140.6616345071,0.0,0.0,2680000.0,163707.055437449,48804000.0,698598.5971929803,0.23,1.0
8,67000000.0,818535.277187245,10330000.0,321403.17359976395,204250000.0,1429160.5927956451,0.0,0.0,2360000.0,153622.91495737215,49390000.0,702780.193232564,0.2,1.0
12,73540000.0,857554.6629807338,9790000.0,312889.7569432403,210100000.0,1449482.666333061,0.0,0.0,1850000.0,136014.70508735444,50250000.0,708872.3439378913,0.15,1.0
16,87190000.0,933755.8567420072,8229999.999999999,286879.765755621,227519999.99999997,1508376.610797184,10000.0,10000.0,1230000.0,110905.36506409416,51490000.0,717565.3280364095,0.1,1.0
20,96090000.0,980255.0688468793,6170000.0,248394.8469674844,253090000.0,1590880.2594790095,0.0,0.0,790000.0000000001,88881.94417315589,54029999.99999999,735051.0186374821,0.07,1.0
1,135410000.0,1163658.0253665594,21550000.0,464219.7755374064,410870000.0,2026992.8465586652,0.0,0.0,4850000.0,220227.15545545242,98380000.0,991866.9265581951,0.25,2.0
5,137110000.0,1170939.7934992218,21030000.0,458584.779511924,410960000.0,2027214.8381461694,0.0,0.0,5250000.0,229128.78474779203,101680000.0,1008365.0132764425,0.23,2.0
9,137430000.0,1172305.4209547953,20950000.0,457711.69965383236,418260000.0,2045140.5819649661,0.0,0.0,4510000.0,212367.605815953,100100000.0,1000499.8750624609,0.2,2.0
13,148230000.0,1217497.4332621815,19260000.0,438862.1651498338,427730000.00000006,2068163.4364817499,0.0,0.0,3770000.0,194164.878389476,101680000.0,1008365.0132764425,0.15,2.0
17,179900000.0,1341268.056728408,15240000.0,390384.4259188627,457400000.0,2138691.1885543456,0.0,0.0,2050000.0,143178.2106327635,104269999.99999999,1021126.8285575499,0.1,2.0
21,186220000.0,1364624.490473478,10800000.0,328633.5345030997,516420000.0,2272487.623728675,10000.0,10000.0,1490000.0,122065.55615733702,113510000.0,1065410.718924866,0.07,2.0
2,201860000.00000003,1420774.4367069672,33700000.0,580517.0109479997,620270000.0,2490522.033630701,0.0,0.0,7750000.0,278388.21814150113,151030000.0,1228942.634950875,0.25,3.0
6,204260000.0,1429195.5779388628,32790000.0,572625.5320888163,621680000.0,2493351.158581558,0.0,0.0,7050000.000000001,265518.3609470351,151250000.0,1229837.3876248843,0.23,3.0
10,210480000.0,1450792.8866657708,32390000.0,569122.1310052879,626670000.0,2503337.771855808,0.0,0.0,6700000.0,258843.58211089572,151090000.0,1229186.723000212,0.2,3.0
14,228340000.0,1511092.3201446033,27820000.0,527446.6797696237,639160000.0,2528161.387253591,10000.0,10000.0,5460000.0,233666.42891095844,151980000.0,1232801.687214939,0.15,3.0
18,268270000.0,1637894.9905290022,22530000.0,474657.7714522327,693020000.0,2632527.3028023853,0.0,0.0,3160000.0000000005,177763.88834631178,154500000.0,1242980.2894656053,0.1,3.0
22,241070000.0,1552642.9080764193,13260000.0,364142.8291206625,724260000.0,2691207.9072416537,0.0,0.0,1460000.0,120830.45973594573,160570000.0,1267162.183779172,0.07,3.0
3,338740000.0,1840489.0654388578,56320000.0,750466.5215717488,1030599999.9999999,3210295.9365142644,10000.0,10000.0,12700000.0,356370.5936241092,251529999.99999997,1585969.7348940806,0.25,5.0
7,343460000.0,1853267.3849177833,54090000.0,735459.0403278758,1036800000.0,3219937.887599697,0.0,0.0,12500000.0,353553.3905932738,251609999.99999997,1586221.9264655246,0.23,5.0
11,350010000.0,1870855.419320264,51700000.0,719027.120489902,1047000000.0,3235737.937472687,10000.0,10000.0,11070000.0,332716.0951922825,250069999.99999997,1581360.1740274096,0.2,5.0
15,383130000.0,1957370.685383839,46970000.0,685346.6276272176,1068800000.0,3269250.6786724073,0.0,0.0,8040000.0,283548.9375751565,253680000.0,1592733.499365164,0.15,5.0
19,453600000.0,2129788.7219158616,32290000.0,568242.9058070149,1185700000.0,3443399.4830690203,30000.0,17320.508075688773,4300000.0,207364.41353327723,261230000.0,1616261.117517835,0.1,5.0
23,238280000.0,1543632.0805165977,12960000.0,360000.0,729210000.0,2700388.8608865207,30000.0,17320.508075688773,1350000.0,116189.5003862225,165550000.0,1286662.34887013,0.07,5.0
