,Be7,Be7 error,C10,C10 error,C11,C11 error,F17,F17 error,O14,O14 error,O15,O15 error,energy,thickness
0,9.825523407256977,0.12177698020276607,1.0637643860463263e-51,3.219097473538807e-53,14579.469810821958,102.62906912506162,0.0,0.0,8.086936498085728e-12,5.177130587151783e-13,0.0003254679632052564,4.618076959547559e-06,0.25,1.0
4,10.20284765484749,0.12409322003471368,1.069609245310317e-51,3.2279290332714926e-53,14900.231150498137,103.75189247507144,0.0,0.0,8.882372874946618e-12,5.425772793488728e-13,0.00031979340600501977,4.577641685654291e-06,0.23,1.0
8,10.112289835425766,0.1235412830363879,1.0062899366170833e-51,3.130927194484375e-53,14755.744060553912,103.24762755800269,0.0,0.0,7.821791039132097e-12,5.091552286520871e-13,0.0003236332333945563,4.605042038904753e-06,0.2,1.0
12,11.099370067122551,0.12943046719077678,9.536862032411661e-52,3.0479943241292147e-53,15178.368798640768,104.71576619152955,0.0,0.0,6.131488738302703e-12,4.50796017560366e-13,0.00032926847495599225,4.6449615050131155e-06,0.15,1.0
16,13.159560458966755,0.14093149043136535,8.017198623774051e-52,2.7946197608804224e-53,16436.85135205496,108.9704735170085,1.2431331007331864e-15,1.2431331007331864e-15,4.076611431412067e-12,3.675756740042397e-13,0.0003373937069748067,4.701923208832733e-06,0.1,1.0
20,14.502834780388984,0.14794960251977435,6.010463609803877e-52,2.4197215373757987e-53,18284.118796991872,114.93082957091731,0.0,0.0,2.6183114071671007e-12,2.9458304850602966e-13,0.00035403732740044294,4.816500058141539e-06,0.07,1.0
1,20.437390546492583,0.17563055554963997,2.0992786189833635e-51,4.522165425962568e-53,29682.70532269173,146.43714886851063,0.0,0.0,1.6074443449063845e-11,7.299028775911055e-13,0.0006446454242023983,6.4993136371563004e-06,0.25,2.0
5,20.693971034854133,0.17672959062235413,2.0486231720287768e-51,4.467272494759082e-53,29689.20724173922,146.4531863277459,0.0,0.0,1.7400170743831998e-11,7.594057098930114e-13,0.0006662690255427918,6.607419106875882e-06,0.23,2.0
9,20.74226853854572,0.17693570436321943,2.0408300263434554e-51,4.458767446597797e-53,30216.58512003564,147.7482056074777,0.0,0.0,1.4947575248510915e-11,7.038538288869316e-13,0.00065591590732527,6.55588195135278e-06,0.2,2.0
13,22.37230928813674,0.18375652117961372,1.8761998237410478e-51,4.275145985985114e-53,30900.731490921546,149.41145823314736,0.0,0.0,1.2494979753189832e-11,6.435241974156681e-13,0.0006662690255427918,6.607419106875882e-06,0.15,2.0
17,27.152252856613366,0.2024371841288948,1.4845942530536642e-51,3.8029033805826605e-53,33044.19747024411,154.50663306178592,0.0,0.0,6.794352385686779e-12,4.745381546297956e-13,0.0006832402762917672,6.691042260214793e-06,0.1,2.0
21,28.106128554522186,0.20596236364459727,1.0520746675183446e-51,3.201361264330806e-53,37308.01149449816,164.17256184341085,1.2431331007331864e-15,1.2431331007331864e-15,4.9383341730113665e-12,4.045640988720909e-13,0.0007437863600448691,6.981217166610107e-06,0.07,2.0
2,30.466669047448445,0.21443705813051694,3.282862619941502e-51,5.655067048906111e-53,44810.503639852024,179.92414054063582,0.0,0.0,2.5685966336132944e-11,9.226671483301464e-13,0.0009896401546786767,8.052777457088025e-06,0.25,3.0
6,30.828900325135333,0.21570805844218832,3.1942155877709744e-51,5.578192743378302e-53,44912.3670382627,180.1285265562548,0.0,0.0,2.3365943570288684e-11,8.800123459239664e-13,0.0009910817281013698,8.058640419245914e-06,0.23,3.0
10,31.76768305314053,0.21896773374833256,3.1552498593443686e-51,5.54406459958074e-53,45272.86232767353,180.84999490145213,0.0,0.0,2.220593218736655e-11,8.578900046999396e-13,0.0009900333110666839,8.054376870018577e-06,0.2,3.0
14,34.46328747792716,0.22806870909534643,2.7100664120704023e-51,5.13808602085446e-53,46175.184204375226,182.64334087681232,1.2431331007331864e-15,1.2431331007331864e-15,1.8096177573585274e-11,7.744449066956491e-13,0.0009958651308221232,8.078064307909197e-06,0.15,3.0
18,40.48991036044284,0.24720699797345091,2.1947446536285467e-51,4.623846454496353e-53,50066.22153657318,190.1831045903173,0.0,0.0,1.0473245628668403e-11,5.891660970120593e-13,0.001012377699118424,8.144760682839753e-06,0.1,3.0
22,36.38462254665805,0.23433992682667282,1.2917138973419678e-51,3.547272647002874e-53,52323.10988150196,194.4223994761163,0.0,0.0,4.838904625903754e-12,4.004705962783187e-13,0.0010521520203718143,8.303215119897962e-06,0.07,3.0
3,51.12592625152425,0.2777844607261139,5.486374562466034e-51,7.310618668205983e-53,74454.1974482588,231.92315886335723,1.2431331007331864e-15,1.2431331007331864e-15,4.2091841608888835e-11,1.181125557550527e-12,0.0016481771045906608,1.0392235540993695e-05,0.25,5.0
7,51.83831443097513,0.2797130886392566,5.2691406264877096e-51,7.16442430857695e-53,74902.1074270859,232.61972759021657,0.0,0.0,4.1428977961504757e-11,1.1717884501683217e-12,0.001648701313108004,1.0393888053115608e-05,0.23,5.0
11,52.826903959662275,0.2823676453782614,5.036320399138743e-51,7.004353877093393e-53,75638.99158580144,233.76117920377757,1.2431331007331864e-15,1.2431331007331864e-15,3.668950288270861e-11,1.102727022012719e-12,0.0016386102991491533,1.0362030902649704e-05,0.2,5.0
15,57.82569559174141,0.2954253684472741,4.575550660494134e-51,6.676257642552996e-53,77213.9008661935,236.1822584297783,0.0,0.0,2.6647118624839856e-11,9.397714148647397e-13,0.001662265208494251,1.0436555827806734e-05,0.15,5.0
19,68.4617114828228,0.32144837080946576,3.145508427237718e-51,5.535499687005308e-53,85659.1712734334,248.76338541204458,3.72939930219956e-15,2.153169691040518e-15,1.4251568418757635e-11,6.8727165746164e-13,0.0017117373873184844,1.0590723050661994e-05,0.1,5.0
23,35.96352868634705,0.2329799253350018,1.2624896010220136e-51,3.506915558394482e-53,52680.715429113916,195.08566411364615,3.72939930219956e-15,2.153169691040518e-15,4.474329619842513e-12,3.850889800687248e-13,0.0010847840005764082,8.430992027776368e-06,0.07,5.0
