,Kinetic Energy (GeV),Thickness (cm),Upstream Energy Mean (GeV),Downstream Energy Mean (GeV),Upstream Energy Std,Downstream Energt Std,Ratio
0,0.07,1.0,0.0701078853996231,0.05838240742395455,0.00027811403121634026,0.0004673054184872737,0.9949329223261818
1,0.07,2.0,0.07010789705236452,0.044382572729160887,0.00027804038896932703,0.0006805845437228408,0.9786971315094676
2,0.07,3.0,0.07010794072728846,0.02517483280666774,0.0002780824028557295,0.0011972229594684216,0.9496533458497146
3,0.07,5.0,0.07010794710903301,0.011452123627215859,0.0002781529221907099,0.0076758631973562015,1.4449299243203432e-05
4,0.08,1.0,0.08012341576659578,0.06972280334442428,0.0003177775518461994,0.0004847866232102397,0.9963567657830175
5,0.08,2.0,0.08012348487525268,0.05793035004586644,0.0003177645975279228,0.0006530377134378637,0.9836702174330689
6,0.08,3.0,0.08012340089911439,0.04380754788446748,0.00031787519745441476,0.0008949757556596512,0.9640446145105919
7,0.08,5.0,0.08012340426680789,0.01272829732024631,0.0003178530966283591,0.009125693711460419,2.6641822268350913e-05
8,0.09000000000000001,1.0,0.09012338921323554,0.080719068695355,0.00035741338886934005,0.0005066588651844132,0.9967084304247545
9,0.09000000000000001,2.0,0.09012340047923396,0.07038285485482915,0.0003574891463444144,0.0006502306068905749,0.9858392920465163
10,0.09000000000000001,3.0,0.0901234624004229,0.058687854886469756,0.0003573452685650804,0.0008219413451197119,0.9697783051667292
11,0.09000000000000001,5.0,0.09012335488760992,0.025547182128957447,0.00035753640037515684,0.0022159665646034033,0.9133852376121819
12,0.1,1.0,0.10012343943838,0.09149970769486115,0.00039722509534370544,0.0005326187108738753,0.9965004992530794
13,0.1,2.0,0.10012345273146052,0.08221101124469622,0.0003971451155270637,0.0006600840106987036,0.9867210666542019
14,0.1,3.0,0.10012333942012751,0.07203540988831819,0.0003971662069713332,0.000800128558677959,0.9724821749147604
15,0.1,5.0,0.10012329708429536,0.04706856225609532,0.00039728672822918746,0.0012796373155671851,0.9313399545058636
16,0.11000000000000001,1.0,0.11012347452800132,0.1021324638879283,0.0004370488550182486,0.0005608113265881499,0.9960249467189272
17,0.11000000000000001,2.0,0.11012350753755773,0.0936444077433705,0.00043694054371797193,0.0006774403273648584,0.9869031352600139
18,0.11000000000000001,3.0,0.11012368889448937,0.08453093642343164,0.0004370225994080863,0.0007967964150228942,0.9741031209899554
19,0.11000000000000001,5.0,0.11012306677471315,0.0634941344598667,0.00043687198392545736,0.0011281574906767545,0.9382000897460862
20,0.12000000000000001,1.0,0.12012351629237826,0.11265605580414358,0.0004766075541923614,0.0005896591585774855,0.9955477964849392
21,0.12000000000000001,2.0,0.12012338933129547,0.10480547780084135,0.0004767954125181424,0.0006978725621756887,0.986831632580668
22,0.12000000000000001,3.0,0.12012335717347677,0.09648998783267038,0.000476785091337347,0.0008055247617360068,0.975004232270666
23,0.12000000000000001,5.0,0.12012341756281603,0.07795441896648128,0.00047662566398297765,0.0010684152096831583,0.9427560911212086
