,Kinetic Energy (GeV),Thickness (cm),Upstream Energy Mean (GeV),Downstream Energy Mean (GeV),Upstream Energy Std,Downstream Energt Std,Ratio
0,0.25,1.0,0.25012408507415995,0.24562339591506296,0.0009928384257350872,0.0010377772205771027,0.9912132364763618
1,0.25,2.0,0.250123890677905,0.24107246400876267,0.0009932236860264057,0.0010932049376753796,0.9817285485973962
2,0.25,3.0,0.2501231250920364,0.23646894623803863,0.0009931561877331544,0.0011469965369245753,0.9715517179358498
3,0.25,5.0,0.25012361296725355,0.2270921196846733,0.0009933842983137875,0.001255187793988192,0.9494055399476503
4,0.23,1.0,0.23012340678727974,0.22538462500818654,0.0009135288940865776,0.000966174918410063,0.9916250995464626
5,0.23,2.0,0.23012367489924926,0.22058382987701194,0.000913505866732792,0.0010248630871952811,0.9824087262024457
6,0.23,3.0,0.2301234566911191,0.21571562873248382,0.0009133303478307868,0.001083654710385405,0.9724500023353925
7,0.23,5.0,0.2301241091768252,0.20576606761236474,0.0009135468150565438,0.0012006683400448324,0.9501746318225806
8,0.2,1.0,0.20012381482985256,0.19493860022111648,0.0007945466178399554,0.0008584913026699731,0.9924994218847252
9,0.2,2.0,0.20012367234161446,0.18966224255711078,0.0007942287954456951,0.0009264753611968562,0.9834347703764021
10,0.2,3.0,0.2001235310932861,0.184288070728186,0.000794604106856597,0.000993226763695424,0.973609527152747
11,0.2,5.0,0.20012364351109013,0.17321302898715352,0.0007944752294235019,0.001126810417162613,0.9508942141835394
12,0.15,1.0,0.1501389167580825,0.14381374997439994,0.0005958417923187425,0.0006851023640394784,0.99555604868253
13,0.15,2.0,0.15013930951163668,0.1372885353149042,0.0005956760377330201,0.0007717445011285387,0.9880813676396794
14,0.15,3.0,0.15013879326765617,0.13053427931222575,0.0005955792107261296,0.0008553526220251527,0.978442423438158
15,0.15,5.0,0.1501388626999959,0.11620456252304415,0.0005955526135407276,0.0010325989571825036,0.9540538225493548
16,0.1,1.0,0.10015442646027492,0.09153089648839315,0.00039727448776816975,0.0005322033465086688,0.99883680753184
17,0.1,2.0,0.1001543312637917,0.08224205783507538,0.0003971929376693591,0.0006597896418190524,0.9900725234451582
18,0.1,3.0,0.10015417554282166,0.07206672303355444,0.0003971958759696085,0.0007969898936635429,0.977081548959621
19,0.1,5.0,0.10015414869700244,0.04710690521969806,0.00039730216904612853,0.0012541036754795392,0.9386479161569521
20,0.07,1.0,0.07010785617280403,0.05838238421029468,0.0002781218981290768,0.0004671724710041938,0.9949890563172623
21,0.07,2.0,0.07010781010720013,0.04438236931867906,0.0002779849539916631,0.0006806455144021592,0.9786671904765839
22,0.07,3.0,0.07010789542058725,0.025173610756641075,0.0002780991383830424,0.0012000966546340552,0.9497161057775186
23,0.07,5.0,0.07010794710903301,0.011452123627215859,0.0002781529221907099,0.0076758631973562015,1.4449299243203432e-05
