,Be7,Be7 error,C10,C10 error,C11,C11 error,N13,N13 error,N16,N16 error,O14,O14 error,O15,O15 error,energy,thickness
0,99.3117419658232,1.2242994456285192,1.4378353789417377e-50,3.742536001764344e-52,124858.51877530148,949.748493881133,6596.107483933689,106.65273676151271,5.228320281982246e-147,2.9724603254294503e-148,8.03059308805808e-10,1.6314392763764654e-11,0.04326948154277411,0.00016838286271816838,0.25,1.0
4,87.8561778089752,1.1515253568714838,1.2712568899179996e-50,3.519071281353779e-52,112519.3212940647,901.5982835020983,5714.902013531046,99.27331775792841,5.127431174465813e-147,2.9436413457812443e-148,6.665093974446886e-10,1.4862786586067044e-11,0.0379225546658768,0.0001576361560495138,0.23,1.0
8,68.05420129542505,1.0134791620782269,9.634276353478176e-51,3.063521649901043e-52,93432.57671243268,821.5777843628047,4526.740430150572,88.35292632006035,4.3973793411810714e-147,2.7260382195145218e-148,4.696388941716179e-10,1.2476108174106672e-11,0.03012298718846153,0.00014049344491826735,0.2,1.0
12,39.67941787661841,0.7738735425151742,5.591582029217868e-51,2.333881246044828e-52,58445.02788243875,649.7904277704708,2728.115565904078,68.58979802051945,2.6324114368232416e-147,2.1091713285279954e-148,2.064820261601397e-10,8.272527696531586e-12,0.018123854226483164,0.00010897636643214839,0.15,1.0
16,13.749695582198319,0.4555477380100396,1.5975948654908197e-51,1.2475120005881147e-52,27625.931597335697,446.74324077132,1208.855253918305,45.65783280054627,8.199394652579241e-148,1.1771339072656058e-148,4.673188714057737e-11,3.935534853050098e-12,0.008188792301542357,7.325157567605844e-05,0.1,1.0
20,3.0185939807241096,0.21344682734189127,2.5327723477293485e-52,4.967175240215445e-53,7563.899158580145,233.76117920377757,738.0742491826455,35.67616541549224,2.4182966977557032e-148,6.3927801029737065e-149,1.1600113829221328e-11,1.9607771116203023e-12,0.0033204678009790944,4.66451699380011e-05,0.07,1.0
1,95.99128858702669,1.2036584356260494,1.490439112317655e-50,3.810382057187983e-52,124952.43538376522,950.1056196561507,6309.845041493692,104.3127726413206,5.244374662575313e-147,2.9770205311178332e-148,7.728990128498328e-10,1.6005103228614176e-11,0.04183446072654799,0.00016556713378303067,0.25,2.0
5,83.19245010875646,1.120545021719304,1.2595671713900184e-50,3.5028542767096005e-52,108733.75953752604,886.3019940819322,5338.966998760446,95.95260291966288,4.869885111057029e-147,2.868760763399983e-148,6.525892608496228e-10,1.4706762010899257e-11,0.036566165127252116,0.00015479137252392134,0.23,2.0
9,66.95241449246075,1.0052416510021054,9.527120600305009e-51,3.0464372388045446e-52,90521.16185005657,808.6760554784843,4421.547604916596,87.32031522097276,3.989429080637238e-147,2.596512089821559e-148,4.5538732575286024e-10,1.2285351108556512e-11,0.028628992914034337,0.00013696515035076243,0.2,2.0
13,36.5098941968581,0.7423225271386756,4.529765929592873e-51,2.100628650241431e-52,54608.89564441959,628.1035112435695,2505.6586076223925,65.73385334464186,2.0220069873268335e-147,1.8485291375174967e-148,1.806303439121607e-10,7.737353830407876e-12,0.01668621236767033,0.00010456489997439855,0.15,2.0
17,11.123518818968344,0.40974008195079714,1.1884547170114634e-51,1.0759763444238308e-52,20770.01917948225,387.3628550422147,1115.7337364980647,43.86401937715609,7.171914294622941e-148,1.1009117831991321e-148,3.9108955195660487e-11,3.6002711485647797e-12,0.006697419069701883,6.624617083794645e-05,0.1,2.0
21,1.207437592289644,0.13499562674741597,5.844859263990803e-53,2.386153802526118e-53,2008.3705502247185,120.45406102154676,582.8717201489115,31.704041990704848,1.6171662068136565e-148,5.227719817566966e-149,2.651454589536304e-12,9.374307601346573e-13,0.0015837649830221555,3.2214575380749726e-05,0.07,2.0
2,96.26296204529186,1.2053605224093564,1.3267830529259123e-50,3.595103201624867e-52,121593.11054256199,937.2468911541175,6139.122259556584,102.89192284088261,5.582530615909288e-147,3.0715000823403194e-148,7.40087262304321e-10,1.5661688000875538e-11,0.040369297920574664,0.00016264197570552467,0.25,3.0
6,79.93236860957443,1.098370080505387,1.250799882494032e-50,3.490642080523737e-52,106833.75430475948,878.5242816027043,5288.957294960685,95.50215518971953,4.9711122055333163e-147,2.898422934495197e-148,5.995601690588967e-10,1.4096571222971098e-11,0.03541421691039116,0.00015233365575052289,0.23,3.0
10,62.77166182915787,0.9733502980878601,8.484787364893317e-51,2.8749605224155927e-52,86049.2864162828,788.4481906271894,4100.795711580212,84.09345763216456,4.093529064272285e-147,2.6301705681453146e-148,4.1528407508612366e-10,1.1731937536317484e-11,0.027541260240547878,0.000134338021407064,0.2,3.0
14,32.94795329960366,0.7051825774484317,4.3544201516731484e-51,2.0595700588073814e-52,52094.82027939009,613.4748969328917,2314.242155147454,63.17315140639377,2.184916701976484e-147,1.9215532176280746e-148,1.4848145701403304e-10,7.015089456493903e-12,0.015390762069186758,0.00010042390505418344,0.15,3.0
18,7.1691607042197605,0.3289436528389139,5.552616300791264e-52,7.354619956764837e-53,15214.490571126824,331.5341209895262,858.7873273199939,38.48318032338343,3.760442915336122e-148,7.971764762770985e-149,3.0160295955975456e-11,3.1616580921694465e-12,0.005188157222207084,5.8306048198223984e-05,0.1,3.0
22,0.0,0.0,0.0,0.0,0.0,0.0,567.3514672455382,31.279098908502096,0.0,0.0,0.0,0.0,0.0001310521293357183,9.266784934222289e-06,0.07,3.0
3,88.05238641772227,1.1528104866562627,1.338472771453894e-50,3.610905929226012e-52,114455.44829931733,909.3221280995524,5768.360662420442,99.7365509277292,5.287467999956704e-147,2.989226684805723e-148,6.784409430976019e-10,1.4995229876136753e-11,0.03825346129244949,0.00015832241718779095,0.25,5.0
7,75.69124406665705,1.0688337890737045,1.0598678132036657e-50,3.2131962816405313e-52,99840.57915145902,849.2842498227644,4800.931564776834,90.98942066533802,4.1839405760332426e-147,2.6590574979712863e-148,5.452053499734025e-10,1.3442410625640797e-11,0.033036276023594546,0.00014713045772739582,0.23,5.0
11,57.79098176096308,0.9339365869366613,8.134095809053868e-51,2.8149199291080282e-52,77835.19535295365,749.8726849201967,3690.371245913227,79.7743310455677,3.24281588631965e-147,2.3409714679845888e-148,3.4203764205018325e-10,1.0647166734677198e-11,0.024707913204309644,0.00012724041490161234,0.2,5.0
15,26.32213951191424,0.6303009276942426,3.165965434661685e-51,1.7561616478491293e-52,42298.59558117168,552.792953294953,1867.6037660392642,56.75060721380674,1.6764998176160344e-147,1.6832039040946684e-148,1.0440102446299198e-10,5.8823313348609065e-12,0.012520720436734526,9.057778629584917e-05,0.15,5.0
19,1.5847618398801577,0.15465691951450974,7.793145685321072e-53,2.7552930804326067e-53,2882.5174443872756,144.30636805993353,648.4016768520437,33.43876328075132,1.09920119083733e-148,4.30996327570814e-149,5.302909179072608e-12,1.325727294768152e-12,0.0019588361771809815,3.58266417655497e-05,0.1,5.0
23,0.015092969903620548,0.015092969903620548,0.0,0.0,28.89741798884487,14.448708994422436,324.20083842602185,23.64477627031098,0.0,0.0,0.0,0.0,3.341829298060816e-05,4.679497010295865e-06,0.07,5.0
