,Be7,Be7 error,C10,C10 error,C11,C11 error,N13,N13 error,N16,N16 error,O14,O14 error,O15,O15 error,energy,thickness
0,99.36574696107758,1.2249652106673992,2175157.0885971463,56617.07753748073,965391.368716851,7343.343549467483,428362.5854859389,6926.212494200786,514122.80373336846,29229.45715017654,1797707.6683024943,36520.975043215054,31739045.904947177,123512.2589609778,0.25,1.0
4,87.90395335264932,1.1521515478958497,1923157.1819913795,53236.50367088014,869986.1463730228,6971.051791101569,371135.58386938606,6446.980308937138,504201.9519062038,28946.06795788603,1492030.590572149,33271.44723326684,27816966.149300557,115629.33076027254,0.23,1.0
8,68.09120866983264,1.0140302845966223,1457473.1440532373,46344.949710151035,722409.684176071,6352.342711839533,293974.3233727032,5737.7912724883345,432412.8733578763,26806.284560091244,1051321.4056890777,27928.691055851425,22095824.5645626,103054.80303009819,0.2,1.0
12,39.7009952523819,0.7742943692589584,845894.4233433347,35306.95106427796,451890.0753873358,5024.103093625125,177168.52555261579,4454.339667689293,258856.1288303924,20740.372021847932,462225.2898689452,18518.665200973068,13294216.171743859,79936.38410770174,0.15,1.0
16,13.757172565583842,0.4557954615213022,241684.1209552385,18872.359179160245,213600.45096182596,3454.166146639721,78505.14311781521,2965.098333185882,80628.10884459016,11575.254615877477,104612.78631062806,8809.985895961665,6006645.919891644,53731.52254421659,0.1,1.0
20,3.020235469941568,0.2135628981575822,38315.775273391475,7514.341761440732,58483.17786533258,1807.4139190336157,47931.81348705408,2316.871654203312,23780.13226913344,6286.290534874494,25967.712913985677,4389.344610964728,2435630.7541377065,34215.1820895463,0.07,1.0
1,96.04348794414186,1.204312976235419,2254736.006472652,57643.452535268734,966117.5208775476,7346.104803918763,409772.20922694134,6774.251192340366,515701.4987477414,29274.299577718553,1730191.614726132,35828.607539384546,30686428.91170378,121446.86444406226,0.25,2.0
5,83.23768955158961,1.1211543658651462,1905472.9780190452,52991.17285537635,840716.628511099,6852.782681997382,346721.7162521482,6231.327365554137,478876.3603072104,28209.735581850993,1460869.3350753658,32922.17467998572,26822026.799522553,113542.62410955476,0.23,2.0
9,66.98882272330397,1.0057882940225304,1441262.6237452636,46086.49677148147,699898.9671944769,6252.5880629087505,287142.9200486137,5670.731728464221,392297.4021505472,25532.5994497133,1019418.2155376094,27501.667253546766,20999949.338720158,100466.72711027207,0.2,2.0
13,36.52974800894326,0.7427261966722253,685262.9039279629,31778.306237295976,422229.55251580605,4856.422408041862,162721.78737544295,4268.869699477958,198832.4825997076,18177.36733226681,404354.38680349133,17320.638912682658,12239676.59038495,76700.48362037457,0.15,2.0
17,11.129567706734678,0.4099628955954203,179789.40705206766,16277.368098000989,160591.34323097533,2995.043994493101,72457.6713227196,2848.6049986253984,70524.46075260335,10825.73029414425,87548.28925286602,8059.473292660902,4912693.282164719,48592.91542871935,0.1,2.0
21,1.2080941879766274,0.13506903637690737,8842.101986167261,3609.7730199599123,15528.484667203875,931.3366198614297,37852.693828561394,2058.915114796457,15902.277968989902,5140.637575326624,5935.4772374824415,2098.508102101115,1161723.86879876,23630.0470992989,0.07,2.0
2,96.3153091364366,1.2060159886010071,2007157.1508599685,54386.71441655696,940143.6166680158,7246.682628881782,398685.1776025994,6681.97875809255,548953.8011031125,30203.356887718674,1656740.083912287,35059.847148280125,29611702.15513199,119301.20142266896,0.25,3.0
6,79.97583524405272,1.098967366081202,1892209.825039794,52806.42677463538,826026.011721622,6792.6463247070915,343473.99991774495,6202.074513823811,488830.4478188883,28501.416231577914,1342159.790325717,31556.217462931345,25977049.322754566,111739.83880427812,0.23,3.0
10,62.80579659743491,0.9738795988249992,1283578.4716586142,43492.397331131666,665322.9527736163,6096.18859312044,266312.7394210621,5461.1740365825135,402533.9929805865,25863.577475387105,929644.1223206875,26262.810033852486,20202075.270782243,98539.67452796108,0.2,3.0
14,32.965870154412215,0.7055660505503503,658736.597969461,31157.171943943704,402791.01775254373,4743.315684284942,150290.87312996865,4102.573303368802,214852.0825350288,18895.443937785447,332386.72529901675,15703.796682863205,11289437.414292626,73662.97951404656,0.15,3.0
18,7.173059241111224,0.32912252997930924,83999.968868589,11126.067675890248,117636.65003284662,2563.3827950050013,55771.12877699282,2499.164038972755,36978.02258929121,7838.972804827506,67516.05357636277,7077.605519940574,3805618.980549418,42768.67376998963,0.1,3.0
22,0.0,0.0,0.0,0.0,0.0,0.0,36844.78186271212,2031.3185788364065,0.0,0.0,0.0,0.0,96129.40577565247,6797.375469539713,0.07,3.0
3,88.10026865819553,1.1534373765247588,2024841.354832303,54625.77804973936,884956.0524550756,7030.771648271358,374607.2806406446,6477.063469161867,519939.04852316354,29394.32783953803,1518740.23814082,33567.931335452995,28059692.898884077,116132.71728107076,0.25,5.0
7,75.73240440878482,1.069415013031356,1603367.8268249969,48609.227255268444,771955.604678984,6566.565841146652,311780.76810270693,5909.009758104746,411424.53858784464,26147.634850459526,1220482.506957327,30091.830574905875,24232781.25495535,107923.18708994439,0.23,5.0
11,57.822408072031315,0.934444454787401,1230525.8597416107,42584.103349433644,601812.5676419229,5797.927324136163,239659.06743527038,5180.682513940993,318879.77506107726,23019.760643350408,765676.5636352351,23834.47034950303,18123757.517912634,93333.43561176123,0.2,5.0
15,26.336453297890476,0.6306436807054694,478947.19091739337,26567.210078340035,327047.76160603843,4274.130039607756,121285.40655719525,3685.482217082625,164857.30410617628,16551.654522970584,233709.41622587116,13168.033832894185,9184203.427805837,66440.65088624906,0.15,5.0
19,1.5856236217193234,0.1547410208104805,11789.469314889684,4168.206849574607,22287.28554753362,1115.7598499678384,42108.32212881386,2171.570904398396,10808.909317355103,4238.168826288532,11870.954474964883,2967.7386187412208,1436846.2281286775,26279.571353144,0.1,5.0
23,0.01510117734970784,0.01510117734970784,0.0,0.0,223.43143406048742,111.71571703024371,21054.16106440693,1535.5325123275097,0.0,0.0,0.0,0.0,24512.99847279138,3432.506356125879,0.07,5.0
