#BLTrackFile VirtualDetector/Det81
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-27.9426 -97.957 938 -6.66971 19.615 20.8566 125.171 2112 184 1 0 1
-34.4445 -42.9312 938 -0.122798 0.162294 0.63091 2995.9 2112 1352 1 0 1
-91.6394 71.301 938 -3.43679 3.94037 12.1383 218.208 2112 1539 1 0 1
96.4836 81.1862 938 -0.278623 0.463875 0.515065 3389.61 2112 1827 1 0 1
36.6977 78.8824 938 -0.763886 -1.87049 2.27581 68796.9 22 1917 1004 1 1
114.536 -25.4077 938 0.10794 0.0649002 0.176058 10029.4 2112 2741 1 0 1
-23.0456 43.0479 938 -0.0883965 0.211267 0.534085 3029.31 2112 2771 1 0 1
11.3747 -53.8005 938 -0.267007 -0.247722 0.519301 3601.14 2112 3811 1 0 1
14.2183 116.666 938 -6.17066 -0.345345 4.88284 398.622 2112 4292 1 0 1
-8.69245 61.9736 938 0.283907 -12.7274 22.643 120.625 2112 4638 1 0 1
32.1607 116.085 938 -9.30995 0.816503 20.5695 133.502 2112 4867 1 0 1
64.6691 -89.6338 938 -2.34922 0.334222 11.5687 225.628 2112 5142 1 0 1
46.8727 74.989 938 0.0570945 0.136773 0.362021 5307.78 2112 5155 1 0 1
-92.4225 56.6348 938 -26.4203 -12.4215 18.721 139.463 2112 5276 1 0 1
102.845 -65.0978 938 -3.63925 -16.2165 16.4759 158.624 2112 5333 1 0 1
-47.8817 -33.0934 938 -0.0277723 0.00155759 0.170878 9230.37 2112 5421 1 0 1
85.7476 -27.7476 938 3.52943 2.34237 4.97679 431.047 2112 6931 1 0 1
115.858 -105.642 938 -1.08315 0.941457 23.8156 131.955 2112 6940 1 0 1
62.0749 97.1665 938 0.490619 -0.0532823 0.665352 2940.35 2112 7161 1 0 1
-47.9257 85.832 938 -0.0904725 -0.0595806 0.221482 8446.4 2112 7642 1 0 1
-10.6143 -65.9755 938 -0.217429 -2.31758 3.01384 638.928 2112 7997 1 0 1
48.0875 65.9018 938 0.985518 0.0308936 0.803535 2448.96 2112 8617 1 0 1
69.3944 43.2628 938 -0.865148 0.118384 0.71388 2477.76 2112 8662 1 0 1
37.9366 21.7825 938 2.28779 -0.550728 2.27555 765.729 2112 11159 1 0 1
109.351 -76.4832 938 13.7839 1.60172 18.0104 140.698 2112 11339 1 0 1
114.017 2.59133 938 13.7659 -9.82586 27.6499 109.903 2112 12593 1 0 1
-48.1033 -2.74534 938 0.824574 -0.665157 1.41716 1216.57 2112 12905 1002 1 1
-14.0766 -87.6239 938 -0.0289258 0.0383836 0.209838 8512.3 2112 12969 1 0 1
-73.96 -8.76266 938 -1.78961 1.17131 2.49145 733.311 2112 14296 1 0 1
-61.4352 115.185 938 0.679163 0.834112 1.16225 1729.42 2112 15824 1 0 1
125 -39.0875 943.869 -0.102716 0.0158972 0.130757 54.0133 22 15980 1020 1017 1
-55.1578 -59.048 938 11.4611 17.3284 34.5374 94.7158 2112 16714 1 0 1
-35.7294 -40.6212 938 1.44785 -0.280255 1.58779 69.6508 22 17214 1013 1 1
-42.9658 6.944 938 -21.6326 16.8161 21.5885 119.327 2112 17314 1 0 1
95.181 -86.6548 938 -0.284922 -0.066205 0.550102 3259.09 2112 17893 1 0 1
19.7472 95.3585 938 -0.483486 -0.3601 0.473473 3617.69 2112 18388 1 0 1
115.996 -90.5223 938 -0.298433 0.620398 0.529102 3303.5 2112 19009 1 0 1
125 -66.3421 941.334 -6.73438 -8.83856 12.4812 224.588 2112 19505 1 0 1
-124.768 -67.0786 938 -2.0109 -0.0579025 3.17966 595.884 2112 19604 1 0 1
38.0915 -85.4968 938 -2.62347 3.11023 7.75243 306.002 2112 19752 1 0 1
-27.0748 -63.8034 938 5.33821 3.68728 4.27239 424.457 2112 19796 1 0 1
29.9805 120.647 938 0.0378371 -0.0358172 0.217049 7944.38 2112 19895 1 0 1
121.036 66.7041 938 3.8786 -1.10145 3.73428 534.491 2112 20006 1 0 1
4.70734 -114.338 938 0.386255 -1.58161 1.55025 1170.41 2112 20383 1 0 1
-82.535 111.826 938 -2.00906 1.54137 3.86492 564.849 2112 20623 1 0 1
