#BLTrackFile VirtualDetector/Det90
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-45.2112 -47.1719 992 -6.66971 19.615 20.8566 133.289 2112 184 1 0 1
82.4473 -42.1066 992 -30.7816 0.591275 29.7289 105.265 2112 736 1 0 1
-44.9548 -29.0404 992 -0.122798 0.162294 0.63091 3264.14 2112 1352 1 0 1
-106.929 88.8307 992 -3.43679 3.94037 12.1383 232.152 2112 1539 1 0 1
18.5724 34.4996 992 -0.763886 -1.87049 2.27581 68797.2 22 1917 1004 1 1
-77.3409 110.054 992 -18.8318 -8.72321 27.8681 108.24 2112 2481 1 0 1
36.5249 -113.295 992 28.19 5.76477 20.5262 141.344 2112 2695 1 0 1
-31.9832 64.4086 992 -0.0883965 0.211267 0.534085 3346.19 2112 2771 1 0 1
-16.3902 -79.5601 992 -0.267007 -0.247722 0.519301 3927.03 2112 3811 1 0 1
-54.0239 112.847 992 -6.17066 -0.345345 4.88284 433.284 2112 4292 1 0 1
-8.01538 31.6208 992 0.283907 -12.7274 22.643 128.103 2112 4638 1 0 1
7.71981 118.228 992 -9.30995 0.816503 20.5695 141.733 2112 4867 1 0 1
53.7035 -88.0737 992 -2.34922 0.334222 11.5687 240.258 2112 5142 1 0 1
55.389 95.3904 992 0.0570945 0.136773 0.362021 5775.27 2112 5155 1 0 1
90.9172 -118.247 992 -3.63925 -16.2165 16.4759 168.899 2112 5333 1 0 1
124.043 -2.33201 992 3.52943 2.34237 4.97679 465.053 2112 6931 1 0 1
113.402 -103.507 992 -1.08315 0.941457 23.8156 139.064 2112 6940 1 0 1
101.894 92.8421 992 0.490619 -0.0532823 0.665352 3194.71 2112 7161 1 0 1
-69.9839 71.3055 992 -0.0904725 -0.0595806 0.221482 9210.52 2112 7642 1 0 1
-14.51 -107.5 992 -0.217429 -2.31758 3.01384 695.082 2112 7997 1 0 1
114.317 67.9779 992 0.985518 0.0308936 0.803535 2659.58 2112 8617 1 0 1
3.95205 52.2177 992 -0.865148 0.118384 0.71388 2714.83 2112 8662 1 0 1
115.449 73.1178 992 -1.11485 0.544055 2.33073 807.703 2112 10226 1 0 1
92.2271 8.71338 992 2.28779 -0.550728 2.27555 840.102 2112 11159 1 0 1
