#BLTrackFile VirtualDetector/Det41
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-4.87041 114.771 2858 -0.148137 0.163781 0.563472 4744.21 22 771 1029 1 1
108.764 -123.745 2858 3.37317 -0.63621 17.266 497.256 2112 1134 1 0 1
122.844 -46.7455 2858 1.27441 -9.39253 36.4064 261.671 2112 2392 1 0 1
28.535 -29.7424 2858 -1.08315 0.941457 23.8156 384.709 2112 6940 1 0 1
-30.7638 82.8232 2858 2.98226 2.724 16.3114 549.598 2112 7911 1 0 1
25.2599 26.4277 2858 1.57069 2.384 10.5471 793.748 2112 10692 1 0 1
113.191 -78.9971 2858 0.946366 -6.99061 30.7723 296.38 2112 15177 1 0 1
-16.1505 -107.502 2858 0.983211 -0.830415 6.46179 1337.12 2112 18240 1 0 1
121.838 121.123 2858 -5.55567 -1.31507 25.8391 352.23 2112 21069 1 0 1
-119.469 39.9387 2858 -0.15606 -0.230782 1.40546 5589.48 2112 26313 1 0 1
-113.342 -3.24011 2858 0.34714 3.34678 12.957 659.586 2112 43112 1 0 1
125 44.5934 2870.39 -0.247978 -0.185318 1.00539 7701.9 2112 53896 1 0 1
-29.6728 -111.452 2858 -0.191019 0.0711142 1.20075 6556.19 2112 54179 1 0 1
43.5795 99.9192 2858 5.34877 6.87076 39.7306 240.227 2112 64397 1 0 1
53.8498 41.0326 2858 2.64474 -7.29867 31.3883 303.798 2112 70723 1 0 1
40.655 111.876 2858 1.07959 0.0919509 10.6608 791.319 2112 76143 1 0 1
-42.9099 99.3868 2858 -2.40515 0.368849 7.69229 1090.33 2112 78666 1 0 1
-30.7236 -50.0329 2858 1.41329 1.7637 6.38625 1295.22 2112 85356 1 0 1
54.2049 -3.28687 2858 3.71671 5.07647 27.0957 338.949 2112 86849 1 0 1
59.4207 -86.3049 2858 0.146022 0.00271354 0.854367 9093.22 2112 101457 1 0 1
-26.1484 -61.1566 2858 0.200449 0.318231 1.81329 4436.13 2112 102143 1 0 1
85.4529 24.8624 2858 4.92135 -0.415636 32.4609 285.097 2112 102811 1 0 1
-54.2743 -23.5683 2858 0.481214 -0.314964 2.14738 6928.4 22 106520 1005 1 1
-113.699 0.388647 2858 -2.53932 3.7499 12.7078 684.573 2112 111743 1 0 1
42.9352 102.361 2858 -0.113682 0.132397 0.875077 9024.49 2112 112491 1 0 1
-46.7266 105.083 2858 0.352965 9.50632 40.2411 238.373 2112 112908 1 0 1
69.6263 7.23126 2858 -0.0581409 -0.00370385 0.801439 9643.12 2112 116798 1 0 1
-64.3987 -59.4011 2858 -0.0569866 -0.363888 1.6391 4712.11 2112 120053 1 0 1
71.023 -53.4178 2858 -1.89739 -3.21456 14.5476 581.063 2112 120198 1 0 1
-98.5304 111.808 2858 -0.0573924 -0.121407 1.84009 4287.62 2112 121202 1 0 1
115.485 85.4042 2858 -7.31249 4.64513 34.3313 278.661 2112 126159 1 0 1
49.1472 15.3782 2858 -1.43297 -4.5932 32.2057 288.748 2112 128980 1 0 1
50.8169 -107.038 2858 -1.97283 -0.468836 14.1668 604.964 2112 141621 1 0 1
-92.5172 65.284 2858 -0.662823 0.701938 3.96702 1985.39 2112 142566 1 0 1
40.1175 125 2896.3 1.11126 -4.67719 37.9057 253.299 2112 148246 1 0 1
-19.4436 121.847 2858 -3.1668 -0.60156 25.1192 348.687 2112 149262 1 0 1
117.118 109.336 2858 0.00398313 -0.146019 1.20712 7117.68 2112 153802 1 0 1
-121.31 122.095 2858 -0.336201 1.04363 19.2916 446.128 2112 154341 1 0 1
54.3229 84.3903 2858 -2.01864 0.553655 33.1962 295.017 2112 157780 1 0 1
-55.3155 -4.02482 2858 0.420816 0.562087 5.12468 1580.06 2112 158263 1 0 1
-23.3251 43.6318 2858 2.70056 2.32954 16.3499 520.382 2112 160460 1 0 1
125 -40.8868 2903.82 -1.5636 4.65409 19.0474 473.185 2112 167102 1 0 1
-37.3401 -86.8343 2858 -1.80967 -3.19499 20.4369 434.322 2112 171117 1 0 1
-63.021 0.932632 2858 -3.86802 0.285828 21.4226 422.655 2112 171789 1 0 1
-64.1101 -31.6072 2858 -9.00517 -1.07065 36.2169 260.406 2112 177969 1 0 1
24.0552 -34.9256 2858 1.14603 1.94217 20.7257 433.059 2112 180616 1 0 1
59.2659 -65.8825 2858 1.08897 1.04718 16.2999 525.385 2112 186903 1 0 1
-68.8872 106.206 2858 0.00135751 0.0321261 0.133452 49.8124 22 188646 1026 1 1
-89.0618 -93.2786 2858 1.40479 -1.56073 6.20138 1333.43 2112 189513 1 0 1
-55.9875 112.918 2858 -3.61474 9.9648 34.6972 266.992 2112 190790 1 0 1
-110.078 -99.323 2858 0.166202 -0.0821091 0.982117 8014.44 2112 195046 1 0 1
66.3575 111.598 2858 -1.66304 1.36231 7.10603 1167.7 2112 195317 1 0 1
87.9301 -99.7344 2858 5.41993 1.18522 21.9908 412.151 2112 196870 1 0 1
-93.7817 -57.423 2858 2.41376 2.23593 21.7599 419.6 2112 198001 1 0 1
72.446 102.875 2858 0 0 43.349 221.329 2112 202228 1 0 1
5.70035 -105.929 2858 0.840315 -2.12253 6.79843 1242.17 2112 202377 1 0 1
-1.46823 -39.5643 2858 0.975222 -2.9323 14.8275 574.808 2112 204028 1 0 1
25.7476 125 2908.34 -0.880366 -1.55238 14.1465 603.415 2112 204032 1 0 1
-60.2912 73.0803 2858 -0.419678 -0.286212 1.37659 5628.66 2112 207806 1 0 1
117.527 -46.2651 2858 0.489058 0.43802 1.88164 4255.55 2112 208078 1 0 1
-95.4261 28.6134 2858 -1.86167 3.14376 38.9718 244.504 2112 208206 1 0 1
-25.1579 30.8227 2858 0.322946 -0.158443 1.82556 4286.67 2112 212200 1 0 1
-112.682 29.0833 2858 -1.37584 2.13332 14.6184 595.497 2112 215585 1 0 1
-90.691 85.247 2858 -0.724192 0.145816 3.88087 2024.92 2112 223110 1 0 1
94.2492 104.132 2858 -2.03233 3.13317 11.3338 728.216 2112 225033 1 0 1
-32.7752 118.571 2858 -2.77668 -2.24711 21.502 415.441 2112 226545 1 0 1
-98.4987 50.7234 2858 -6.02074 6.50855 34.7063 273.906 2112 228101 1 0 1
-24.1529 -123.097 2858 0.317331 0.0546404 3.78159 2165.94 2112 228918 1 0 1
17.3236 -110.426 2858 0 0 43.349 221.329 2112 229945 1 0 1
89.9406 123.724 2858 0 0 43.349 221.329 2112 242825 1 0 1
-35.6654 -72.4726 2858 -0.965274 -3.44893 25.0428 354.604 2112 246429 1 0 1
-41.2467 -46.3241 2858 1.72358 2.01097 10.8515 766.755 2112 247198 1 0 1
65.8554 -123.61 2858 -1.20609 0.718728 7.02306 1156.42 2112 248936 1 0 1
-40.9426 -8.39598 2858 -0.204941 0.143594 0.893208 9082.43 2112 248980 1 0 1
-95.6444 33.2566 2858 5.70484 -10.8471 40.1911 235.167 2112 249574 1 0 1
-48.1423 119.88 2858 -1.60163 -1.49817 38.4514 245.128 2112 252119 1 0 1
3.69515 108.452 2858 -0.246715 -0.0565847 1.61643 4862.18 2112 257563 1 0 1
28.5228 107.997 2858 -0.104733 0.332457 1.86686 4230.16 2112 261582 1 0 1
-30.285 84.1316 2858 0.0845538 0.203979 0.776924 10155 2112 265765 1 0 1
14.9137 96.3115 2858 -6.08978 4.80191 34.7859 274.421 2112 267546 1 0 1
7.99329 -63.3026 2858 0.357093 0.800882 4.00314 2085.8 2112 271050 1 0 1
17.7864 99.3858 2858 -3.09297 5.47245 37.8623 249.256 2112 274323 1 0 1
-19.7302 67.4722 2858 0.155014 -0.0233082 1.89987 4112.45 2112 277709 1 0 1
-24.8279 89.2788 2858 0.00898725 -0.273455 1.12847 4132.85 22 282302 1006 1 1
-44.0352 115.037 2858 -3.04107 -1.47034 18.9209 470.554 2112 286705 1 0 1
-5.54323 -103.358 2858 -0.495389 1.23154 8.18872 1022.31 2112 296812 1 0 1
-4.56603 -7.79975 2858 7.34585 5.74191 35.4875 264.661 2112 299216 1 0 1
-22.9455 -32.782 2858 -10.2924 -5.37056 39.3419 241.069 2112 299559 1 0 1
6.61046 91.723 2858 -2.24213 -1.74574 15.8187 536.953 2112 306803 1 0 1
-51.737 28.121 2858 0.210715 0.0210976 2.08056 3967.77 2112 307099 1 0 1
97.6686 94.6374 2858 1.5152 6.30246 25.0855 356.693 2112 308313 1 0 1
-53.9747 -107.941 2858 -2.5188 -1.08789 11.464 732.141 2112 311624 1 0 1
