#BLTrackFile VirtualDetector/DetCircle
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
36.7837 163.238 1500 -2.47168 7.6911 51.964 123.847 2112 66 1003 1 1
69.6746 -27.054 1500 1.17452 -0.866948 21.3959 306.724 2112 72 1016 1015 1
-54.1529 389.014 1500 -12.5637 61.6939 255.882 36.2858 2112 89 1013 1009 1
-196.21 -733.877 1500 -2.72837 -9.18187 15.6375 421.39 2112 100 1003 1 1
378.5 -788.344 1500 13.0191 -21.9382 54.3373 115.917 2112 117 1006 1 1
126.368 -79.4717 1500 6.53057 -2.2521 41.9611 142.348 2112 149 1006 1 1
-285.981 709.162 1500 -13.7429 40.6938 83.2962 76.3082 2112 161 1008 1 1
278.487 -203.471 1500 8.96531 -6.7434 51.8446 112.204 2112 170 1007 1 1
526.513 302.106 1500 7.78273 7.39201 30.2953 195.992 2112 183 1015 1014 1
426.515 557.301 1500 11.7862 14.5282 52.5271 123.037 2112 183 1017 1014 1
337.44 -865.224 1500 7.59433 -14.8306 27.0802 205.055 2112 190 1006 1004 1
-36.1981 479.697 1500 -0.083232 18.0136 43.2486 139.113 2112 196 1005 1002 1
-269.417 -765.118 1500 -10.2456 -29.9248 50.8445 110.653 2112 208 1017 1012 1
-408.278 162.876 1500 -21.5129 4.93908 66.3652 109.435 2112 221 1009 1 1
-589.968 394.383 1500 -18.085 12.1394 49.7285 118.204 2112 254 1004 1 1
-438.606 482.44 1500 -8.26935 7.70786 28.8771 212.121 2112 259 1002 1 1
122.7 80.0119 1500 2.71586 0.44655 46.8408 136.099 2112 259 1004 1 1
381.539 339.527 1500 12.7864 11.8862 45 119.587 2112 267 1012 1009 1
237.912 70.0724 1500 3.96438 1.01559 17.21 277.398 2112 267 1014 1013 1
-153.117 -481.586 1500 -2.09264 -4.88235 21.4395 305.13 2112 278 1007 1006 1
-398.691 -200.487 1500 -6.63363 -1.76332 25.7223 282.74 2112 300 1015 1014 1
-286.2 -420.056 1500 -4.1644 -10.0914 42.1353 172.993 2112 304 1009 1008 1
-59.5755 -352.844 1500 -2.30762 -5.54065 24.7859 237.067 2112 330 1022 1021 1
-575.207 293.681 1500 -12.9692 3.39407 33.9641 166.341 2112 346 1012 1008 1
161.408 685.024 1500 3.66871 16.2434 35.5734 153.054 2112 349 1007 1004 1
677.486 47.6143 1500 9.60423 0.472165 17.8825 297.44 2112 362 1014 1012 1
800.273 -531.984 1500 11.3969 -8.42892 26.6223 279.318 2112 409 1004 1 1
-644.851 569.375 1500 -17.6886 15.6632 43.5134 130.899 2112 414 1004 1 1
-678.026 -589.332 1500 -16.0838 -17.5813 46.4003 133.871 2112 415 1004 1 1
936.968 59.8298 1500 35.8476 7.73034 63.4462 106.995 2112 434 1009 1 1
-460.591 410.798 1500 -19.0205 13.6397 67.9315 84.2038 2112 443 1034 1029 1
171.523 -507.425 1500 0.439876 -1.15938 3.59901 1758.33 2112 452 1002 1 1
-402.508 276.343 1500 -15.8673 6.85765 44.1216 146.91 2112 460 1005 1 1
-351.917 427.359 1500 -4.28948 5.28525 19.5365 273.447 2112 462 1004 1 1
-433.856 826.095 1500 -7.72456 15.8268 27.9276 245.205 2112 478 1016 1015 1
