#BLTrackFile VirtualDetector/DetDonut
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
469.389 -785.938 -1500 5.68604 -10.6732 -18.6035 259.704 2112 8 1002 1 1
573.22 -806.017 -1500 6.56658 -9.60284 -18.5593 325.042 2112 15 1005 1004 1
-780.015 -145.548 -1500 -37.3862 -6.97571 -66.6351 81.4905 2112 15 1008 1 1
43.1081 -417.78 -1500 3.43794 -20.1592 -65.3248 86.1407 2112 29 1006 1 1
-704.95 166.904 -1500 -14.6357 3.17816 -27.6937 175.248 2112 29 1013 1012 1
793.112 213.894 -1500 20.437 5.11505 -31.0878 184.067 2112 29 1017 1016 1
-192.531 359.432 -1500 -6.84239 10.3656 -40.588 132.552 2112 36 1005 1 1
-528.016 669.921 -1500 -6.76178 7.78357 -19.6345 335.381 2112 36 1014 1013 1
-260.583 12.6071 -1500 -9.93568 1.1735 -50.2781 103.522 2112 37 1011 1010 1
-387.749 519.154 -1500 -0.092174 0.116824 -0.314163 21.1377 22 37 1684 1 1
465.632 -106.444 -1500 0.286183 -0.0681991 -0.84967 21.1484 22 66 1083 1 1
750.826 -321.568 -1500 11.6839 -4.97956 -21.6242 217.626 2112 72 1002 1 1
278.693 37.4974 -1500 7.60248 1.00063 -38.2236 130.502 2112 72 1003 1 1
-526.422 -469.215 -1500 -11.4116 -10.2996 -29.5504 173.939 2112 72 1010 1008 1
509.104 124.346 -1500 9.62244 1.64137 -21.2953 234.179 2112 72 1018 1017 1
460.465 528.534 -1500 6.71263 10.4823 -21.9882 243.6 2112 72 1020 1019 1
728.798 383.091 -1500 12.6597 6.4814 -23.8803 204.761 2112 72 1024 1021 1
-286.182 -877.169 -1500 -6.70353 -27.3098 -42.8395 134.632 2112 75 1003 1002 1
-712.214 334.628 -1500 -30.9649 14.6439 -59.958 89.9099 2112 85 1009 1 1
163.137 -888.264 -1500 10.7312 -49.5046 -79.7044 71.8726 2112 85 1011 1 1
109.03 412.189 -1500 2.36081 7.16397 -24.1147 201.077 2112 85 1020 1019 1
263.236 -129.063 -1500 12.9626 -6.33517 -68.618 79.829 2112 89 1008 1 1
572.941 757.762 -1500 12.228 15.506 -31.114 171.086 2112 89 1010 1009 1
-410.492 386.207 -1500 -8.5119 8.07456 -35.7491 205.925 2112 96 1005 1 1
-73.0183 34.5699 -1500 -3.3761 1.59922 -62.6191 84.8512 2112 96 1011 1 1
424.649 292.216 -1500 10.797 5.88659 -29.8222 176.188 2112 96 1015 1014 1
322.109 405.826 -1500 3.95037 4.48719 -15.2021 307.267 2112 96 1020 1019 1
520.805 -442.562 -1500 7.75293 -5.98838 -21.9212 217.701 2112 100 1006 1005 1
-31.0864 206.351 -1500 0.498824 1.2871 -10.8398 459.891 2112 104 1003 1 1
-840.614 282.436 -1500 -7.00031 2.06139 -11.6223 418.37 2112 104 1010 1009 1
978.663 162.667 -1500 27.4077 5.72399 -40.0127 146.799 2112 117 1005 1 1
213.067 57.7294 -1500 21.4131 5.73589 -138.678 47.8038 2112 117 1009 1 1
278.439 -920.59 -1500 10.3648 -35.4126 -61.7196 95.9578 2112 117 1014 1010 1
150.783 599.191 -1500 2.33322 24.3717 -57.4572 96.7962 2112 129 1010 1 1
-611.701 164.308 -1500 -13.1457 3.54979 -30.4797 161.227 2112 130 1003 1 1
441.961 -475.407 -1500 18.537 -13.0854 -57.9633 116.925 2112 130 1004 1 1
-168.201 139.62 -1500 -5.13774 3.3856 -38.5281 134.042 2112 130 1006 1005 1
