#BLTrackFile VirtualDetector/DetDonut
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
188.886 -221.621 -1500 5.52953 -2.58577 -42.9272 152.199 2112 7 1004 1 1
-388.655 -653.329 -1500 -3.13912 -4.76402 -10.4273 494.49 2112 8 1006 1005 1
-863.61 59.8438 -1500 -7.8358 -0.569716 -14.8166 480.423 2112 15 1006 1005 1
-340.665 -678.607 -1500 -10.488 -21.3169 -45.105 114.24 2112 15 1010 1007 1
-330.032 -578.839 -1500 -11.9068 -19.1352 -49.3367 105.843 2112 15 1012 1007 1
966.129 -71.6715 -1500 0.471003 -0.0348974 -0.68006 21.646 22 29 1042 1 1
409.341 -312.525 -1500 7.1263 -6.49346 -28.1021 198.095 2112 32 1005 1003 1
549.064 488.036 -1500 7.58567 5.80907 -19.9655 251.67 2112 32 1011 1010 1
304.267 250.829 -1500 8.90229 9.25476 -36.9149 141.88 2112 36 1004 1003 1
930.189 -147.634 -1500 28.3083 -4.50319 -43.4712 118.243 2112 37 1004 1 1
-697.411 305.522 -1500 -21.4448 9.44289 -43.2364 119.324 2112 38 1004 1 1
43.2081 554.532 -1500 -0.841331 22.3909 -74.0914 82.5711 2112 38 1005 1 1
641.454 460.536 -1500 20.9222 17.239 -49.0171 111.295 2112 38 1010 1006 1
675.829 320.795 -1500 11.773 4.57142 -27.5169 205.978 2112 38 1016 1015 1
-890.992 -199.618 -1500 -3.96254 -0.869319 -6.12616 721.624 2112 55 1003 1 1
159.401 382.358 -1500 2.43931 7.22089 -28.3239 186.185 2112 55 1008 1007 1
156.321 -654.195 -1500 1.8806 -18.996 -35.4714 166.914 2112 63 1002 1 1
59.3165 -386.033 -1500 0.676298 -13.5689 -50.5394 123.651 2112 66 1007 1 1
-571.66 -572.612 -1500 -0.331201 -0.299815 -0.80095 23.5868 22 72 1482 1014 1
737.47 -632.015 -1500 4.99241 -4.75208 -9.14014 608.29 2112 75 1006 1005 1
225.953 241.343 -1500 1.00338 1.3219 -6.70225 725.199 2112 89 1011 1010 1
261.01 297.946 -1500 3.79881 4.34507 -20.0434 231.005 2112 96 1005 1 1
-124.886 -182.505 -1500 -3.44475 -5.00944 -31.5182 172.615 2112 100 1003 1 1
480.235 -579.73 -1500 0.360563 -0.435242 -1.03307 21.0994 22 100 1010 1 1
237.773 -544.406 -1500 8.8108 -20.1201 -51.0143 100.803 2112 104 1005 1 1
-154.439 -182.651 -1500 -3.71461 -4.23141 -42.3514 123.289 2112 104 1008 1007 1
728.1 -238.586 -1500 12.4188 -4.13787 -22.6416 214.399 2112 104 1012 1011 1
-727.002 467.254 -1500 -18.0306 13.0324 -36.7863 140.428 2112 104 1013 1011 1
-384.918 340.154 -1500 -0.260132 0.230331 -0.933868 20.7915 22 104 1399 1 1
521.259 220.215 -1500 12.887 5.38149 -34.9285 151.59 2112 116 1003 1 1
400.701 -77.1103 -1500 25.6076 -3.5606 -88.8353 66.1001 2112 116 1009 1 1
537.737 325.226 -1500 16.1446 11.9968 -43.335 119.495 2112 116 1011 1010 1
-401.307 115.551 -1500 -0.369234 0.105774 -1.28814 20.988 22 129 1167 1 1
-635.596 124.533 -1500 -21.453 3.50251 -48.438 118.242 2112 132 1007 1 1
-733.268 -658.288 -1500 -12.0013 -10.4461 -21.8463 217.125 2112 143 1003 1 1
429.828 -192.51 -1500 7.27691 -4.76099 -24.466 208.142 2112 143 1010 1009 1
-48.9417 -858.023 -1500 -1.57081 -14.0172 -21.7897 248.461 2112 144 1003 1 1
-472.936 -570.102 -1500 -5.92483 -7.28999 -20.6193 243.405 2112 144 1005 1004 1
204.868 660.184 -1500 14.1148 45.9546 -98.136 61.4196 2112 144 1011 1 1
541.282 -720.594 -1500 5.69697 -7.98499 -18.9912 309.97 2112 160 1009 1008 1
737.53 -64.7544 -1500 3.66892 -0.142246 -6.38826 767.363 2112 165 1010 1009 1
12.4889 156.605 -1500 0.0456413 2.39455 -22.221 220.098 2112 165 1012 1011 1
-351.432 -116.779 -1500 -15.0402 -8.5009 -78.4567 82.6925 2112 165 1013 1 1
159.511 846.17 -1500 3.32676 14.2976 -24.5623 204.599 2112 170 1005 1004 1
-421.169 -680.626 -1500 -7.56592 -12.0116 -24.1183 202.228 2112 181 1002 1 1
-277.204 396.197 -1500 -7.40317 11.0169 -42.1397 123.984 2112 186 1004 1 1
-68.4876 -898 -1500 -0.486837 -7.21763 -11.014 410.726 2112 190 1005 1 1
674.148 -688.745 -1500 14.4766 -14.789 -29.6154 161.85 2112 190 1006 1 1
203.765 -793.363 -1500 3.05118 -22.4193 -37.9321 186.905 2112 190 1008 1 1
-467.623 -45.1613 -1500 -26.049 -5.46912 -84.0575 77.9487 2112 190 1018 1 1
59.0589 -114.827 -1500 0.0207197 -0.0407025 -0.508954 20.5742 22 190 1679 1554 1
-82.9469 991.286 -1500 -1.70307 20.5343 -28.5407 167.199 2112 191 1004 1 1
-809.677 -338.722 -1500 -26.0434 -10.9205 -44.3381 113.363 2112 191 1011 1 1
965.826 -162.974 -1500 0.720034 -0.126867 -1.06297 21.8791 22 207 1045 1 1
299.987 874.968 -1500 0.198479 0.596995 -0.882597 24.7251 22 208 1111 1008 1
31.2515 412.966 -1500 1.26193 16.5664 -55.2581 94.0665 2112 217 1006 1 1
-128.107 473.626 -1500 -0.65768 5.8463 -19.4882 295.685 2112 217 1014 1013 1
299.472 -749.004 -1500 1.40482 -3.99646 -7.65004 599.41 2112 217 1020 1019 1
68.9264 -779.34 -1500 0.0522321 -0.589312 -1.04025 21.1407 22 217 2186 1 1
-164.285 663.317 -1500 -1.46173 14.4465 -34.4532 167.239 2112 220 1005 1 1
364.879 -224.988 -1500 3.61981 -3.04269 -15.6352 325.687 2112 238 1003 1 1
381.474 118.147 -1500 4.42041 1.44797 -16.9292 297.192 2112 242 1009 1008 1
-704.222 -642.951 -1500 -33.6393 -25.6605 -63.8804 91.4771 2112 242 1010 1 1
346.238 318.656 -1500 14.6024 13.8514 -56.7806 97.4569 2112 247 1006 1 1
320.21 598.326 -1500 8.03514 16.5442 -37.2355 139.827 2112 247 1008 1007 1
869.938 153.337 -1500 37.9162 7.17009 -63.9781 86.9623 2112 247 1009 1 1
743.129 289.116 -1500 11.9069 6.62629 -23.6605 211.981 2112 247 1021 1020 1
-452.968 695.302 -1500 -11.43 17.5598 -34.7942 140.269 2112 249 1004 1 1
120.851 900.742 -1500 4.61454 34.3558 -52.5819 98.2759 2112 254 1006 1 1
-266.515 -674.638 -1500 -11.1599 -25.124 -53.2193 99.6491 2112 254 1013 1012 1
358.804 122.808 -1500 2.58768 0.771623 -13.4147 420.748 2112 256 1002 1 1
347.158 -431.382 -1500 15.71 -18.2719 -60.1453 90.528 2112 256 1008 1 1
-189.976 -741.895 -1500 -1.51135 -6.16007 -13.1256 466.374 2112 259 1006 1005 1
329.572 630.363 -1500 2.89113 4.92652 -12.5508 575.467 2112 259 1010 1009 1
-739.081 -194.718 -1500 -40.5486 -10.5036 -76.9036 73.6893 2112 259 1011 1 1
-376.956 -56.3465 -1500 -12.459 -2.46891 -43.117 119.679 2112 260 1004 1 1
137.094 -144.991 -1500 0.105717 -0.11159 -1.06306 20.5224 22 260 1041 1 1
-165.308 -502.593 -1500 -2.25246 -8.28755 -22.0231 222.712 2112 262 1003 1 1
-123.436 -577.629 -1500 -2.70747 -12.6714 -30.6177 159.399 2112 262 1004 1 1
-472.419 139.179 -1500 -12.3014 3.62099 -36.7071 136.605 2112 269 1003 1 1
-703.85 -463.232 -1500 -9.89168 -5.60647 -19.6457 246.095 2112 269 1007 1006 1
-264.151 -211.704 -1500 -0.222245 -0.126266 -1.19696 26.3097 22 269 1065 1006 1
578.514 199.881 -1500 18.208 7.31439 -36.5216 149.264 2112 270 1002 1 1
153.73 -301.755 -1500 7.75255 -15.2502 -70.3277 78.5089 2112 270 1011 1 1
293.79 179.6 -1500 4.93974 2.79593 -23.6209 203.956 2112 270 1014 1013 1
590.113 550.674 -1500 33.6997 31.4883 -78.7734 70.9625 2112 271 1011 1 1
622.371 -430.205 -1500 12.2925 -9.14634 -24.3438 218.473 2112 271 1013 1012 1
-263.221 -711.025 -1500 -0.310322 -0.831255 -1.56068 22.4126 22 271 1250 1012 1
55.9883 211.856 -1500 0.601525 2.40565 -15.9022 294.694 2112 296 1002 1 1
797.343 -107.209 -1500 23.7611 0.571396 -41.5319 134.011 2112 296 1005 1 1
110.351 -610.743 -1500 1.43557 -7.58226 -17.1 300.766 2112 296 1008 1007 1
-588.245 -732.137 -1500 -7.94657 -9.95111 -19.9071 293.279 2112 297 1014 1013 1
-4.33533 -894.495 -1500 0.0688634 -50.4898 -78.0115 72.0234 2112 297 1018 1 1
29.1414 -27.1801 -1500 0.813363 -0.922625 -20.2772 242.585 2112 298 1004 1 1
158.478 634.432 -1500 3.39672 10.7148 -25.0872 204.249 2112 300 1010 1009 1
-65.143 -33.2993 -1500 -2.80216 0.210088 -29.3609 166.431 2112 300 1014 1013 1
-249.58 679.011 -1500 -9.95969 22.3635 -44.182 117.5 2112 300 1016 1013 1
-270.085 363.693 -1500 -9.79371 13.8106 -51.9404 100.56 2112 304 1005 1 1
644.268 -588.816 -1500 28.603 -25.9115 -61.6932 87.18 2112 304 1008 1 1
226.671 181.146 -1500 3.84639 3.34455 -24.0201 246.33 2112 305 1002 1 1
