# DetPlast
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-0.311017 -0.796817 -0.5 0 0 639 12.468 2212 1 1 0 1 0.396527 0.38442 1 
0.0848635 -0.0460026 -0.5 0 0 639 12.468 2212 2 1 0 1 0.461467 0.445151 1 
1.05155 0.67644 -0.5 0 0 639 12.468 2212 3 1 0 1 0.395458 0.383415 1 
0.0118429 0.0665601 -0.5 0 0 639 12.468 2212 4 1 0 1 0.448098 0.432697 1 
-0.452409 0.265789 -0.5 0 0 639 12.468 2212 5 1 0 1 0.656349 0.623827 1 
-0.52589 0.191862 -0.5 0 0 639 12.468 2212 6 1 0 1 0.465383 0.448793 1 
-0.294631 0.323754 -0.5 0 0 639 12.468 2212 7 1 0 1 0.413121 0.399995 1 
0.0608972 -0.186249 -0.5 0 0 639 12.468 2212 8 1 0 1 0.443055 0.427993 1 
0.275389 -0.201202 -0.5 0 0 639 12.468 2212 9 1 0 1 0.421115 0.407485 1 
0.181578 -0.0382436 -0.5 0 0 639 12.468 2212 10 1 0 1 0.702113 0.665026 1 
-0.753306 0.326926 -0.5 0 0 639 12.468 2212 11 1 0 1 0.779514 0.734063 1 
-0.0792311 -0.324975 -0.5 0 0 639 12.468 2212 12 1 0 1 0.405386 0.392739 1 
-0.245216 0.834212 -0.5 0 0 639 12.468 2212 13 1 0 1 0.45268 0.436968 1 
-0.0356759 0.050566 -0.5 0 0 639 12.468 2212 14 1 0 1 0.45308 0.437341 1 
-0.434055 0.132459 -0.5 0 0 639 12.468 2212 15 1 0 1 0.452399 0.436706 1 
1.10841 0.207625 -0.5 0 0 639 12.468 2212 16 1 0 1 0.385066 0.373638 1 
0.421028 0.988852 -0.5 0 0 639 12.468 2212 17 1 0 1 0.418346 0.404892 1 
-0.456683 -0.116879 -0.5 0 0 639 12.468 2212 18 1 0 1 0.566579 0.542179 1 
0.572854 0.774855 -0.5 0 0 639 12.468 2212 19 1 0 1 0.611602 0.583267 1 
-0.000728546 -0.440507 -0.5 0 0 639 12.468 2212 20 1 0 1 0.394229 0.382259 1 
-0.329607 -0.577549 -0.5 0 0 639 12.468 2212 21 1 0 1 0.358709 0.348772 1 
0.145055 0.0879353 -0.5 0 0 639 12.468 2212 22 1 0 1 0.43366 0.41922 1 
0.0557471 0.428856 -0.5 0 0 639 12.468 2212 23 1 0 1 0.507401 0.487743 1 
0.582245 0.145629 -0.5 0 0 639 12.468 2212 24 1 0 1 0.492754 0.474195 1 
-0.20332 0.444789 -0.5 0 0 639 12.468 2212 25 1 0 1 0.468261 0.451469 1 
-0.486703 0.616133 -0.5 0 0 639 12.468 2212 26 1 0 1 0.389852 0.378142 1 
-0.879038 0.840553 -0.5 0 0 639 12.468 2212 27 1 0 1 0.505548 0.486031 1 
0.0984536 -0.537571 -0.5 0 0 639 12.468 2212 28 1 0 1 0.385982 0.374501 1 
-0.0754168 -1.07298 -0.5 0 0 639 12.468 2212 29 1 0 1 0.434665 0.420159 1 
-0.236078 0.116732 -0.5 0 0 639 12.468 2212 30 1 0 1 0.360117 0.350103 1 
0.114606 0.344511 -0.5 0 0 639 12.468 2212 31 1 0 1 0.398889 0.386639 1 
0.0415736 0.554466 -0.5 0 0 639 12.468 2212 32 1 0 1 0.536078 0.514183 1 
0.1277 0.0120494 -0.5 0 0 639 12.468 2212 33 1 0 1 0.5773 0.551988 1 
0.319149 0.170336 -0.5 0 0 639 12.468 2212 34 1 0 1 0.472924 0.455802 1 
-0.0539541 0.518744 -0.5 0 0 639 12.468 2212 35 1 0 1 0.431752 0.417436 1 
-1.06234 -0.199293 -0.5 0 0 639 12.468 2212 36 1 0 1 0.48233 0.464533 1 
0.294252 0.285448 -0.5 0 0 639 12.468 2212 37 1 0 1 0.436586 0.421953 1 
-0.186877 0.605717 -0.5 0 0 639 12.468 2212 38 1 0 1 0.495961 0.477164 1 
0.335444 -0.459838 -0.5 0 0 639 12.468 2212 39 1 0 1 0.434802 0.420286 1 
0.31126 -0.22989 -0.5 0 0 639 12.468 2212 40 1 0 1 0.404869 0.392255 1 
-0.318175 -0.056333 -0.5 0 0 639 12.468 2212 41 1 0 1 0.801527 0.753552 1 
-0.377979 0.0247429 -0.5 0 0 639 12.468 2212 42 1 0 1 0.424795 0.41093 1 
-0.41243 -0.271577 -0.5 0 0 639 12.468 2212 43 1 0 1 0.512067 0.492053 1 
-0.285142 -0.0385305 -0.5 0 0 639 12.468 2212 44 1 0 1 0.360314 0.350289 1 
-0.390326 0.111527 -0.5 0 0 639 12.468 2212 45 1 0 1 0.470538 0.453585 1 
-0.738746 0.253641 -0.5 0 0 639 12.468 2212 46 1 0 1 0.625147 0.595573 1 
-0.0300742 0.0445838 -0.5 0 0 639 12.468 2212 47 1 0 1 0.46048 0.444232 1 
0.510611 0.0983651 -0.5 0 0 639 12.468 2212 48 1 0 1 0.370141 0.35957 1 
-0.456817 0.144044 -0.5 0 0 639 12.468 2212 49 1 0 1 0.416504 0.403166 1 
-1.16051 0.240604 -0.5 0 0 639 12.468 2212 50 1 0 1 0.380592 0.369424 1 
-1.17983 0.0295417 -0.5 0 0 639 12.468 2212 51 1 0 1 0.379259 0.368168 1 
0.347163 0.152926 -0.5 0 0 639 12.468 2212 52 1 0 1 0.385764 0.374295 1 
-0.123232 0.0556523 -0.5 0 0 639 12.468 2212 53 1 0 1 0.600326 0.573003 1 
-0.0377011 0.711589 -0.5 0 0 639 12.468 2212 54 1 0 1 0.397313 0.385158 1 
0.803816 -0.723015 -0.5 0 0 639 12.468 2212 55 1 0 1 0.64865 0.616868 1 
0.0993852 0.572961 -0.5 0 0 639 12.468 2212 56 1 0 1 0.412284 0.399211 1 
0.0325997 0.450966 -0.5 0 0 639 12.468 2212 57 1 0 1 0.38648 0.374969 1 
