#BLTrackFile VirtualDetector/Det5
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-208.375 -223.903 995 -6.61297 -8.78349 14.0495 241.619 2112 40 1 0 1
351.444 -841.903 995 0.116583 -0.477308 0.29328 6388.08 2112 72 1 0 1
-948.287 -166.469 995 -14.8716 -1.84635 8.09122 334.22 2112 81 1 0 1
-709.995 167.987 995 -1.62041 0.467526 1.6404 1297.16 2112 83 1 0 1
-69.7527 -91.6528 995 -0.0515518 -0.0396328 0.213173 8907.56 2112 86 1 0 1
-592.14 359.071 995 -0.505955 0.23504 0.427585 4284.14 2112 114 1 0 1
245.648 190.165 995 1.03146 0.50194 2.57758 1317.61 22 119 1028 1 1
235.048 577.324 995 6.15447 10.52 12.1712 269.903 2112 123 1 0 1
268.634 -379.139 995 13.9433 -23.3144 22.9999 181.787 2112 158 1 0 1
-657.641 913.179 995 -16.7377 16.802 11.3931 265.487 2112 163 1 0 1
174.682 -418.823 995 0.0620754 -0.128502 0.268895 7449.71 2112 173 1 0 1
553.317 165.269 995 25.3236 9.64689 23.9702 167.022 2112 175 1 0 1
-203.744 560.36 995 -6.66971 19.615 20.8566 176.543 2112 184 1 0 1
-319.21 -584.862 995 -0.757598 -1.61368 1.56163 1314.82 2112 193 1 0 1
1149.25 -743.35 995 0.627105 -0.541436 0.300391 6196.03 2112 200 1 0 1
-205.666 171.953 995 -0.0958151 0.0476913 0.199148 10012.8 2112 211 1 0 1
-303.601 -143.141 995 -13.6573 -5.29932 24.6485 167.366 2112 217 1 0 1
188.629 245.245 995 9.83064 13.0316 39.4261 135.367 2112 228 1 0 1
390.742 248.913 995 0.176965 0.164647 0.368649 5402.32 2112 243 1 0 1
371.641 190.018 995 0.179249 0.0474019 0.239243 8255.24 2112 254 1 0 1
-548.929 -656.294 995 -1.48676 -2.50503 2.06171 1038.54 2112 258 1 0 1
-1222.76 -190.594 995 -26.0418 -5.39381 13.0559 237.671 2112 268 1 0 1
251.349 153.656 995 7.64172 3.5349 18.846 199.989 2112 274 1 0 1
2.91991 619.368 995 0.0292693 6.20858 7.12169 81.64 22 281 1002 1 1
157.984 93.9984 995 0.152055 0.122104 0.372309 5090.92 2112 296 1 0 1
-191.248 402.234 995 -0.0197139 0.318377 0.513599 3797.31 2112 301 1 0 1
76.3315 196.726 995 -5.48241 8.34116 18.981 216.778 2112 302 1 0 1
190.323 201.764 995 0.817503 0.720986 1.84521 1227.32 2112 315 1 0 1
-371.686 29.1837 995 -0.661109 0.0658496 0.808473 2513.85 2112 319 1 0 1
-229.557 -348.649 995 -0.0387304 -0.707097 0.828657 2487.04 2112 333 1 0 1
2812.78 2606.98 995 2.53415 2.21257 0.479323 3746.83 2112 338 1 0 1
-755.451 -598.576 995 -2.74303 -2.26594 2.07653 1022.81 2112 345 1 0 1
-115.741 -55.2718 995 -0.0721293 -0.0105571 0.374189 5325.05 2112 348 1 0 1
72.0941 179.25 995 0.176766 0.332627 1.50917 1285.13 2112 355 1 0 1
-1339.44 -11.07 995 -0.64488 0.0157331 0.284599 6408.13 2112 360 1 0 1
-232.252 -799.45 995 -0.0501449 -0.239394 0.187116 10041.4 2112 363 1 0 1
-3037.12 -750.594 995 -0.274695 -0.0771183 0.0504785 607.234 22 366 1028 1 1
-256.536 730.15 995 -0.466835 1.27445 0.99089 599.569 22 366 1033 1 1
-1327.76 753.833 995 -1.17606 0.648607 0.48803 601.829 22 366 1034 1 1
169.972 -468.626 995 0.236951 -0.695942 0.787854 598.954 22 366 1035 1 1
-46.3416 290.573 995 -0.137436 0.743264 1.5149 598.492 22 366 1036 1 1
-142.758 1980.31 995 -1.30016 17.8325 5.12836 433.797 2112 368 1 0 1
-591.626 378.372 995 -1.63522 0.986049 1.3271 1539.22 2112 381 1 0 1
-284.847 -930.062 995 -0.112106 -0.3719 0.221746 8526.32 2112 403 1 0 1
286.446 -404.742 995 6.20341 -7.17795 12.4528 241.224 2112 407 1 0 1
697.055 653.624 995 27.6728 19.6688 20.2655 181.914 2112 408 1 0 1
25.1025 238.642 995 0.203871 0.374148 1.17757 1999.99 2112 421 1 0 1
-17.7932 107.981 995 -0.0231736 2.73077 9.16565 311.596 2112 427 1 0 1
138.246 329.407 995 2.06163 3.63946 9.1915 314.253 2112 432 1 0 1
-349.201 519.996 995 -0.190016 0.256154 0.316585 5629.25 2112 435 1 0 1
79.8878 -105.97 995 -0.0616335 -0.0874661 0.29108 6618.36 2112 445 1 0 1
-468.435 -91.1947 995 -2.62509 -1.20036 3.86144 597.303 2112 451 1 0 1
243.115 -583.361 995 0.182345 -0.375164 0.396106 4626.12 2112 453 1 0 1
3.75992 -204.693 995 -0.0108118 -0.992522 3.08715 698.079 2112 469 1 0 1
-32.4069 -155.211 995 0.0181637 -0.0742536 0.33444 6451.71 2112 470 1 0 1
-536.362 440.108 995 -0.72665 0.63893 1.46861 1644.52 2112 497 1 0 1
331.838 234.298 995 9.92923 7.57888 23.2401 184.116 2112 506 1 0 1
108.5 262.502 995 4.66701 14.3108 33.0283 145.474 2112 507 1 0 1
577.332 -1000.54 995 15.8001 -30.4614 16.1862 201.668 2112 522 1 0 1
320.491 -33.1927 995 0.161476 0.0127947 0.310766 6106.94 2112 525 1 0 1
423.424 123.289 995 6.85181 3.63317 10.2284 275.189 2112 546 1 0 1
-520.124 278.192 995 -0.759394 0.467033 0.761585 2711.52 2112 557 1 0 1
26.3032 454.08 995 3.00293 17.1944 30.0726 155.833 2112 559 1 0 1
0 0 995 0 0 43.349 129.917 2112 567 1 0 1
-291.941 227.7 995 -0.587795 1.15149 3.72369 587.766 2112 574 1 0 1
-81.8234 -761.146 995 0.335101 -19.5238 15.1653 219.876 2112 578 1 0 1
