#BLTrackFile VirtualDetector/Det6
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-1466.69 -843.272 995 -11.2629 -7.11423 4.06537 541.781 2112 40 1 0 1
599.918 -281.731 995 0.275134 -0.186426 0.325615 5914.36 2112 72 1 0 1
-216.88 105.833 995 -0.791924 0.518649 1.51476 1318.85 2112 81 1 0 1
-719.873 170.837 995 -1.62041 0.467526 1.6404 1315.54 2112 83 1 0 1
-72.1711 -93.512 995 -0.0515518 -0.0396328 0.213173 9053.85 2112 86 1 0 1
1029.21 286.673 995 0.0951198 0.0191824 0.0553267 1318.92 22 119 1028 1 1
484.324 320.235 995 1.5978 0.827517 1.90365 1317.47 11 119 1033 1028 1
1107.31 833.242 995 11.2442 7.01786 5.30879 451.864 2112 123 1 0 1
-121.693 634.023 995 -3.16025 22.4122 25.8529 174.235 2112 158 1 0 1
-672.332 927.926 995 -16.7377 16.802 11.3931 267.515 2112 163 1 0 1
192.89 -83.1098 995 0.0512322 0.0289225 0.198454 9825.56 2112 173 1 0 1
563.881 169.293 995 25.3236 9.64689 23.9702 167.606 2112 175 1 0 1
-206.942 569.765 995 -6.66971 19.615 20.8566 177.323 2112 184 1 0 1
1170.13 -761.374 995 0.627105 -0.541436 0.300391 6299.64 2112 200 1 0 1
670.569 -417.346 995 6.11378 -3.59565 5.41502 442.441 2112 217 1 0 1
191.123 248.55 995 9.83064 13.0316 39.4261 135.439 2112 228 1 0 1
-514.228 175.353 995 -1.5395 0.754188 2.25483 1005.58 2112 258 1 0 1
255.404 155.532 995 7.64172 3.5349 18.846 200.929 2112 274 1 0 1
2.961 628.086 995 0.0292693 6.20858 7.12169 80.9605 22 281 1002 1 1
162.068 97.278 995 0.152055 0.122104 0.372309 5174.37 2112 296 1 0 1
-191.632 408.433 995 -0.0197139 0.318377 0.513599 3857.61 2112 301 1 0 1
522.406 453.672 995 7.93435 13.1722 14.4684 245.328 2112 302 1 0 1
-437.946 -12.7593 995 -0.299619 -0.00993321 0.367425 5346.04 2112 319 1 0 1
-230.024 -357.182 995 -0.0387304 -0.707097 0.828657 2524.14 2112 333 1 0 1
-52.8774 218.689 995 -0.0459766 0.0686163 0.51924 3538.56 2112 338 1 0 1
-337.402 -57.3078 995 -1.57631 -0.277964 2.89986 799.45 2112 345 1 0 1
-117.669 -55.5539 995 -0.0721293 -0.0105571 0.374189 5408.08 2112 348 1 0 1
-480.881 51.2955 995 -0.303325 -0.0173343 0.353411 5078.39 2112 355 1 0 1
-51.0831 347.16 995 0.0526297 0.340218 0.475307 4042.08 2112 360 1 0 1
-261.247 743.012 995 -0.466835 1.27445 0.99089 598.902 22 366 1043 1 1
-1351.86 767.123 995 -1.17606 0.648607 0.48803 601.203 22 366 1044 1 1
-47.2488 295.48 995 -0.137436 0.743264 1.5149 597.806 22 366 1061 1 1
267.071 85.3008 995 6.54475 -0.251436 14.3189 240.511 2112 368 1 0 1
299.388 -315.779 995 0.273192 -0.367034 0.68422 2814.94 2112 381 1 0 1
291.428 -410.506 995 6.20341 -7.17795 12.4528 243.018 2112 407 1 0 1
-943.534 1177.17 995 -1.30206 1.5594 0.790836 2355.15 2112 408 1 0 1
