#BLTrackFile VirtualDetector/Det3
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
96.0664 107.464 430 -0.049395 -0.156872 0.272058 597.098 2112 173 1 0 1
95.5052 -98.1067 430 0.490304 0.32846 0.229888 808.672 2112 206 1 0 1
-33.366 -38.2908 430 -29.8399 12.5445 12.9079 55.1118 2112 268 1 0 1
-62.3178 84.9641 430 10.1012 21.2602 18.9792 53.1387 2112 338 1 0 1
81.2316 -4.40028 430 0.186711 -0.541322 0.373991 781.899 2112 733 1 0 1
3.92167 -97.861 430 -0.0394568 -0.21445 0.130347 949.911 2112 755 1 0 1
31.7611 -95.1729 430 0.0330549 0.0032568 0.135086 1213.49 2112 759 1 0 1
-24.903 -36.6838 430 9.9609 -7.68735 19.2657 58.9889 2112 840 1 0 1
39.8147 46.3629 430 27.9044 9.88829 22.5705 49.6017 2112 1298 1 0 1
38.3598 100.04 430 13.6457 -15.8133 28.6595 50.8449 2112 1406 1 0 1
60.1213 -102.697 430 -3.43679 3.94037 12.1383 81.8283 2112 1539 1 0 1
-105.47 -90.387 430 5.10078 -0.081048 2.65287 110.553 2112 2026 1 0 1
61.5499 122.015 430 -0.180763 0.223769 0.359558 420.055 2112 2139 1 0 1
44.1351 -113.991 430 -0.000633113 0.00335537 0.00717069 11054.8 2112 2255 1 0 1
43.598 -40.7626 430 0 0 43.349 45.5976 2112 2432 1 0 1
85.7618 107.513 430 -1.75445 -8.54667 15.5381 75.6248 2112 2657 1 0 1
88.5815 -60.1248 430 10.5267 -4.66942 11.0782 89.0265 2112 2734 1 0 1
-75.0702 -73.1077 430 -0.0178476 -0.0123051 0.0259409 10067.2 2112 3023 1 0 1
-95.8767 107.996 430 0.0506393 -0.0114443 0.0299627 2173.17 2112 3204 1 0 1
-43.5615 -24.4174 430 -0.0249393 -0.0320842 0.0647625 5406.04 2112 3224 1 0 1
84.0162 -43.2418 430 -2.46823 -27.9613 15.8254 52.7622 2112 3585 1 0 1
69.0859 39.3433 430 11.9346 -10.5277 39.3085 45.8865 2112 3889 1 0 1
-5.69531 10.1657 430 -0.000362543 0.0106806 0.0575338 7491.55 2112 4033 1 0 1
-65.5088 43.4228 430 -0.00436783 0.0124653 0.0208781 4416.44 2112 4046 1 0 1
-40.6983 118.435 430 1.36991 -1.89697 0.965796 168.467 2112 4098 1 0 1
-1.30727 -8.77318 430 2.43632 12.1563 1.79983 71.4827 2112 4146 1 0 1
123.612 -68.1374 430 0.248093 -0.184308 1.78623 120.605 2112 4168 1 0 1
-19.1853 68.1807 430 0.0219325 0.0475681 0.0129057 4861.26 2112 4317 1 0 1
18.4727 -124.477 430 3.76994 5.53027 7.08371 106.162 2112 4376 1 0 1
-123.494 16.3304 430 11.3274 -9.94989 32.4366 52.5388 2112 4543 1 0 1
38.8402 -4.87991 430 -1.45471 2.35897 1.5164 190.169 2112 4586 1 0 1
-97.2869 58.8902 430 0.7834 0.00394189 0.0723559 515.814 2112 4626 1 0 1
16.5389 -109.893 430 0.082335 0.510583 0.481211 470.592 2112 4640 1 0 1
4.10474 -42.0324 430 -10.3588 -12.9948 34.6789 49.5718 2112 4706 1 0 1
-44.8609 -114.597 430 0.189719 0.0730288 0.439589 654.947 2112 5155 1 0 1
69.4235 27.8884 430 -0.37394 6.42956 4.65661 95.0082 2112 5340 1 0 1
46.3164 -36.2014 430 -1.15182 -3.82514 3.08689 143.446 2112 5421 1 0 1
-40.397 117.553 430 -3.21815 20.963 32.6432 47.6975 2112 5478 1 0 1
77.7522 35.5082 430 -1.37295 -5.11951 13.0504 62.9104 2112 5568 1 0 1
108.61 -64.8579 430 0.165547 0.74329 0.345089 406.519 2112 5834 1 0 1
-73.1912 -84.2555 430 0 0 43.349 45.5976 2112 6021 1 0 1
105.719 -17.999 430 -0.356019 -0.169101 1.96134 240.161 2112 6268 1 0 1
-73.1562 9.21795 430 9.24733 2.33169 2.32359 81.1657 2112 6404 1 0 1
-49.0103 -82.7617 430 -2.1515 -0.121373 3.13524 107.52 2112 6468 1 0 1
32.53 -28.6381 430 0.35566 1.02266 0.973812 103.464 2112 6773 1 0 1
81.2477 -17.744 430 -11.6438 -6.69292 21.0625 62.7272 2112 6820 1 0 1
-29.2178 32.6507 430 -0.0182645 -0.0161328 0.0185261 8849.41 2112 6902 1 0 1
24.287 80.9937 430 10.3271 6.52829 7.30853 81.2789 2112 7144 1 0 1
14.0635 43.7231 430 4.57345 13.6799 12.4241 69.4617 2112 7214 1 0 1
-76.8687 4.70223 430 14.9899 15.6139 13.2474 72.9314 2112 7350 1 0 1
-7.22539 26.2537 430 0.00140802 0.000169639 0.0134481 8813.29 2112 7554 1 0 1
22.0471 -14.2008 430 2.80097 13.8307 23.6421 49.9904 2112 7578 1 0 1
-62.8923 -34.8084 430 0.0123676 0.108433 0.0944807 6230.93 2112 7588 1 0 1
