#BLTrackFile VirtualDetector/Det0
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-21.6381 -115.343 490 0 0 43.349 49.9403 2112 36 1 0 1
-71.3552 -82.9333 490 16.0033 -26.3979 20.7842 62.4104 2112 75 1 0 1
48.5349 -107.659 490 -16.845 13.5819 22.5066 61.7689 2112 95 1 0 1
-73.2185 111.906 490 -35.8111 18.1695 11.2689 69.0981 2112 121 1 0 1
-66.4189 -23.1657 490 15.3178 9.11759 14.4279 70.9243 2112 123 1 0 1
92.583 58.7046 490 -0.17185 0.234232 0.220989 1786.39 2112 149 1 0 1
118.286 -21.6987 490 -17.1502 -6.34095 39.1419 51.1578 2112 160 1 0 1
-8.46311 -113.19 490 -4.24207 9.15744 9.71403 94.6488 2112 197 1 0 1
51.2253 -39.2119 490 0.0748816 -0.0069762 0.956159 583.315 2112 206 1 0 1
112.971 3.90353 490 3.40302 -0.624555 1.40098 274.402 2112 218 1 0 1
116.11 44.9941 490 -0.00579525 0.00759704 0.0340906 13965 2112 233 1 0 1
110.581 -57.2182 490 -19.0699 21.8745 27.7615 59.5202 2112 258 1 0 1
27.6199 -34.004 490 9.77543 3.36109 35.5025 56.2035 2112 268 1 0 1
4.7903 -17.7788 490 -6.4883 -6.83358 20.4171 74.1156 2112 275 1 0 1
99.7214 -49.1303 490 -26.253 -10.3302 25.7252 64.5854 2112 314 1 0 1
-72.1614 17.9399 490 -26.3023 -5.27307 33.2818 51.9286 2112 338 1 0 1
-36.5491 125 492.721 -4.3944 -3.24117 5.63861 168.777 2112 373 1 0 1
-0.399735 -71.1552 490 16.2792 9.86829 11.5804 78.8095 2112 377 1 0 1
-90.9222 78.2539 490 -1.14717 6.68829 18.2411 67.251 2112 411 1 0 1
118.363 35.9915 490 -9.60931 15.5342 35.3547 56.3689 2112 441 1 0 1
125 -89.4092 490.586 -12.6237 -14.0609 28.2792 62.1039 2112 444 1 0 1
-47.4992 -25.3921 490 0.14608 0.0327964 0.0779793 5770.72 2112 462 1 0 1
98.7935 53.3114 490 -5.35424 -1.43157 5.326 128.24 2112 466 1 0 1
32.7106 106.19 490 0.511867 -3.85897 7.59643 110.864 2112 484 1 0 1
-54.1629 35.7561 490 0.0815417 0.110671 0.116281 4027.88 2112 508 1 0 1
-119.025 107.465 490 1.56811 -22.0457 25.8666 57.7682 2112 529 1 0 1
107.985 59.5741 490 1.85471 1.50198 3.27261 168.569 2112 531 1 0 1
16.7668 88.5419 490 -20.9403 18.4278 26.4466 58.1447 2112 533 1 0 1
116.433 47.144 490 0.0532529 -0.0134958 0.0526841 8048.64 2112 549 1 0 1
106.199 -17.7886 490 0 0 43.349 49.9403 2112 567 1 0 1
-26.0378 70.4216 490 18.4276 18.9879 25.8521 68.0094 2112 589 1 0 1
-29.6868 98.7618 490 0.202135 -0.371939 31.3706 56.9385 2112 593 1 0 1
-71.6421 34.7787 490 8.13997 -5.20703 30.4112 53.2513 2112 613 1 0 1
-23.0837 -92.5541 490 24.3933 -0.111764 23.7562 63.3351 2112 629 1 0 1
-114.265 -61.2759 490 6.21737 -1.59725 8.16633 129.448 2112 650 1 0 1
105.228 72.2273 490 -20.1927 -27.7049 14.6649 79.1604 2112 657 1 0 1
6.20944 83.9782 490 11.768 -11.7866 39.8908 50.7133 2112 665 1 0 1
-112.872 -39.4199 490 6.91983 -7.37066 41.4161 51.1013 2112 703 1 0 1
108.131 119.929 490 0.0354392 -0.194892 0.217411 2145.2 2112 707 1 0 1
-29.2345 109.605 490 -10.9424 4.58421 27.6051 69.3432 2112 720 1 0 1
-51.8206 40.8352 490 0 0 43.349 49.9403 2112 731 1 0 1
-116.672 -46.9553 490 -2.90754 -1.7803 1.95079 281.905 2112 733 1 0 1
-82.8 -97.2215 490 0 0 43.349 49.9403 2112 743 1 0 1
43.8198 17.8955 490 0.047718 0.115033 0.660405 645.424 2112 755 1 0 1
20.2894 56.5637 490 9.16771 4.05659 26.8664 63.0859 2112 769 1 0 1
106.058 -31.4073 490 -8.68465 -0.48732 41.5247 50.3151 2112 772 1 0 1
60.1206 69.3105 490 0.601127 -0.598952 0.94361 526.981 2112 774 1 0 1
93.7181 -98.8656 490 0 0 43.349 49.9403 2112 780 1 0 1
51.9721 36.5336 490 -9.51849 -12.626 31.9122 59.1763 2112 789 1 0 1
17.5426 -30.5293 490 0 0 43.349 49.9403 2112 790 1 0 1
16.2713 125 491.476 -11.8263 -11.859 18.7102 61.9019 2112 800 1 0 1
-75.2422 -66.7732 490 -6.87666 -0.347534 7.42095 134.238 2112 834 1 0 1
-94.7474 35.8254 490 -6.52795 16.6355 37.8504 53.1374 2112 840 1 0 1
-109.321 3.05973 490 -0.00149565 0.145588 0.105551 5151.64 2112 862 1 0 1
0.931297 -28.2911 490 1.97284 3.62433 1.86169 232.298 2112 867 1 0 1
-113.928 91.3542 490 -2.3913 -36.9273 13.8982 73.0096 2112 869 1 0 1
-109.185 121.153 490 8.17878 11.1885 32.5252 55.2853 2112 873 1 0 1
-110.48 102.611 490 28.8706 11.6234 28.1522 56.8869 2112 878 1 0 1
17.4082 -66.6427 490 0.355314 0.361027 2.57619 240.388 2112 927 1 0 1
-64.4837 -71.7978 490 0.709243 -1.53204 11.2143 86.0072 2112 948 1 0 1
-124.639 -65.1453 490 -0.0027523 -1.26851 0.835659 425.475 2112 971 1 0 1
97.6681 -106.839 490 3.61062 -0.781146 3.49756 173.893 2112 981 1 0 1
28.0012 44.1558 490 10.932 30.5527 11.8717 80.6389 2112 982 1 0 1
73.3687 -57.9676 490 14.5927 -7.80462 25.679 57.3814 2112 1019 1 0 1
-84.8749 30.1226 490 -1.05521 0.260741 9.50317 118.624 2112 1115 1 0 1
66.6775 120.738 490 0.0821143 1.56194 4.08327 162.483 2112 1123 1 0 1
-63.7348 40.6504 490 -0.769131 5.80491 21.9121 89.0171 2112 1155 1 0 1
111.615 24.0708 490 10.4179 9.0184 9.35276 85.6285 2112 1185 1 0 1
-87.7805 5.95944 490 2.23494 -1.47831 3.63187 211.866 2112 1225 1 0 1
-2.13544 -80.1317 490 13.6439 -6.40733 13.3187 87.4246 2112 1226 1 0 1
-8.25336 -112.421 490 0 0 43.349 49.9403 2112 1236 1 0 1
-64.2625 63.4463 490 0.6882 0.668599 1.45394 462.04 2112 1255 1 0 1
17.1694 -16.2247 490 1.06855 -16.7584 34.0626 54.4121 2112 1298 1 0 1
123.358 27.6889 490 10.5429 -19.5205 35.626 51.8629 2112 1317 1 0 1
-19.1305 -4.01949 490 -20.711 -26.0146 26.1721 55.2457 2112 1319 1 0 1
102.444 -97.1982 490 1.00058 -1.07647 1.55665 297.551 2112 1332 1 0 1
-12.1186 70.1301 490 -0.222266 -0.0707484 2.58058 354.004 2112 1344 1 0 1
65.5743 -124.012 490 0.00109414 -1.14931 2.32192 273.613 2112 1352 1 0 1
90.4637 -52.231 490 -0.277615 -0.727749 0.850415 603.101 2112 1353 1 0 1
-113.576 -11.286 490 0.0243703 0.0275994 0.0697329 8195.35 2112 1373 1 0 1
78.6834 26.3328 490 -6.61154 -1.88587 20.6868 71.7809 2112 1377 1 0 1
13.7796 48.1038 490 4.60862 -10.7075 33.6168 55.0917 2112 1406 1 0 1
77.4975 92.2048 490 17.5065 10.0007 31.2207 60.8092 2112 1416 1 0 1
68.7676 125 491.821 -0.654076 -1.9476 1.38499 314.773 2112 1428 1 0 1
104.248 -44.3241 490 6.83479 24.7423 22.3861 60.8514 2112 1431 1 0 1
-93.4047 -1.1697 490 -6.04289 -20.1899 31.8649 65.5587 2112 1440 1 0 1
-23.3407 -119.34 490 10.5629 -13.735 12.8576 79.578 2112 1458 1 0 1
27.0803 -118.523 490 -2.69107 -18.9467 36.9234 52.8571 2112 1475 1 0 1
-39.3514 124.8 490 7.87473 0.76784 42.574 50.1027 2112 1494 1 0 1
97.2695 30.3847 490 -15.1808 3.30787 35.9381 53.6003 2112 1504 1 0 1
93.3224 43.1624 490 15.4782 -0.00669875 32.3974 65.4842 2112 1512 1 0 1
104.102 105.294 490 -28.4544 14.6061 26.4339 56.3494 2112 1531 1 0 1
-116.123 92.7283 490 -0.477512 1.05807 0.395053 908.54 2112 1570 1 0 1
-49.0245 -21.7781 490 -14.6622 28.6124 27.6525 54.0459 2112 1575 1 0 1
61.8281 65.7507 490 23.0723 -11.6775 14.242 78.9517 2112 1578 1 0 1
69.6348 8.06247 490 -24.0807 -23.2052 16.558 66.5279 2112 1584 1 0 1
99.0705 -36.3252 490 -15.7548 -10.7624 30.0363 57.8017 2112 1651 1 0 1
45.4222 -87.6812 490 -28.6115 9.43381 26.7093 54.3859 2112 1664 1 0 1
56.6539 -120.882 490 -0.527355 -0.148869 0.837906 685.035 2112 1684 1 0 1
125 10.1326 494.789 -4.43621 -0.194549 3.31142 235.441 2112 1703 1 0 1
-55.6394 -82.3963 490 31.1307 4.584 19.3724 61.6697 2112 1705 1 0 1
48.4222 88.0502 490 -12.1735 -4.60788 10.5714 78.5527 2112 1744 1 0 1
97.1141 -57.5198 490 -13.9954 -18.6138 32.5242 53.1151 2112 1750 1 0 1
-19.5886 73.2326 490 -14.3947 -17.5476 36.4482 52.1882 2112 1754 1 0 1
-120.954 -86.4721 490 -0.0694831 -0.0327338 0.0725124 5939.97 2112 1782 1 0 1
-108.671 -67.2573 490 -0.0893941 -0.268579 0.518349 1150.34 2112 1791 1 0 1
73.2918 125 499.771 -3.44241 -2.21645 1.45474 321.305 2112 1796 1 0 1
-46.251 110.491 490 5.98024 3.72443 3.07525 146.891 2112 1802 1 0 1
-17.912 -124.269 490 23.1861 -8.55703 27.613 60.9883 2112 1830 1 0 1
-32.1786 -64.4467 490 18.0268 7.25504 14.0312 81.9844 2112 1836 1 0 1
-81.6502 -124.959 490 -0.320243 -0.0857135 0.19223 1883.6 2112 1848 1 0 1
-75.2746 -92.5761 490 2.49025 -17.3219 37.7181 51.5023 2112 1853 1 0 1
-59.7859 -59.5117 490 0.295394 33.3499 20.8248 60.4624 2112 1858 1 0 1
-29.1184 120.968 490 5.12326 2.90646 3.11385 253.352 2112 1880 1 0 1
-96.0191 -103.867 490 11.5378 -18.5799 36.9871 52.2715 2112 1891 1 0 1
117.252 20.5638 490 22.5043 27.3993 14.0255 70.1483 2112 1898 1 0 1
-57.8713 -51.1522 490 -1.05878 0.189103 2.46237 229.352 2112 1933 1 0 1
70.0151 -8.66909 490 9.69619 24.9179 33.3582 52.664 2112 1937 1 0 1
-56.4913 56.4807 490 -2.32384 -5.30222 4.52516 138.005 2112 1972 1 0 1
111.508 -67.4857 490 -1.50603 2.1449 5.87117 138.845 2112 1989 1 0 1
-47.6317 47.9433 490 9.41706 10.0923 9.53907 79.797 2112 1993 1 0 1
111.675 124.907 490 -6.97193 -13.5336 19.4071 63.9758 2112 1995 1 0 1
108.751 -96.6542 490 -0.248414 0.0812442 0.528255 892.961 2112 1999 1 0 1
-122.998 -110.896 490 -10.0989 -17.5304 23.8608 65.6776 2112 2026 1 0 1
-22.2753 90.4247 490 0.291388 -1.43453 4.15638 143.93 2112 2035 1 0 1
-116.511 -62.7708 490 -9.77579 -4.47691 29.6165 72.7704 2112 2067 1 0 1
77.4654 64.1694 490 -1.27425 1.77383 1.53466 349.032 2112 2098 1 0 1
-53.5182 25.3852 490 16.9718 5.37438 12.5059 83.3087 2112 2127 1 0 1
124.138 -42.5607 490 0 0 43.349 49.9403 2112 2141 1 0 1
-24.496 102.447 490 -32.1012 -17.6708 21.4387 57.5667 2112 2143 1 0 1
119.086 26.5289 490 2.9272 -0.958447 23.3751 88.7577 2112 2159 1 0 1
69.6634 25.9936 490 0.0459454 0.0451346 0.154464 2748.55 2112 2164 1 0 1
-1.57815 99.9589 490 5.30927 5.39742 13.9981 72.3918 2112 2205 1 0 1
-105.853 15.0964 490 0.335036 0.121116 1.04243 541.029 2112 2266 1 0 1
43.9135 -55.6088 490 0.0595548 -0.0606986 0.0447107 9944.1 2112 2295 1 0 1
56.9328 18.9993 490 -18.1333 -1.49892 36.1011 56.4115 2112 2297 1 0 1
-63.6837 56.1491 490 0 0 43.349 49.9403 2112 2306 1 0 1
29.144 63.8112 490 7.47746 -3.74003 19.5965 65.0034 2112 2307 1 0 1
78.2938 -20.7644 490 -4.71352 13.1193 12.6562 71.7203 2112 2329 1 0 1
-20.0184 -40.9514 490 -4.95577 9.65471 6.77376 101.459 2112 2353 1 0 1
-120.267 76.2738 490 9.94745 -3.06017 40.6832 50.5949 2112 2385 1 0 1
42.41 -84.2877 490 5.00064 -3.95475 14.3173 96.7931 2112 2409 1 0 1
21.799 -20.3813 490 0 0 43.349 49.9403 2112 2432 1 0 1
92.667 -37.414 490 11.2624 -29.5725 10.0098 76.1429 2112 2488 1 0 1
-115.208 124.592 490 -37.2539 -2.4736 12.4912 70.0378 2112 2547 1 0 1
85.9258 -103.125 490 -5.2343 -2.93813 10.3117 107.263 2112 2566 1 0 1
109.638 57.3168 490 8.457 -25.0881 23.8646 58.7625 2112 2657 1 0 1
-125 67.8891 499.326 0.994109 -0.156525 0.486326 982.817 2112 2682 1 0 1
124.106 -72.2555 490 10.5267 -4.66942 11.0782 99.6863 2112 2734 1 0 1
-76.5203 -93.7696 490 3.19231 2.27541 10.8073 75.9332 2112 2741 1 0 1
-115.189 -29.5698 490 -0.0724055 0.369623 0.238367 1839.89 2112 2742 1 0 1
-90.8744 110.267 490 27.3667 -7.26389 20.5693 61.5914 2112 2758 1 0 1
9.93978 -68.876 490 -1.54889 -2.59156 38.3148 58.6635 2112 2771 1 0 1
-109.199 -26.6312 490 -0.01147 -0.0040581 0.0437239 6796.83 2112 2781 1 0 1
-93.205 25.0518 490 5.01735 1.12883 4.00731 149.891 2112 2820 1 0 1
76.2424 -104.16 490 0.242646 -4.28352 1.93436 341.125 2112 2826 1 0 1
75.9335 106.418 490 -4.31632 2.35152 4.55673 145.02 2112 2853 1 0 1
124.857 -67.4676 490 -2.53435 -2.35952 6.47145 146.753 2112 2864 1 0 1
9.51511 -50.7037 490 -24.9963 19.5474 11.3484 81.1358 2112 2868 1 0 1
-118.231 -5.75959 490 -30.66 -4.58827 29.6063 53.7313 2112 2883 1 0 1
-41.9634 78.1827 490 -27.0732 -15.3447 18.5137 64.3496 2112 2918 1 0 1
3.59968 98.8869 490 1.33968 0.278753 1.37118 324.345 2112 2937 1 0 1
-98.2408 -33.3285 490 -2.27858 -8.83959 23.9302 68.9192 2112 2981 1 0 1
62.5032 -78.2757 490 20.2043 -7.13663 18.5672 58.9213 2112 2987 1 0 1
88.1542 -42.0721 490 3.69822 -22.8861 26.6275 62.5738 2112 3014 1 0 1
-106.681 -7.55788 490 -7.04911 -3.87477 26.9091 59.1388 2112 3019 1 0 1
-87.4191 -56.6819 490 1.2576 -1.66123 1.9581 247.187 2112 3080 1 0 1
101.699 83.3538 490 0.811023 3.20342 4.48889 127.596 2112 3097 1 0 1
37.0122 -15.189 490 0.172038 1.43335 0.835602 509.238 2112 3098 1 0 1
82.4396 88.9154 490 0.290217 0.0234961 0.292623 1225.05 2112 3124 1 0 1
-79.0459 83.3318 490 -8.26766 -1.91463 38.5678 51.3989 2112 3163 1 0 1
-10.4998 -107.536 490 0.325603 0.328556 0.51731 923.573 2112 3178 1 0 1
25.4676 -59.1265 490 8.48056 -12.3026 9.47836 104.728 2112 3204 1 0 1
-45.2123 71.7769 490 0.113943 1.94255e-05 0.72348 533.627 2112 3228 1 0 1
-67.0225 110.283 490 0.309005 -3.44037 2.8448 181.3 2112 3229 1 0 1
92.7816 1.19585 490 -0.105729 -0.105158 0.123391 4037.18 2112 3240 1 0 1
-58.0898 -98.0293 490 0.33209 -0.397919 0.56724 987.972 2112 3245 1 0 1
64.8114 114.439 490 0 0 43.349 49.9403 2112 3252 1 0 1
-112.971 12.3282 490 -9.24248 32.3425 15.2121 70.0724 2112 3273 1 0 1
87.7162 -88.7761 490 1.23074 4.99579 9.62631 92.2272 2112 3276 1 0 1
-44.3277 18.0681 490 24.4669 -1.21506 24.6097 57.1219 2112 3288 1 0 1
15.1461 16.2749 490 3.31214 0.782981 3.43875 161.727 2112 3312 1 0 1
-119.958 37.7837 490 31.8383 -6.46425 19.7121 69.2245 2112 3325 1 0 1
92.1099 29.4174 490 -29.184 10.2772 23.5167 58.7464 2112 3332 1 0 1
100.567 -1.49276 490 4.58329 -20.1947 26.4772 66.7437 2112 3352 1 0 1
