#BLTrackFile VirtualDetector/Det3
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-117.354 -53.0725 490 -30.3277 19.2209 19.636 55.4282 2112 36 1 0 1
-18.4234 -50.0886 490 -0.0734981 -0.0890326 0.0355126 6134.46 2112 58 1 0 1
-80.841 -120.548 490 -2.67735 -13.6304 18.4515 85.3546 2112 75 1 0 1
-121.643 35.336 490 6.15447 10.52 12.1712 92.7137 2112 123 1 0 1
64.8071 -48.8299 490 -0.049395 -0.156872 0.272058 1288.29 2112 173 1 0 1
89.9734 -33.5798 490 -19.0699 21.8745 27.7615 60.7389 2112 258 1 0 1
11.8551 75.1718 490 -17.41 9.71502 12.6509 69.8667 2112 334 1 0 1
-30.0056 119.844 490 10.1012 21.2602 18.9792 63.0517 2112 338 1 0 1
0.569329 85.011 490 -2.74303 -2.26594 2.07653 188.45 2112 345 1 0 1
91.4874 67.3192 490 -8.31125 2.15922 5.71284 105.291 2112 432 1 0 1
89.7829 46.1359 490 0.018805 -0.0708902 0.135276 2882.47 2112 466 1 0 1
-32.7158 23.1489 490 -0.0585538 0.123744 0.0797783 10637.9 22 485 1031 1 1
-29.1169 -83.7784 490 -0.0121816 0.0913766 0.206589 2236.47 2112 517 1 0 1
-38.3604 110.296 490 2.31959 5.09717 39.1505 53.4993 2112 522 1 0 1
106.199 -17.7886 490 0 0 43.349 49.9403 2112 567 1 0 1
-102.378 98.9316 490 -0.0334507 -0.0459127 0.0440855 9121.42 2112 573 1 0 1
-56.907 95.7695 490 0.218783 0.128436 1.08196 372.787 2112 589 1 0 1
7.72085 -92.6952 490 24.3933 -0.111764 23.7562 65.1243 2112 629 1 0 1
76.1894 46.0923 490 -1.6184 -1.65089 0.817484 382.783 2112 630 1 0 1
-58.0901 -125 491.801 -0.769316 5.22736 8.02367 131.784 2112 687 1 0 1
113.022 93.0362 490 0.0354392 -0.194892 0.217411 2575.48 2112 707 1 0 1
117.353 -0.0448013 490 0.0354145 0.0110672 0.0455081 13655.5 2112 729 1 0 1
-60.9163 -75.7058 490 0.186711 -0.541322 0.373991 1284.7 2112 733 1 0 1
-82.8 -97.2215 490 0 0 43.349 49.9403 2112 743 1 0 1
42.5387 53.2259 490 0.173164 -0.573825 0.790742 665.062 2112 774 1 0 1
117.082 -117.119 490 3.6803 0.300589 15.2823 72.2458 2112 780 1 0 1
19.8337 -64.3949 490 -0.017181 -0.00403169 0.0920533 4312.26 2112 834 1 0 1
13.4187 -66.16 490 9.9609 -7.68735 19.2657 68.7525 2112 840 1 0 1
11.3345 -104.133 490 0.0493631 -0.0271885 0.0371932 8483.09 2112 905 1 0 1
-81.2852 -30.9804 490 5.4034 -1.60847 6.29834 102.456 2112 908 1 0 1
125 -39.5883 497.766 -25.3232 0.151444 27.9625 54.2519 2112 935 1 0 1
4.80269 -97.9276 490 -3.4342 4.87875 9.03026 125.632 2112 1009 1 0 1
-86.6383 50.5726 490 0.0668762 0.0224966 0.0668528 3960.05 2112 1030 1 0 1
-74.6027 90.3758 490 0.00991794 0.0494394 0.0656616 8393.11 2112 1032 1 0 1
-82.3802 25.2316 490 1.34958 -0.0573836 2.62402 248.953 2112 1179 1 0 1
-69.3194 -6.25176 490 2.23494 -1.47831 3.63187 235.583 2112 1225 1 0 1
-56.2732 -106.1 490 -0.253603 0.0770442 0.950651 529.347 2112 1226 1 0 1
38.78 -19.9175 490 0.42293 0.921873 0.599012 436.254 2112 1236 1 0 1
93.5802 27.2704 490 27.9044 9.88829 22.5705 57.9397 2112 1298 1 0 1
-15.112 60.6312 490 -0.0039301 -0.0915114 0.11823 21658.4 22 1327 1009 1 1
-70.6529 23.1781 490 0.114264 -0.424637 0.576055 1146.85 2112 1344 1 0 1
123.95 -87.9697 490 0.419799 0.0506725 0.695577 611.516 2112 1352 1 0 1
117.642 63.0632 490 0.00515099 0.00287389 0.0684609 5209.34 2112 1353 1 0 1
124.981 -6.577 490 7.43551 -8.46869 16.8962 77.361 2112 1377 1 0 1
57.9583 69.1244 490 6.37261 5.64655 37.4073 61.7285 2112 1379 1 0 1
-11.3983 45.3617 490 1.45902 -0.0284621 0.868219 456.308 2112 1395 1 0 1
53.4338 14.0971 490 13.6457 -15.8133 28.6595 57.411 2112 1406 1 0 1
94.3195 101.814 490 17.5065 10.0007 31.2207 61.6518 2112 1416 1 0 1
-26.9082 -62.2144 490 -0.18839 0.0228923 0.222004 1923.62 2112 1440 1 0 1
-53.368 -20.7516 490 5.91948 2.66245 20.0746 75.3504 2112 1458 1 0 1
33.4492 -95.4362 490 -1.22751 -0.419029 4.8889 102.066 2112 1475 1 0 1
-22.1825 -35.0367 490 -12.9916 28.86 15.3403 63.4197 2112 1506 1 0 1
122.561 3.48159 490 9.02036 -13.685 24.8603 71.662 2112 1512 1 0 1
5.19148 27.9164 490 -3.43679 3.94037 12.1383 97.3216 2112 1539 1 0 1
-67.9116 86.0357 490 14.5134 -24.9095 20.7363 66.8326 2112 1554 1 0 1
-106.443 120.148 490 -0.525372 -1.18489 3.35233 70.5473 22 1601 1008 1 1
-120.741 -33.6076 490 -0.817478 2.85903 5.78533 150.651 2112 1653 1 0 1
13.2856 -77.0851 490 -28.6115 9.43381 26.7093 55.7381 2112 1664 1 0 1
98.7997 4.05817 490 -0.111304 -0.0710721 0.15819 2598.34 2112 1703 1 0 1
13.7171 -84.7652 490 0.223981 0.114106 1.0929 480.821 2112 1745 1 0 1
-83.7143 49.0245 490 -17.4472 -13.9613 20.2349 78.6417 2112 1753 1 0 1
123.16 -33.986 490 -1.10713 0.825767 1.19672 485.643 2112 1770 1 0 1
51.9528 82.0038 490 -4.33309 -2.00282 3.95558 142.353 2112 1823 1 0 1
-24.3573 -106.265 490 -0.00745044 4.95683e-06 0.017391 18778.7 2112 1830 1 0 1
-107.054 -17.2501 490 3.35608 0.203356 1.79314 272.598 2112 1840 1 0 1
124.05 -52.1192 490 0.0361087 0.0248333 0.0649854 6013.66 2112 1848 1 0 1
21.2788 33.1728 490 0.0178362 0.0382015 0.0271874 9129.67 2112 1891 1 0 1
3.48954 -2.45765 490 -14.2883 8.55455 19.3561 63.065 2112 1937 1 0 1
-112.798 30.0893 490 15.4096 -0.0029155 18.6518 83.7459 2112 1992 1 0 1
-116.862 30.7222 490 -2.58909 3.23676 8.40879 118.135 2112 1993 1 0 1
87.5376 -84.1078 490 -1.58305 -21.0112 6.66138 94.3045 2112 1995 1 0 1
-18.2242 -40.7802 490 5.10078 -0.081048 2.65287 181.437 2112 2026 1 0 1
-27.4472 62.3552 490 -0.0716896 -0.020338 0.0314228 10832.5 2112 2058 1 0 1
-34.4316 0.826595 490 25.0201 -13.3934 19.2163 69.2072 2112 2119 1 0 1
58.7032 2.89489 490 -0.180763 0.223769 0.359558 943.039 2112 2139 1 0 1
122.843 25.2989 490 2.9272 -0.958447 23.3751 90.6101 2112 2159 1 0 1
40.7318 -105.377 490 -0.138826 -0.00672483 0.0523518 4392.03 2112 2186 1 0 1
-83.6414 95.2081 490 -22.6388 4.87494 5.32624 102.356 2112 2260 1 0 1
-77.8074 32.5735 490 0.00125048 -0.084822 0.144054 4403.62 2112 2266 1 0 1
-63.6837 56.1491 490 0 0 43.349 49.9403 2112 2306 1 0 1
58.2465 -111.993 490 -6.79511 -9.71252 12.6177 77.074 2112 2329 1 0 1
16.9462 -120.879 490 -0.57504 -5.82337 12.0046 105.428 2112 2409 1 0 1
-73.5363 66.288 490 0.308601 -0.116738 1.01891 478.125 2112 2424 1 0 1
21.799 -20.3813 490 0 0 43.349 49.9403 2112 2432 1 0 1
119.212 -92.7346 490 2.02826 0.0479582 8.57103 118.233 2112 2566 1 0 1
-104.672 -116.773 490 0.132203 -0.0406455 0.118923 3581.81 2112 2621 1 0 1
5.07133 -103.675 490 -1.75445 -8.54667 15.5381 87.7293 2112 2657 1 0 1
-10.1941 -75.3901 490 -28.9955 22.1053 8.75787 71.095 2112 2733 1 0 1
112.044 -50.1172 490 0.463267 0.304138 0.132686 2069.98 2112 2735 1 0 1
-115.294 -102.031 490 -0.0763758 -0.0649925 0.219863 1148.66 2112 2741 1 0 1
111.021 -54.7713 490 7.56906 -20.1528 21.8607 67.3172 2112 2747 1 0 1
-33.0428 -65.9164 490 -16.4203 -0.231033 30.2505 60.7613 2112 2771 1 0 1
43.297 92.7608 490 -0.15895 0.350129 0.12435 2317.62 2112 2804 1 0 1
79.6108 119.079 490 0.226017 -0.0327074 0.144921 2264.58 2112 2903 1 0 1
83.4563 -118.621 490 0.107627 -0.226309 0.455387 1070.33 2112 2980 1 0 1
-85.1735 107.751 490 0.0418761 0.312283 0.570844 582.136 2112 2981 1 0 1
9.70885 48.4414 490 -15.0464 7.88961 14.756 71.079 2112 3014 1 0 1
74.1979 73.3345 490 9.53766 -17.3005 28.7654 58.2709 2112 3034 1 0 1
49.6084 -40.522 490 1.7302 -2.61618 1.512 333.416 2112 3067 1 0 1
92.2179 56.037 490 -0.0595968 -0.0135311 0.183946 1922.01 2112 3097 1 0 1
93.4817 20.6442 490 0.0506393 -0.0114443 0.0299627 8449.07 2112 3204 1 0 1
64.8114 114.439 490 0 0 43.349 49.9403 2112 3252 1 0 1
-71.5036 27.9457 490 31.8383 -6.46425 19.7121 71.8269 2112 3325 1 0 1
17.0907 78.9945 490 -21.184 13.9317 19.1901 71.2479 2112 3352 1 0 1
79.3038 14.5757 490 0.133824 0.169233 0.355929 992.361 2112 3379 1 0 1
-47.9962 113.108 490 -4.83987 -4.29711 17.0871 94.1322 2112 3423 1 0 1
-105.782 59.3908 490 0.902042 -0.129784 0.30298 759.402 2112 3461 1 0 1
-19.8945 -2.29211 490 -0.256701 0.108882 0.297689 1101.7 2112 3477 1 0 1
-45.9262 -83.4374 490 20.2428 -1.19318 37.9491 52.1571 2112 3503 1 0 1
-44.8843 -69.0454 490 -0.191356 -0.02598 2.23699 261.106 2112 3564 1 0 1
24.8935 -44.4548 490 -1.0568 -4.22608 5.20019 127.081 2112 3565 1 0 1
112.906 56.5199 490 0.737465 -0.247045 0.801548 732.454 2112 3578 1 0 1
-85.1662 106.419 490 0.248758 -0.712974 0.804856 538.705 2112 3683 1 0 1
52.7936 -64.6585 490 -0.00582707 0.00377313 0.10263 3991.65 22 3701 1004 1 1
47.7448 -97.5939 490 0.328578 -0.196106 0.692717 557.253 2112 3736 1 0 1
22.3435 88.2841 490 13.8411 2.12553 34.016 56.741 2112 3762 1 0 1
116.691 -91.1848 490 -0.820822 -1.44858 0.773241 378.137 2112 3799 1 0 1
28.4022 -20.357 490 0.419428 -0.154864 0.297734 1466.84 2112 3846 1 0 1
96.1143 38.8441 490 -0.631375 -0.27738 0.653745 630.376 2112 3866 1 0 1
58.4779 -1.69932 490 11.9346 -10.5277 39.3085 50.6751 2112 3889 1 0 1
5.38849 111.242 490 -11.2337 2.63887 8.38219 81.3516 2112 3903 1 0 1
106.995 -3.47282 490 0.0481542 0.0439082 0.117026 3876.67 2112 3910 1 0 1
-81.4501 -23.169 490 0.0380347 0.0706229 0.111983 3624.23 2112 3952 1 0 1
7.55906 104.161 490 -4.98538 2.7225 4.04694 128.799 2112 3958 1 0 1
-62.5885 80.7591 490 0.974838 -3.58089 4.18168 153.553 2112 3963 1 0 1
-4.38072 -121.12 490 -1.65053 -3.11634 9.05459 137.234 2112 4009 1 0 1
-93.7001 48.1081 490 -0.000362543 0.0106806 0.0575338 10759.9 2112 4033 1 0 1
-45.5989 52.3172 490 -0.00436783 0.0124653 0.0208781 13423.2 2112 4046 1 0 1
39.4562 -28.7287 490 5.61712 0.554673 5.17826 143.687 2112 4120 1 0 1
13.8824 -116.952 490 -6.14935 7.40198 10.7965 88.5806 2112 4182 1 0 1
-1.29705 -53.8362 490 4.21836 -0.523004 4.83976 134.127 2112 4219 1 0 1
-16.9899 -51.6331 490 -0.0731636 0.259111 0.189219 2663.26 2112 4224 1 0 1
-111.646 -113.551 490 4.5815 0.582377 8.15941 92.4508 2112 4239 1 0 1
103.934 -98.2416 490 -0.587424 0.733067 0.174741 1378.91 2112 4256 1 0 1
-89.4058 67.3775 490 0.137879 -2.47997 1.83623 316.01 2112 4275 1 0 1
100.927 -9.39303 490 0.0368583 0.0182038 0.04843 6511.24 2112 4287 1 0 1
44.9803 7.94742 490 3.76994 5.53027 7.08371 132.709 2112 4376 1 0 1
1.64581 49.5422 490 1.11258 -0.287054 1.57075 427.775 2112 4399 1 0 1
99.4298 1.86238 490 9.05869 17.5343 29.7133 60.4707 2112 4426 1 0 1
83.55 -30.8423 490 14.4309 16.4585 37.1662 51.7039 2112 4452 1 0 1
-103.32 -115.632 490 -16.3067 -0.831964 29.9867 60.5914 2112 4470 1 0 1
26.4685 -25.64 490 0.375602 -0.225104 0.186128 2296.12 2112 4480 1 0 1
-37.7296 -38.6672 490 11.3274 -9.94989 32.4366 58.3405 2112 4543 1 0 1
-100.834 74.9905 490 -1.45471 2.35897 1.5164 314.175 2112 4586 1 0 1
69.9122 -93.3769 490 15.2948 -0.750934 15.4712 85.8791 2112 4600 1 0 1
-66.3605 125 490.987 -0.0880765 -0.200804 0.104419 3347.38 2112 4643 1 0 1
-38.7933 20.9646 490 8.43576 -0.392768 5.26232 142.933 2112 4654 1 0 1
-8.06839 -65.955 490 -10.3588 -12.9948 34.6789 54.9988 2112 4706 1 0 1
-107.366 -6.45713 490 0 0 43.349 49.9403 2112 4787 1 0 1
28.3873 -113.131 490 -0.581621 0.653256 0.508081 867.695 2112 4835 1 0 1
59.3916 -33.3998 490 0.355898 -0.364541 0.534451 819.237 2112 4930 1 0 1
-87.018 -94.8227 490 -1.72231 -17.0206 32.84 52.7533 2112 4989 1 0 1
39.9546 -109.986 490 20.9092 26.7043 17.6072 66.2206 2112 5047 1 0 1
-96.5812 -115.97 490 -2.42498 0.960102 3.16399 152.937 2112 5064 1 0 1
103.086 17.2524 490 0.189719 0.0730288 0.439589 1082.72 2112 5155 1 0 1
74.09 -78.3314 490 -17.6203 -2.52596 15.4944 84.5946 2112 5164 1 0 1
-125 58.7059 496.416 1.64616 1.03664 1.00608 355.244 2112 5179 1 0 1
117.753 -49.7187 490 -0.0509025 -0.0277171 0.103652 5332.03 2112 5186 1 0 1
91.2367 -115.83 490 15.7339 25.987 25.8858 57.2119 2112 5244 1 0 1
103.168 -93.8021 490 -0.0606579 -1.05469 1.07189 10580 22 5256 1004 1 1
-4.95621 109.342 490 -0.37394 6.42956 4.65661 135.392 2112 5340 1 0 1
46.4377 85.211 490 0.00120823 -0.00649818 0.0131021 22046.1 2112 5383 1 0 1
-0.524041 -11.4878 490 -1.15182 -3.82514 3.08689 204.364 2112 5421 1 0 1
-61.7577 -78.0085 490 1.09496 1.01596 8.51886 137.191 2112 5450 1 0 1
41.5379 82.85 490 10.1328 -13.986 13.8886 62.6009 2112 5471 1 0 1
