#BLTrackFile VirtualDetector/Det4
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-207.806 -44.229 490 6.15447 10.52 12.1712 94.5654 2112 123 1 0 1
83.3572 67.1015 490 -0.049395 -0.156872 0.272058 1402.76 2112 173 1 0 1
-228.999 127.963 490 0.0755871 -0.223549 0.41575 964.107 2112 225 1 0 1
-195.188 29.738 490 -29.8399 12.5445 12.9079 71.3961 2112 268 1 0 1
-125.211 96.6765 490 -20.2391 2.08108 17.626 64.0213 2112 338 1 0 1
49.8711 184.798 490 -2.74303 -2.26594 2.07653 202.82 2112 345 1 0 1
-105.066 155.598 490 2.31959 5.09717 39.1505 53.5768 2112 522 1 0 1
116.006 245.32 490 -6.36698 5.0474 2.87998 139.051 2112 533 1 0 1
212.397 -35.5772 490 0 0 43.349 49.9403 2112 567 1 0 1
-249.257 -63.6568 490 -0.128017 -0.584976 0.927321 430.918 2112 589 1 0 1
-96.068 -231.279 490 1.73084 -2.991 6.75872 145.234 2112 687 1 0 1
42.8801 -9.01639 490 -0.14672 0.00895487 0.162776 1913.68 2112 733 1 0 1
-118.159 -195.967 490 21.4346 -0.688506 24.6855 52.9268 2112 743 1 0 1
48.8897 -93.4853 490 0.0330549 0.0032568 0.135086 2836.8 2112 759 1 0 1
213.208 -215.788 490 3.6803 0.300589 15.2823 73.5732 2112 780 1 0 1
-42.0332 -58.538 490 -6.2765 -4.4274 17.0274 73.1232 2112 840 1 0 1
-136.718 -52.9326 490 5.04455 -1.03689 5.36776 112.573 2112 908 1 0 1
-50.9605 -150.715 490 0.00869857 0.00544403 0.0198943 12064.7 2112 927 1 0 1
-205.998 -142.357 490 -0.327195 -0.575358 0.830561 400.032 2112 948 1 0 1
-208.871 43.6931 490 0.0276555 -0.0089466 0.0342787 11104.7 2112 1032 1 0 1
109.916 171.552 490 -0.0534214 -0.151966 0.0270911 8727.19 2112 1037 1 0 1
225.471 0.679036 490 2.6302 -1.57335 7.00501 111.261 2112 1079 1 0 1
-225.842 -28.1552 490 1.34958 -0.0573836 2.62402 260.173 2112 1179 1 0 1
