#BLTrackFile VirtualDetector/Det293
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
123.82 51.7513 729 0.0512322 0.0289225 0.198454 5557.02 2112 173 1 0 1
-121.383 -119.167 729 -6.66971 19.615 20.8566 93.7841 2112 184 1 0 1
-0.541522 -16.9981 729 -0.0122077 -0.0887941 0.0935621 11033.9 2112 222 1 0 1
-64.6443 53.0638 729 -0.00406704 0.0477009 0.178846 7795.22 2112 254 1 0 1
52.7982 121.48 729 0.152055 0.122104 0.372309 2878.86 2112 296 1 0 1
-66.0955 -28.5355 729 -0.0721293 -0.0105571 0.374189 3123.88 2112 348 1 0 1
-22.9758 -72.7411 729 -0.137436 0.743264 1.5149 553.494 22 366 1061 1 1
0.585313 51.5528 729 3.00293 17.1944 30.0726 84.9355 2112 559 1 0 1
-80.8881 -58.2149 729 -0.456047 -0.215325 0.719557 1580.62 2112 589 1 0 1
54.4533 -68.2921 729 1.50719 -0.651903 7.15977 190.491 2112 772 1 0 1
24.812 80.6812 729 -1.11412 -1.57467 7.60432 189.117 2112 826 1 0 1
89.3133 124.927 729 0.10888 0.201162 0.442744 2471.97 2112 840 1 0 1
0 13.8499 729 0 0 43.349 67.2384 2112 881 1 0 1
113.631 -17.5525 729 0.109883 0.035394 0.282929 4527.3 2112 935 1 0 1
-107.878 2.12057 729 -3.36918 2.40545 7.86951 188.498 2112 1026 1 0 1
19.4467 -37.423 729 3.37317 -0.63621 17.266 110.778 2112 1134 1 0 1
24.4049 100.294 729 -0.0394888 0.21173 0.310922 3468.83 2112 1226 1 0 1
41.414 -50.068 729 -0.824797 -11.9449 31.4822 79.1578 2112 1317 1 0 1
26.3883 109.275 729 1.20949 -19.5332 24.9271 86.9096 2112 1330 1 0 1
55.2152 -47.5287 729 -0.122798 0.162294 0.63091 1959.89 2112 1352 1 0 1
93.457 -58.6417 729 -0.00392137 -0.186774 0.124692 8863.71 2112 1386 1 0 1
-51.5175 5.89724 729 0.575622 1.70169 2.8013 465.286 2112 1388 1 0 1
30.0956 -77.1725 729 -0.0547658 -0.238914 0.802152 1263.3 2112 1458 1 0 1
3.07673 -113.991 729 -0.000452747 0.111439 0.121883 8303.11 2112 1498 1 0 1
-108.475 67.1072 729 -3.43679 3.94037 12.1383 164.324 2112 1539 1 0 1
-20.8041 87.7309 729 -0.525372 -1.18489 3.35233 69.4446 22 1601 1008 1 1
-19.969 -85.9996 729 0.028894 -0.0456149 0.129743 10049.9 2112 1635 1 0 1
70.7049 105.822 729 -0.00966406 0.14055 0.100404 15102.2 22 1650 1009 1 1
-17.5969 -99.0813 729 -0.0179624 -0.0598935 0.15905 3563.52 22 1741 1024 1 1
-71.8243 -10.4736 729 -0.107674 -0.105166 0.660334 1692.8 2112 1750 1 0 1
105.856 -121.981 729 14.1845 -2.07531 24.2037 83.9873 2112 2048 1 0 1
-0.288412 52.246 729 -2.0394 3.48878 37.026 75.0519 2112 2306 1 0 1
-106.953 -25.573 729 -1.99674 10.1792 14.6289 137.528 2112 2475 1 0 1
-102.673 83.5736 729 -4.24443 3.45123 17.9443 108.362 2112 2560 1 0 1
20.8647 -116.873 729 -0.060919 0.00419954 0.277175 3987.38 2112 2816 1 0 1
-29.4639 -74.2252 729 -0.0292881 -0.214514 0.767789 1385.44 2112 3014 1 0 1
95.023 -28.8831 729 9.53766 -17.3005 28.7654 85.3715 2112 3034 1 0 1
74.7581 -0.153932 729 5.43695 -17.7246 25.848 92.1752 2112 3113 1 0 1
-82.9768 122.768 729 -0.655956 -0.650335 1.86814 588.125 2112 3147 1 0 1
71.2545 -100.706 729 0.328707 -0.022667 0.587873 2190.33 2112 3149 1 0 1
-3.25656 40.6006 729 -0.0101057 -0.0305902 0.232398 4639.92 2112 3552 1 0 1
-60.7382 32.6051 729 4.38466 -9.0619 12.413 139.3 2112 3758 1 0 1
83.2071 86.3161 729 -0.785015 4.08657 37.151 76.9789 2112 3795 1 0 1
-105.023 -5.92866 729 -0.267007 -0.247722 0.519301 2342.48 2112 3811 1 0 1
45.9751 -123.219 729 9.11866 0.822404 21.2356 95.0546 2112 3945 1 0 1
-44.5709 7.66135 729 -0.774647 -0.423404 6.23631 222.627 2112 4214 1 0 1
105.356 -2.31867 729 0.0543499 0.00115384 0.204972 5515.67 2112 4426 1 0 1
-106.207 -7.20354 729 -1.12528 -2.6908 5.05211 335.865 2112 4428 1 0 1
9.78117 -95.1976 729 0.000735072 0.174167 0.323805 3893.97 2112 4461 1 0 1
-29.1884 52.4936 729 -0.00496242 0.0764544 0.133686 7474.86 2112 4511 1 0 1
56.5229 84.9058 729 0.283907 -12.7274 22.643 91.7151 2112 4638 1 0 1
-30.8467 7.41596 729 0.12218 0.000805055 0.325966 3378.73 2112 4680 1 0 1
36.6843 -35.568 729 0.971417 -0.633342 4.23756 8332.15 22 4713 1031 1 1
43.1806 64.5191 729 0.0140018 0.00523962 0.221895 5059.45 2112 4820 1 0 1
-46.4892 85.3487 729 -12.7384 -11.2823 28.6551 96.3474 2112 4906 1 0 1
66.7773 81.169 729 7.66131 7.69047 37.721 72.5571 2112 4936 1 0 1
21.7759 -109.664 729 -0.128303 -16.5767 28.9077 92.6344 2112 5021 1 0 1
-51.9811 -106.856 729 -2.34922 0.334222 11.5687 169.093 2112 5142 1 0 1
-112.005 51.949 729 -0.0731574 -0.384043 0.624788 1921.13 2112 5165 1 0 1
-106.305 -24.5705 729 -3.63925 -16.2165 16.4759 118.908 2112 5333 1 0 1
11.8597 98.9448 729 0.72098 -0.104538 2.67388 521.947 2112 5340 1 0 1
-62.8915 21.613 729 -0.0277723 0.00155759 0.170878 5405.35 2112 5421 1 0 1
24.1976 106.283 729 -0.00274332 -0.0151632 0.112398 8166.92 2112 5623 1 0 1
-38.4871 -53.853 729 -4.52549 3.15953 41.9749 68.4939 2112 6021 1 0 1
60.02 -4.9139 729 2.97829 -14.1743 34.2012 78.0847 2112 6079 1 0 1
35.3402 42.18 729 -0.417952 0.122188 0.711311 26143.5 22 6092 1017 1 1
73.9698 -125 738.315 0.971666 3.96857 3.85261 356.231 2112 6196 1 0 1
112.028 30.2837 729 -0.961436 -1.73043 6.46393 241.979 2112 6231 1 0 1
-117.093 -36.9885 729 -0.138644 0.287054 0.274969 3841.58 2112 6235 1 0 1
15.0124 -53.8637 729 0.0562069 -0.275209 0.260792 4235.49 2112 6265 1 0 1
119.555 95.6281 729 0.0220751 0.110407 0.366381 3473.48 2112 6268 1 0 1
87.4746 -118.847 729 0.619007 -1.32377 18.9013 114.914 2112 6337 1 0 1
60.2123 -20.2792 729 1.02876 2.4033 8.54349 193.033 2112 6451 1 0 1
88.6083 35.0946 729 -0.0884861 0.435785 0.446977 2369.37 2112 6471 1 0 1
52.9282 -51.2682 729 -4.2035 -20.9836 19.5593 105.201 2112 6498 1 0 1
0 -95.6093 729 0 0 43.349 67.2384 2112 6839 1 0 1
107.71 -31.8628 729 3.52943 2.34237 4.97679 299.68 2112 6931 1 0 1
78.2442 -62.1963 729 -1.08315 0.941457 23.8156 104.468 2112 6940 1 0 1
98.131 -14.0483 729 9.47819 0.629282 11.1492 138.345 2112 7291 1 0 1
-7.89664 103.409 729 -1.07146 7.29107 23.7091 115.53 2112 7350 1 0 1
-98.7518 58.9182 729 -0.0313596 0.0326055 0.814906 1330.07 2112 7504 1 0 1
8.8362 -75.9474 729 0.287364 -0.771426 0.704099 1390.35 2112 7617 1 0 1
29.9406 67.4522 729 -0.225981 0.179994 0.550744 2048.85 2112 7765 1 0 1
-55.3475 -45.8347 729 -0.523619 -1.24819 4.48841 344.577 2112 7893 1 0 1
20.1535 -94.6587 729 0.0929985 24.246 28.6438 83.6181 2112 7955 1 0 1
-17.124 12.0439 729 -0.217429 -2.31758 3.01384 422.025 2112 7997 1 0 1
-18.3409 -66.7542 729 0.47868 -0.507659 2.98081 437.646 2112 8040 1 0 1
-5.26346 -98.8886 729 -0.307476 0.0126262 0.279591 3645.38 2112 8122 1 0 1
-67.3908 100.731 729 -0.150627 -0.409185 0.30244 11396.4 22 8180 1004 1 1
35.805 40.2281 729 1.06853 0.46667 1.3544 762.349 2112 8235 1 0 1
-69.287 -54.8959 729 -6.77572 19.9973 34.1996 73.6178 2112 8523 1 0 1
-46.0421 -100.782 729 -2.76213 4.49905 38.8409 73.3885 2112 8779 1 0 1
38.6944 -82.6898 729 -1.05207 10.2268 14.5703 124.744 2112 8806 1 0 1
-72.8821 10.3749 729 -0.0826846 0.158425 0.234533 4779.9 2112 9071 1 0 1
1.00903 103.027 729 0.00922864 0.0134723 0.206543 4527.07 2112 9171 1 0 1
78.002 -67.9046 729 5.89493 -9.64741 30.6357 86.4931 2112 9394 1 0 1
67.8075 -79.24 729 2.3176 1.9072 6.55323 211.466 2112 9457 1 0 1
-7.20032 -124.901 729 -0.59969 -0.489629 1.74531 702.353 2112 9558 1 0 1
14.2479 62.7962 729 -2.08054 2.73674 21.5657 136.281 2112 9660 1 0 1
76.3507 -51.2967 729 -0.135624 -0.483729 0.453783 2289.8 2112 9674 1 0 1
-121.457 -24.2633 729 -0.103179 0.145685 0.300929 3485.76 2112 9689 1 0 1
6.26379 -114.374 729 0.0681673 -0.123688 0.148029 7788.54 2112 9778 1 0 1
85.8475 15.0546 729 11.5286 0.237417 36.264 74.0669 2112 9969 1 0 1
-22.9549 56.5815 729 0.218155 -0.822827 2.28642 522.376 2112 10136 1 0 1
-7.87294 10.5914 729 0.284837 -7.5575 19.4614 101.855 2112 10163 1 0 1
1.49774 85.9139 729 -1.08834 -2.16169 10.1395 167.746 2112 10203 1 0 1
0.173173 72.6274 729 -0.202893 -0.133642 0.965626 1157.86 2112 10234 1 0 1
107.481 -23.6254 729 0.396031 0.37476 1.4972 981.596 2112 10322 1 0 1
52.3689 63.1878 729 0.149264 0.145604 0.262021 4251.26 2112 10536 1 0 1
113.122 -101.92 729 -9.35715 -12.6469 29.3889 90.119 2112 10598 1 0 1
68.2767 -111.419 729 2.96879 -6.23269 23.7886 105.775 2112 10715 1 0 1
57.943 -53.5627 729 -0.147562 0.277047 0.600642 45281.2 22 10835 1004 1 1
-95.7596 17.6719 729 -4.53196 9.4509 28.6503 95.2794 2112 11029 1 0 1
2.16934 74.3029 729 9.41545 -0.202839 33.7018 84.2382 2112 11133 1 0 1
-68.4743 -52.8679 729 -3.58158 -4.38897 5.13982 282.331 2112 11315 1 0 1
-60.951 106.254 729 -1.86967 0.859733 12.2304 137.043 2112 11763 1 0 1
-15.1691 109.175 729 -4.27401 4.86521 12.199 172.237 2112 12005 1 0 1
-101.277 6.50851 729 -0.0585265 -0.00301422 0.143798 8776.96 2112 12103 1 0 1
-63.1 -65.4128 729 -1.22313 0.352235 1.31345 885.417 2112 12489 1 0 1
9.78054 104.893 729 -20.8207 13.3226 26.1533 101.785 2112 12753 1 0 1
25.8143 51.5242 729 0.135248 0.133134 0.218973 4363.91 2112 13176 1 0 1
104.601 3.69263 729 0.273435 1.22167 1.83705 52689.6 22 13402 1003 1 1
51.9203 -37.5948 729 0.170234 0.318188 0.328012 2938.71 2112 13428 1 0 1
-74.0192 -120.774 729 -7.09591 -5.89992 9.32187 206.309 2112 13526 1 0 1
74.8171 23.3426 729 2.26011 -1.7681 7.18034 205.435 2112 13536 1 0 1
107.13 -17.7168 729 3.26523 2.27062 9.24727 154.169 2112 13546 1 0 1
17.208 45.6677 729 -1.02382 29.4476 24.5542 91.9763 2112 14039 1 0 1
103.582 92.4231 729 0.0359456 0.0414765 0.131671 9790.84 2112 14317 1 0 1
-46.3973 -24.0013 729 -0.145363 0.0388887 0.496628 2604.5 2112 14369 1 0 1
-52.2723 87.5233 729 -0.0418231 0.105823 0.14668 8580.54 22 14370 1037 1 1
54.0741 58.9837 729 0.551064 2.51891 18.1556 109.971 2112 14519 1 0 1
74.5679 -43.9629 729 0.0344611 0.0308206 0.115769 8940.94 2112 14523 1 0 1
-50.4086 -30.3892 729 0.202468 1.05517 1.58506 767.275 2112 14557 1 0 1
96.2473 101.131 729 -0.12091 -0.84799 2.67294 521.307 2112 14728 1 0 1
-19.0958 -54.7414 729 -0.682684 -2.85866 3.44976 360.242 2112 14797 1 0 1
-53.6836 -53.3925 729 -1.39883 2.32198 2.75267 557.969 2112 15105 1 0 1
69.1251 -125 735.357 1.10895 10.7234 31.9351 85.7395 2112 15109 1 0 1
-13.7919 -26.3485 729 -1.50193 -4.5638 8.40044 280.757 2112 15116 1 0 1
55.27 113.771 729 6.88442 -5.86298 10.4783 178.848 2112 15160 1 0 1
17.4914 -83.6367 729 3.58427 -2.88601 24.0366 102.039 2112 15169 1 0 1
-28.8848 -0.326385 729 -12.2763 -3.78289 38.1422 73.1566 2112 15240 1 0 1
37.6973 -52.9713 729 -0.0665058 -0.0453884 0.256202 4418.59 2112 15265 1 0 1
-119.503 19.9167 729 -0.0124336 -0.189506 0.329547 3824.85 2112 15354 1 0 1
-3.69857 111.782 729 3.35715 7.03502 10.8148 177.41 2112 15532 1 0 1
-41.993 -54.5781 729 -4.08687 -3.44736 18.6945 120.376 2112 15628 1 0 1
65.3808 0.284469 729 -0.177722 -0.558106 1.26786 1024.56 2112 15742 1 0 1
106.569 111.653 729 0.459062 0.145024 0.682271 1604.86 2112 16346 1 0 1
-36.3368 18.5413 729 0.060123 0.764457 0.51318 2136.72 2112 16385 1 0 1
-23.7638 73.2192 729 -1.99199 3.72902 6.1693 217.039 2112 16444 1 0 1
-122.283 -121.054 729 -2.13694 0.39995 7.17025 237.454 2112 16629 1 0 1
33.2333 -28.8014 729 0.293909 2.28909 1.6068 656.777 2112 16684 1 0 1
-24.0444 -118.943 729 -3.17748 1.5877 25.822 91.517 2112 16780 1 0 1
45.5971 -99.5495 729 -0.0545142 0.169248 0.187438 5925.65 2112 16834 1 0 1
83.417 108.143 729 4.91943 3.60044 21.038 110.092 2112 16917 1 0 1
81.9175 -69.6646 729 13.3724 -6.08016 34.6964 77.7118 2112 17048 1 0 1
0.271927 -17.1986 729 -1.01101 3.45875 2.16636 494.475 2112 17066 1 0 1
-3.87192 -103.327 729 0.140629 -0.138797 0.368095 12409.8 22 17113 1006 1 1
