#BLTrackFile VirtualDetector/Det293
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-9.50971 -94.6223 729 3.41533 -5.35238 10.2795 184.412 2112 123 1 0 1
51.7785 -68.1467 729 9.83064 13.0316 39.4261 70.9142 2112 228 1 0 1
-103.393 12.295 729 -23.3323 3.86491 31.0834 75.6297 2112 567 1 0 1
110.677 111.039 729 -2.83258 1.92562 6.44462 275.848 2112 625 1 0 1
0.843659 -25.8235 729 -30.7816 0.591275 29.7289 77.8914 2112 736 1 0 1
8.18512 97.0278 729 -22.324 8.9266 27.9603 85.9726 2112 1043 1 0 1
-11.0149 -1.1992 729 -0.316259 0.189755 0.409345 19262 22 1181 1036 1 1
-95.2679 87.286 729 -0.0394888 0.21173 0.310922 3579.41 2112 1226 1 0 1
-113.813 -97.5165 729 -14.6059 -10.0367 30.4748 82.1899 2112 1298 1 0 1
28.5303 -7.89912 729 -0.122798 0.162294 0.63091 2013.98 2112 1352 1 0 1
105.403 111.163 729 6.37261 5.64655 37.4073 82.2228 2112 1379 1 0 1
-107.181 73.6163 729 -0.00221715 0.0372734 0.281308 4342.13 2112 1395 1 0 1
-105.139 -64.8946 729 -0.0286401 -0.0973377 0.167601 5386.98 2112 1447 1 0 1
-66.5366 -107.817 729 0.0521258 -0.197212 0.556085 2052.17 2112 1458 1 0 1
-1.83535 -16.1426 729 -1.26676 -1.00391 2.78646 448.035 2112 1512 1 0 1
-94.8654 -113.535 729 -0.00416284 0.0525118 0.153923 15100.8 22 1650 1009 1 1
-86.7875 94.9986 729 0.837154 8.96088 11.4923 168.037 2112 1715 1 0 1
-34.8784 -9.27634 729 -0.763886 -1.87049 2.27581 68795.2 22 1917 1004 1 1
40.0066 31.7276 729 0.013743 -0.0278489 0.0972064 11320.8 2112 1993 1 0 1
-47.5769 28.7511 729 0.00837081 -0.068711 0.106326 9433.4 22 2581 1006 1 1
27.0334 36.3287 729 0.0612649 -0.109206 0.107726 9433.68 22 2581 1028 1 1
-98.0289 55.8839 729 -0.0883965 0.211267 0.534085 1869.53 2112 2771 1 0 1
-38.6277 -112.59 729 5.99733 6.12318 14.2266 143.519 2112 3720 1 0 1
-74.592 -95.0701 729 -1.22657 0.235185 1.06198 1086.46 2112 3777 1 0 1
23.7315 70.7034 729 -18.3564 9.62075 22.0054 101.315 2112 3797 1 0 1
-42.1337 -22.3159 729 -1.178 -0.0176799 0.884279 1132.54 2112 4045 1 0 1
-57.285 125 734.465 0.475288 -0.41302 1.10296 1067.07 2112 4104 1 0 1
78.5074 74.805 729 11.5097 -8.34635 8.78335 143.766 2112 4221 1 0 1
92.1873 95.0199 729 -0.824322 13.8509 6.71044 185.26 2112 4328 1 0 1
113.856 -31.3652 729 8.44711 14.466 20.3748 102.032 2112 4373 1 0 1
-94.3806 118.343 729 -0.0181846 0.0768812 0.335821 3236.2 2112 4399 1 0 1
53.5641 -49.0824 729 -0.0521435 -0.0488002 0.152498 7060.06 2112 4426 1 0 1
-117.38 98.4735 729 -0.216519 0.264608 1.14424 1126.75 2112 4586 1 0 1
22.7463 7.97621 729 0.283907 -12.7274 22.643 92.4454 2112 4638 1 0 1
-59.5147 15.7515 729 0.971417 -0.633342 4.23756 8331.39 22 4713 1031 1 1
73.1073 -91.1228 729 3.81607 4.77914 8.1412 214.688 2112 4894 1 0 1
60.1972 79.8995 729 -1.11837 1.98904 2.41205 458.158 2112 4945 1 0 1
5.05716 -31.3677 729 -6.63724 -4.31643 20.7729 119.249 2112 5145 1 0 1
-9.64594 -81.6154 729 -0.00647826 -0.0710405 0.133141 7003.72 2112 5421 1 0 1
-97.749 64.5469 729 -0.146131 -0.629639 0.998361 1138.68 2112 5541 1 0 1
44.969 -53.7174 729 7.68212 13.7347 36.9538 76.4752 2112 5670 1 0 1
-62.2637 -75.8734 729 2.25889 -0.644237 4.57874 340.998 2112 5750 1 0 1
-35.1965 -11.2191 729 2.92538 -2.1341 4.95998 304.681 2112 5787 1 0 1
97.1207 -92.6727 729 -0.447174 -0.805 1.06815 893.548 2112 6014 1 0 1
-76.2741 -34.9665 729 -4.52549 3.15953 41.9749 68.52 2112 6021 1 0 1
-34.5237 60.0636 729 13.5353 -2.38756 40.9627 68.9608 2112 6151 1 0 1
-89.6711 -71.3983 729 0.0125771 0.0423788 0.191111 5235.25 2112 6212 1002 1 1
77.8239 -118.65 729 -0.321209 0.401748 1.19719 1104.26 2112 6351 1 0 1
-19.9811 16.5614 729 -0.499148 0.323401 0.285277 3593.12 2112 6755 1 0 1
18.9335 -86.547 729 -2.00833 -1.42427 1.58346 659.177 2112 6778 1 0 1
52.6499 -36.6037 729 7.19646 1.55259 9.48874 224.118 2112 6808 1 0 1
-41.2298 -66.9265 729 0 0 43.349 67.2384 2112 6839 1 0 1
101.291 -22.9919 729 -1.08315 0.941457 23.8156 105.123 2112 6940 1 0 1
-90.7337 -112.408 729 -1.86849 1.52255 8.90074 169.414 2112 7026 1 0 1
-18.7581 -46.7759 729 -0.022436 0.062267 0.0880267 197.323 22 7096 1006 1 1
-54.1598 14.4091 729 0.459766 2.13645 2.66999 440.904 2112 7112 1 0 1
-42.6384 96.8275 729 -1.07146 7.29107 23.7091 116.191 2112 7350 1 0 1
