#BLTrackFile VirtualDetector/Det293
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-88.9168 29.8216 490 3.41533 -5.35238 10.2795 111.539 2112 123 1 0 1
85.3391 -33.6259 490 0.0512322 0.0289225 0.198454 1956.37 2112 173 1 0 1
-5.54564 100.887 490 -1.57631 -0.277964 2.89986 219.817 2112 345 1 0 1
125 -48.112 499.36 -0.466835 1.27445 0.99089 552.038 22 366 1043 1 1
125 104.071 492.834 -3.29554 2.8234 1.90224 141.094 2112 432 1 0 1
-70.6867 -122.448 490 -17.4541 7.1259 17.3743 65.4697 2112 507 1 0 1
76.0084 -17.4223 490 -23.3323 3.86491 31.0834 51.5109 2112 567 1 0 1
-109.735 58.9569 490 -0.456047 -0.215325 0.719557 586.98 2112 589 1 0 1
-18.1005 -36.1032 490 0.725562 -0.19884 0.481317 1703.41 22 711 1038 1 1
-49.1709 -12.8713 490 0.0833912 1.30082 1.92143 1703.36 11 711 1039 1038 1
-31.764 -3.16344 490 0.425285 0.560528 0.484402 1703.42 11 711 1040 1039 1
-9.74356 -99.5681 490 21.4346 -0.688506 24.6855 54.5392 2112 743 1 0 1
113.49 -36.1889 490 -0.00173228 0.0194415 0.0506417 5220.89 2112 759 1 0 1
84.3264 -84.2166 490 -0.63593 -0.0231474 0.563557 873.173 2112 780 1 0 1
-64.9136 -75.4668 490 -0.0394888 0.21173 0.310922 1170.33 2112 1226 1 0 1
0.733974 -18.8035 490 -14.6059 -10.0367 30.4748 57.5928 2112 1298 1 0 1
61.3208 74.1862 490 -0.106725 -0.021756 0.125856 3060.67 2112 1305 1 0 1
28.7723 125 495.665 -5.43916 -15.5101 6.61915 76.8203 2112 1330 1 0 1
75.0483 -69.379 490 -0.122798 0.162294 0.63091 826.746 2112 1352 1 0 1
64.6874 75.0868 490 6.37261 5.64655 37.4073 62.1818 2112 1379 1 0 1
-105.298 41.9487 490 -0.00221715 0.0372734 0.281308 1679.43 2112 1395 1 0 1
98.2182 29.9616 490 0.0778537 -0.282491 0.511176 345.105 2112 1416 1 0 1
