,thickness (cm),energy,Be7,C10,C11,O14,O15,F17,Be7 error,C10 error,C11 error,O14 error,O15 error,F17 error
0,1,250,22120000.0,9700000.0,166120000.0,3840000.0,39290000.0,20000.0,470319.0406521938,311448.2300479487,1288875.478857442,195959.1794226542,626817.3577685928,14142.13562373095
1,1,230,21510000.0,10000000.0,168120000.0,3990000.0,39390000.0,30000.0,463788.74501220917,316227.76601683797,1296610.9670984587,199749.84355438178,627614.5313805282,17320.508075688773
2,1,200,21610000.0,9440000.0,169260000.0,3710000.0,41020000.0,40000.0,464865.5719667783,307245.82991474436,1300999.6156801893,192613.60284258224,640468.5784642366,20000.0
3,1,150,24750000.0,9000000.0,170370000.0,3920000.0,41980000.0,20000.0,497493.71855330997,300000.0,1305258.5950684256,197989.8987322333,647919.7481170025,14142.13562373095
4,1,100,28860000.0,6200000.0,179490000.0,3840000.0,43500000.0,10000.0,537215.0407425317,248997.99195977466,1339738.780509096,195959.1794226542,659545.2979136459,10000.0
5,1,70,40170000.0,2580000.0,211530000.0,2420000.0,50460000.0,40000.0,633798.075099633,160623.78404209012,1454407.0956922618,155563.49186104044,710352.0254071216,20000.0
6,2,250,42940000.0,19260000.0,334360000.0,8050000.0,77280000.0,80000.0,655286.197016235,438862.16514983383,1828551.3391753593,283725.21918222215,879090.4390334365,28284.2712474619
7,2,230,44520000.0,19490000.0,338210000.0,8240000.0,79550000.0,100000.0,667233.0927044911,441474.80109288235,1839048.6671102536,287054.0018881465,891908.0670113931,31622.776601683796
8,2,200,45230000.0,20320000.0,338370000.0,7950000.0,80160000.0,20000.0,672532.5270944149,450777.10678338574,1839483.6231942922,281957.4435974337,895321.1714239756,14142.13562373095
9,2,150,49680000.0,17510000.0,340730000.0,8700000.0,82800000.0,90000.0,704840.4074682437,418449.51905815356,1845887.3205046942,294957.6240750525,909945.053286186,30000.0
10,2,100,59760000.0,12390000.0,364940000.0,7230000.0,88880000.0,80000.0,773045.9236035076,351994.31813596084,1910340.2838238007,268886.59319497505,942761.8999514141,28284.2712474619
11,2,70,91440000.0,3220000.0,440790000.0,3590000.0,106730000.0,110000.0,956242.6470305535,179443.5844492636,2099499.940462014,189472.95321496416,1033102.1246711285,33166.247903553995
12,3,250,63560000.0,29900000.0,507400000.0,12370000.0,116170000.0,170000.0,797245.25711979,546808.9245796927,2252554.1058984576,351710.10790137947,1077821.8776773831,41231.056256176606
13,3,230,66500000.0,29110000.0,508920000.0,12090000.0,119210000.0,100000.0,815475.3215150045,539536.8384086484,2255925.5306857983,347706.7730142742,1091833.3206126292,31622.776601683796
14,3,200,68710000.0,28740000.0,511500000.0,12480000.0,122400000.0,130000.0,828914.953418021,536097.0061472084,2261636.5755797285,353270.4346531139,1106345.3348751464,36055.512754639894
15,3,150,74280000.0,25930000.0,513660000.0,12090000.0,125580000.0,150000.0,861858.4570566097,509215.08225896064,2266406.8478541095,347706.7730142742,1120624.8257110852,38729.83346207417
16,3,100,92650000.0,16390000.0,553820000.0,10320000.0,134560000.0,140000.0,962548.7000666512,404845.6495999432,2353338.054763913,321247.56808418024,1160000.0,37416.57386773941
17,3,70,134520000.0,3490000.0,739920000.0,3550000.0,186680000.0,220000.0,1159827.5733918382,186815.41692269407,2720147.0548483217,188414.4368141677,1366308.8962602855,46904.1575982343
18,5,250,108980000.0,48700000.0,851770000.0,20230000.0,198000000.0,250000.0,1043934.8638684313,697853.852894716,2918509.8937642816,449777.72288098035,1407124.7279470288,50000.0
19,5,230,110490000.0,49140000.0,850000000.0,20180000.0,199760000.0,170000.0,1051142.2358558332,700999.2867328754,2915475.94742265,449221.548904324,1413364.7795243803,41231.056256176606
20,5,200,114730000.0,48170000.0,850710000.0,20250000.0,203010000.0,260000.0,1071120.9082078454,694046.1079784253,2916693.33321143,450000.0,1424815.7775656471,50990.19513592785
21,5,150,124320000.0,42420000.0,858290000.0,20150000.0,209350000.0,260000.0,1114988.7891813081,651306.3795173513,2929658.68319161,448887.51374926884,1446893.2234273544,50990.19513592785
22,5,100,177530000.0,20010000.0,969510000.0,14250000.0,235040000.0,320000.0,1332403.8426843418,447325.3849269008,3113695.553518359,377491.72176353744,1533101.431738944,56568.5424949238
23,5,70,133090000.0,3300000.0,739070000.0,3330000.0,194940000.0,3940000.0,1153646.3929644993,181659.0212458495,2718584.190346144,182482.8759089466,1396209.1533864113,198494.33241279208
