,thickness (cm),energy,Be7,C10,C11,O14,O15,F17,Be7 error,C10 error,C11 error,O14 error,O15 error,F17 error
0,1,250,3.3385649426808657,9.4491891434518e-52,12001.097690767274,1.272698202977426e-11,0.0002574519080800186,2.486266201466373e-15,0.07098511125663251,3.0339517877488195e-53,93.11293362029024,6.494710820524558e-13,4.107287472008142e-06,1.7580556908917913e-15
1,1,230,3.24649782626878,9.741432106651339e-52,12145.5847807115,1.3224129765312315e-11,0.0002581071687266972,3.72939930219956e-15,0.06999949570107218,3.0805113128910526e-53,93.67177271291136,6.620345493142804e-13,4.11251103697286e-06,2.153169691040518e-15
2,1,200,3.2615907961724004,9.195911908678865e-52,12227.942421979707,1.2296120658974611e-11,0.00026878791726755823,4.972532402932746e-15,0.07016202086923938,2.993014392166227e-53,93.98882424409243,6.383827765801096e-13,4.196738549017938e-06,2.486266201466373e-15
3,1,150,3.7355100511460857,8.767288895986204e-52,12308.132756898753,1.2992127488727889e-11,0.00027507841947567273,2.486266201466373e-15,0.07508657721365379,2.9224296319954017e-53,94.29650801306177,6.5620153209426e-13,4.245563131469772e-06,1.7580556908917913e-15
4,1,100,4.35583111418489,6.039687906123831e-52,12966.993887044413,1.272698202977426e-11,0.0002850383813051873,1.2431331007331864e-15,0.08108170441699318,2.425597033368661e-53,96.7874788405916,6.494710820524558e-13,4.321740784247198e-06,1.2431331007331864e-15
5,1,70,6.062846010284374,2.5132894835160457e-52,15281.677067950888,8.02065013334732e-12,0.00033064452231401723,4.972532402932746e-15,0.09565895272451397,1.5647056869594479e-53,105.07152442540298,5.155869180740614e-13,4.6546572753771785e-06,2.486266201466373e-15
6,2,250,6.480921276614663,1.8761998237410478e-51,24155.351696875423,2.668026180720906e-11,0.0005063854277532155,9.945064805865491e-15,0.09890214849824,4.275145985985115e-53,132.10103090553102,9.403556682098708e-13,5.7603336957001656e-06,3.5161113817835826e-15
7,2,230,6.719390201091868,1.8986051175863458e-51,24433.489345018057,2.7309982272223934e-11,0.0005212598444328195,1.2431331007331865e-14,0.10070528986888544,4.300596801643718e-53,132.85939508828255,9.513883134388612e-13,5.844322567677379e-06,3.931132033064404e-15
8,2,200,6.826550287407574,1.9794590040715525e-51,24445.0483122136,2.6348829983517025e-11,0.0005252569343775589,2.486266201466373e-15,0.10150513190641874,4.391214580963073e-53,132.8908178577007,9.344966973504238e-13,5.866687297723083e-06,1.7580556908917913e-15
9,2,150,7.498187448118689,1.7057247618746495e-51,24615.543078347782,2.8834568661207307e-11,0.0005425558154498738,1.1188197906598678e-14,0.10638135056773847,4.0762975799659085e-53,133.35344365233254,9.775834325906523e-13,5.962511840582916e-06,3.72939930219956e-15
10,2,100,9.01955881440364,1.206963438014101e-51,26364.55930212262,2.3962520852934352e-11,0.0005823956627679322,9.945064805865491e-15,0.11667558859064289,3.428928752048495e-53,138.0097542064623,8.911757394894972e-13,6.177547722261012e-06,3.5161113817835826e-15
11,2,70,13.80101167987063,3.1367411383417312e-52,31844.232188257323,1.1898402470544164e-11,0.0006993596882000607,1.3674464108065051e-14,0.14432541492190593,1.7480374948866574e-53,151.67531836771437,6.279736642435177e-13,6.7695116629703045e-06,4.123006059603062e-15
12,3,250,9.59309167074122,2.9126881998887504e-51,36656.37471884972,4.0998116590705106e-11,0.0007612162932465197,2.1133262712464166e-14,0.12032798671513216,5.326702014104109e-53,162.7324938515912,1.1656792247267766e-12,7.062542605712157e-06,5.125569081024527e-15
13,3,230,10.036824985907664,2.835730886246205e-51,36766.184907207324,4.00701074843674e-11,0.0007811362169055488,1.2431331007331865e-14,0.12307944484771255,5.255861480395163e-53,162.97605752983551,1.152410898901944e-12,7.154354077298652e-06,3.931132033064404e-15
14,3,200,10.37037962077768,2.799687587451595e-51,36952.57325323538,4.136269159676634e-11,0.000802039031534596,1.6160730309531423e-14,0.1251078844459922,5.222352587962076e-53,163.3886436584679,1.1708506441356049e-12,7.249445595801312e-06,4.482180136920044e-15
