,thickness (cm),energy,Be7,C10,C11,O14,O15,F17
0,1,250,200.42282578532246,8576838.926582245,5567464.473919225,1709417.4443949433,11330773.058776157,9505.574452269459
1,1,230,194.8957948753294,8842101.986167261,5634493.904137372,1776191.5633166207,11359611.880508853,14258.361678404188
2,1,200,195.80186551631184,8346944.274941895,5672700.679361715,1651546.5413294896,11829684.674751792,19011.148904538917
3,1,150,224.2524836431614,7957891.787550536,5709902.013132786,1745030.307819838,12106537.363385672,9505.574452269459
4,1,100,261.49198698754094,5482103.231423703,6015556.214927533,1709417.4443949433,12544887.453722646,4752.787226134729
5,1,70,363.96857648265836,2281262.312431154,7089367.687022235,1077289.1186030633,14552069.44631827,19011.148904538917
6,2,250,389.06673323787277,17029888.425358146,11205980.143869685,3583544.3821300245,22286641.435027268,38022.297809077834
7,2,230,403.3826493653958,17233256.771039993,11335011.797039617,3668124.9327641493,22941282.68835946,47527.87226134729
8,2,200,409.81575091637137,17967151.23589188,11340374.15145707,3539028.3028489063,23117199.500928905,9505.574452269459
9,2,150,450.1358944400913,15482520.577778876,11419468.87911448,3872898.8974572932,23878544.394672073,42775.08503521256
10,2,100,541.4678150511243,10955364.360861238,12230860.131905142,3218512.5320248543,25631944.756019976,38022.297809077834
11,2,70,828.5109941143709,2847156.8395458586,14772951.272928337,1598127.2461921475,30779674.435306165,52280.65948748202
12,3,250,575.8984994084582,26437884.938640114,17005366.446343698,5506639.007074336,33502059.206872642,80797.38284429039
13,3,230,602.5369762533428,25739358.8817329,17056308.813309487,5381993.985087205,34378759.38754659,47527.87226134729
14,3,200,622.5611374190554,25412201.108244713,17142776.778290898,5555606.6942835655,35298717.80081958,61786.23393975148
15,3,150,673.029272121779,22927570.45013171,17215168.562926494,5381993.985087205,36215792.33191931,71291.80839202093
16,3,100,839.4744488702588,14492205.155328143,18561119.52170687,4594059.38181141,38805518.52351539,66539.02116588621
17,3,70,1218.8462262496191,3085893.5931723746,24798208.00350538,1580320.8144797003,53836312.41059641,104561.31897496404
18,5,250,987.4357845426962,43061036.672634564,28546828.888455205,9005602.838570235,57100867.030737564,118819.68065336822
19,5,230,1001.1174512215315,43450089.160025924,28487507.842712145,8983344.798929676,57608430.293233015,80797.38284429039
20,5,200,1039.5348463991882,42592405.267367706,28511303.290439587,9014506.05442646,58545691.99954563,123572.46787950296
21,5,150,1126.4270208694072,37508196.62532153,28765344.83096636,8969989.97514534,60374073.29739853,123572.46787950296
22,5,100,1608.5472089361797,17693046.074320693,32492851.445397474,6343541.29755936,67782766.60052808,152089.19123631134
23,5,70,1205.8894160835698,2917893.6554351966,24769720.495662663,1482385.44006124,56218399.085717075,1872598.1670970833
